date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,109.0,0.0,0.0,110.0,107.0,108.0,-1.0,1936600.0,209099300.0,147.0,12.4,109.0,407300.0,108.0,129800.0,14639632470.0,14639632470.0,14639632470.0,0.0,279600.0,,0.0,0.0,0.0
2019-07-30,108.0,0.0,0.0,109.0,107.0,108.0,0.0,2272600.0,244613000.0,171.0,12.4,109.0,270700.0,108.0,402200.0,14639632470.0,14639632470.0,14639632470.0,0.0,438500.0,,0.0,0.0,0.0
2019-07-31,108.0,0.0,0.0,109.0,107.0,107.0,-1.0,9934000.0,1069869600.0,166.0,12.3,107.0,562900.0,106.0,1501700.0,14639632470.0,14639632470.0,14639632470.0,0.0,919100.0,,0.0,0.0,0.0
2019-08-01,107.0,0.0,0.0,108.0,105.0,106.0,-1.0,3795500.0,402577200.0,187.0,12.2,106.0,219100.0,105.0,1214400.0,14639632470.0,14639632470.0,14639632470.0,12200.0,660600.0,,0.0,0.0,0.0
2019-08-02,106.0,0.0,0.0,106.0,104.0,105.0,-1.0,2438000.0,255775600.0,238.0,12.0,105.0,151700.0,104.0,610800.0,14639632470.0,14639632470.0,14639632470.0,0.0,333300.0,,15000.0,1125000.0,1.0
2019-08-05,105.0,0.0,0.0,105.0,102.0,102.0,-3.0,2271900.0,233377500.0,187.0,11.7,102.0,231900.0,101.0,1017000.0,14639632470.0,14639632470.0,14639632470.0,0.0,227600.0,,0.0,0.0,0.0
2019-08-06,102.0,0.0,0.0,102.0,93.0,101.0,-1.0,2739200.0,271471300.0,300.0,11.6,101.0,60400.0,100.0,13100.0,14639632470.0,14639632470.0,14639632470.0,2800.0,266100.0,,600000.0,39600000.0,1.0
2019-08-07,101.0,0.0,0.0,103.0,98.0,100.0,-1.0,1370900.0,137107600.0,177.0,11.5,100.0,400.0,99.0,94100.0,14639632470.0,14639632470.0,14639632470.0,0.0,294800.0,,0.0,0.0,0.0
2019-08-08,100.0,0.0,0.0,102.0,98.0,99.0,-1.0,10347900.0,1031549100.0,351.0,11.4,99.0,152700.0,98.0,749600.0,14639632470.0,14639632470.0,14639632470.0,1986400.0,715200.0,,0.0,0.0,0.0
2019-08-09,99.0,0.0,0.0,100.0,98.0,98.0,-1.0,3181100.0,314138000.0,245.0,11.2,99.0,50000.0,98.0,90900.0,14639632470.0,14639632470.0,14639632470.0,0.0,394700.0,,0.0,0.0,0.0
2019-08-12,98.0,0.0,0.0,100.0,98.0,99.0,1.0,2127900.0,210780000.0,167.0,11.4,99.0,552800.0,98.0,778200.0,14639632470.0,14639632470.0,14639632470.0,1000.0,269100.0,,0.0,0.0,0.0
2019-08-13,99.0,0.0,0.0,102.0,98.0,98.0,-1.0,2975100.0,294224600.0,226.0,11.2,99.0,136600.0,98.0,932800.0,14639632470.0,14639632470.0,14639632470.0,28200.0,512900.0,,0.0,0.0,0.0
2019-08-14,98.0,0.0,0.0,106.0,98.0,101.0,3.0,4687500.0,472248800.0,501.0,11.6,101.0,85000.0,100.0,18700.0,14639632470.0,14639632470.0,14639632470.0,39800.0,681900.0,,0.0,0.0,0.0
2019-08-15,101.0,0.0,0.0,102.0,97.0,99.0,-2.0,2568100.0,254203500.0,255.0,11.4,99.0,99700.0,98.0,396200.0,14639632470.0,14639632470.0,14639632470.0,0.0,458700.0,,0.0,0.0,0.0
2019-08-16,99.0,0.0,0.0,100.0,96.0,99.0,0.0,2071500.0,202540300.0,208.0,11.4,99.0,84800.0,98.0,35300.0,14639632470.0,14639632470.0,14639632470.0,0.0,392000.0,,0.0,0.0,0.0
2019-08-19,99.0,0.0,0.0,100.0,97.0,98.0,-1.0,2197100.0,214084200.0,171.0,11.2,98.0,325100.0,97.0,201600.0,14639632470.0,14639632470.0,14639632470.0,0.0,459400.0,,0.0,0.0,0.0
2019-08-20,98.0,0.0,0.0,99.0,96.0,97.0,-1.0,2898700.0,279632300.0,187.0,11.1,97.0,11900.0,96.0,155000.0,14639632470.0,14639632470.0,14639632470.0,0.0,442500.0,,0.0,0.0,0.0
2019-08-21,97.0,0.0,0.0,102.0,97.0,98.0,1.0,5444700.0,538736600.0,188.0,11.2,98.0,236100.0,97.0,507300.0,14639632470.0,14639632470.0,14639632470.0,1820400.0,758100.0,,0.0,0.0,0.0
2019-08-22,98.0,0.0,0.0,100.0,97.0,98.0,0.0,591300.0,58253800.0,144.0,11.2,99.0,269700.0,98.0,220100.0,14639632470.0,14639632470.0,14639632470.0,0.0,87100.0,,0.0,0.0,0.0
2019-08-23,98.0,0.0,0.0,99.0,96.0,99.0,1.0,2725000.0,268353000.0,276.0,11.4,99.0,1185300.0,96.0,83500.0,14639632470.0,14639632470.0,14639632470.0,234900.0,2074700.0,,1370625.0,232889250.0,2.0
2019-08-26,99.0,0.0,0.0,99.0,95.0,96.0,-3.0,1679000.0,160817100.0,180.0,11.0,97.0,35400.0,96.0,26000.0,14639632470.0,14639632470.0,14639632470.0,0.0,214200.0,,0.0,0.0,0.0
2019-08-27,96.0,0.0,0.0,98.0,95.0,97.0,1.0,691500.0,66650300.0,192.0,11.1,97.0,189100.0,96.0,95200.0,14639632470.0,14639632470.0,14639632470.0,100.0,230900.0,,0.0,0.0,0.0
2019-08-28,97.0,0.0,0.0,100.0,96.0,96.0,-1.0,1359300.0,133323000.0,198.0,11.0,98.0,6400.0,96.0,66200.0,14639632470.0,14639632470.0,14639632470.0,0.0,188800.0,,0.0,0.0,0.0
2019-08-29,96.0,0.0,0.0,99.0,96.0,96.0,0.0,653400.0,63079400.0,121.0,11.0,97.0,111400.0,96.0,130500.0,14639632470.0,14639632470.0,14639632470.0,100.0,102500.0,,0.0,0.0,0.0
2019-08-30,96.0,0.0,0.0,98.0,95.0,96.0,0.0,1078500.0,103548100.0,236.0,11.0,96.0,163800.0,95.0,84400.0,14639632470.0,14639632470.0,14639632470.0,149200.0,297200.0,,0.0,0.0,0.0
