date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-08-10T00:00:00,100.0,0.0,0.0,90.0,90.0,90.0,-10.0,12331000.0,1109790000.0,981.0,90.0,90.0,119906900.0,0.0,0.0,1460000000.0,360000000.0,0.0,0.0,63100.0,,24225000.0,2422500000.0,3.0
2023-08-11T00:00:00,90.0,0.0,0.0,81.0,81.0,81.0,-9.0,2744200.0,222280200.0,494.0,81.0,81.0,90397600.0,0.0,0.0,1460000000.0,360000000.0,0.0,0.0,5000.0,,0.0,0.0,0.0
2023-08-14T00:00:00,81.0,0.0,0.0,73.0,73.0,73.0,-8.0,6381100.0,465820300.0,578.0,73.0,73.0,47416000.0,0.0,0.0,1460000000.0,360000000.0,0.0,0.0,500.0,,0.0,0.0,0.0
2023-08-15T00:00:00,73.0,0.0,0.0,66.0,66.0,66.0,-7.0,10288600.0,679047600.0,709.0,66.0,66.0,45808400.0,0.0,0.0,1460000000.0,360000000.0,0.0,240200.0,40000.0,,25775000.0,1701150000.0,1.0
2023-08-16T00:00:00,66.0,0.0,0.0,65.0,60.0,60.0,-6.0,9465400.0,570032000.0,581.0,60.0,60.0,56560500.0,0.0,0.0,1460000000.0,360000000.0,0.0,0.0,20000.0,,55500.0,3663000.0,1.0
2023-08-18T00:00:00,60.0,0.0,0.0,59.0,54.0,59.0,-1.0,198293000.0,11037698300.0,11054.0,59.0,60.0,1422300.0,59.0,49960000.0,1460000000.0,360000000.0,0.0,305600.0,0.0,,6900.0,276000.0,1.0
2023-08-21T00:00:00,59.0,0.0,0.0,64.0,54.0,56.0,-3.0,192806600.0,10943175900.0,13913.0,56.0,56.0,924200.0,55.0,318200.0,1460000000.0,360000000.0,0.0,1920100.0,705000.0,,0.0,0.0,0.0
2023-08-22T00:00:00,56.0,0.0,0.0,56.0,51.0,53.0,-3.0,112041200.0,5910032300.0,6280.0,53.0,53.0,484600.0,52.0,1022800.0,1460000000.0,360000000.0,0.0,17100.0,0.0,,0.0,0.0,0.0
2023-08-23T00:00:00,53.0,0.0,0.0,56.0,53.0,54.0,1.0,202441200.0,11017296800.0,8650.0,54.0,55.0,2135300.0,54.0,10895900.0,1460000000.0,360000000.0,0.0,0.0,13000.0,,0.0,0.0,0.0
2023-08-24T00:00:00,54.0,0.0,0.0,55.0,51.0,55.0,1.0,149475800.0,8001888700.0,5963.0,55.0,55.0,2427200.0,54.0,23200.0,1460000000.0,360000000.0,0.0,45000.0,0.0,,0.0,0.0,0.0
2023-08-25T00:00:00,55.0,0.0,0.0,56.0,53.0,56.0,1.0,155741100.0,8484375700.0,3819.0,56.0,56.0,1380500.0,55.0,900.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-08-28T00:00:00,56.0,0.0,0.0,59.0,55.0,55.0,-1.0,105918800.0,5937130900.0,2894.0,55.0,56.0,2263700.0,55.0,30109200.0,1460000000.0,360000000.0,0.0,0.0,0.0,,400.0,21600.0,1.0
2023-08-29T00:00:00,55.0,0.0,0.0,55.0,52.0,53.0,-2.0,148755400.0,7938785000.0,3859.0,53.0,53.0,2060400.0,52.0,1974300.0,1460000000.0,360000000.0,0.0,30000.0,0.0,,200.0,10800.0,1.0
2023-08-30T00:00:00,53.0,0.0,0.0,54.0,51.0,53.0,0.0,57905500.0,3032926100.0,4354.0,53.0,53.0,912200.0,52.0,270200.0,1460000000.0,360000000.0,0.0,0.0,20000.0,,0.0,0.0,0.0
2023-08-31T00:00:00,53.0,0.0,0.0,53.0,50.0,51.0,-2.0,57542900.0,2969914100.0,3120.0,51.0,51.0,1446900.0,50.0,1364300.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-01T00:00:00,51.0,0.0,0.0,51.0,46.0,46.0,-5.0,67809300.0,3246832700.0,5559.0,46.0,46.0,431700.0,0.0,0.0,1460000000.0,360000000.0,0.0,500.0,100000.0,,0.0,0.0,0.0
2023-09-04T00:00:00,46.0,0.0,0.0,48.0,42.0,42.0,-4.0,26282600.0,1109452100.0,3031.0,42.0,42.0,6287200.0,0.0,0.0,1460000000.0,360000000.0,0.0,1696300.0,0.0,,0.0,0.0,0.0
2023-09-05T00:00:00,42.0,0.0,0.0,43.0,38.0,42.0,0.0,170086200.0,7026160600.0,7201.0,42.0,42.0,800.0,41.0,200000.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-06T00:00:00,42.0,0.0,0.0,43.0,40.0,43.0,1.0,235030600.0,9863137800.0,5345.0,43.0,44.0,1373200.0,43.0,3333400.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-07T00:00:00,43.0,0.0,0.0,44.0,41.0,43.0,0.0,241987700.0,10211210500.0,3921.0,43.0,43.0,5603100.0,42.0,300.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-08T00:00:00,43.0,0.0,0.0,43.0,39.0,42.0,-1.0,108057100.0,4433086900.0,1890.0,42.0,42.0,1002100.0,41.0,246300.0,1460000000.0,360000000.0,0.0,0.0,100.0,,0.0,0.0,0.0
2023-09-11T00:00:00,42.0,0.0,0.0,42.0,39.0,41.0,-1.0,194994200.0,7967483400.0,4644.0,41.0,41.0,798300.0,40.0,941000.0,1460000000.0,360000000.0,0.0,0.0,15000.0,,0.0,0.0,0.0
2023-09-12T00:00:00,41.0,0.0,0.0,42.0,40.0,41.0,0.0,237240400.0,9741466400.0,9256.0,41.0,41.0,7000.0,40.0,1743300.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-13T00:00:00,41.0,0.0,0.0,42.0,40.0,42.0,1.0,208591200.0,8554699500.0,6490.0,42.0,42.0,2125700.0,41.0,493700.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-14T00:00:00,42.0,0.0,0.0,42.0,40.0,42.0,0.0,132148300.0,5418660200.0,4588.0,42.0,42.0,1920800.0,41.0,355000.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-15T00:00:00,42.0,0.0,0.0,43.0,40.0,42.0,0.0,242474700.0,10049899600.0,3233.0,42.0,43.0,2061200.0,41.0,1863800.0,1460000000.0,360000000.0,0.0,15000.0,0.0,,0.0,0.0,0.0
2023-09-18T00:00:00,42.0,0.0,0.0,43.0,40.0,41.0,-1.0,112320800.0,4694029400.0,2034.0,41.0,41.0,636000.0,40.0,2547900.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-19T00:00:00,41.0,0.0,0.0,41.0,40.0,40.0,-1.0,2855000.0,114319700.0,270.0,40.0,40.0,160400.0,39.0,1282600.0,1460000000.0,360000000.0,0.0,28900.0,0.0,,0.0,0.0,0.0
2023-09-20T00:00:00,40.0,0.0,0.0,40.0,37.0,38.0,-2.0,83667700.0,3254182400.0,2801.0,38.0,39.0,160000.0,37.0,2169200.0,1460000000.0,360000000.0,0.0,0.0,20000.0,,0.0,0.0,0.0
2023-09-21T00:00:00,38.0,0.0,0.0,40.0,38.0,40.0,2.0,173126200.0,6751453400.0,4046.0,40.0,40.0,2670100.0,38.0,1031400.0,1460000000.0,360000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-22T00:00:00,40.0,0.0,0.0,40.0,38.0,38.0,-2.0,2713300.0,103765300.0,303.0,38.0,39.0,413400.0,37.0,789200.0,1460000000.0,360000000.0,0.0,97500.0,5000.0,,0.0,0.0,0.0
