date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-01-10,300.0,0.0,0.0,372.0,282.0,346.0,46.0,658989300.0,216246273800.0,79596.0,115.3,348.0,144000.0,346.0,16786900.0,5882352900.0,2752352900.0,882352900.0,1097900.0,396200.0,,240000.0,72000000.0,1.0
2024-01-11,346.0,0.0,0.0,432.0,322.0,428.0,82.0,424914200.0,167849078000.0,51762.0,142.7,430.0,434600.0,428.0,5504900.0,5882352900.0,2752352900.0,882352900.0,8756400.0,9255300.0,,800000.0,332800000.0,1.0
2024-01-12,428.0,0.0,0.0,510.0,382.0,382.0,-46.0,386842200.0,171440615400.0,56376.0,127.3,384.0,323100.0,382.0,26700.0,5882352900.0,2752352900.0,882352900.0,12017500.0,11691600.0,,0.0,0.0,0.0
2024-01-15,382.0,0.0,0.0,422.0,344.0,366.0,-16.0,108948200.0,40900929600.0,17846.0,122.0,368.0,317000.0,366.0,717500.0,5882352900.0,2752352900.0,882352900.0,1506700.0,2101100.0,,10000.0,3000000.0,10.0
2024-01-16,366.0,0.0,0.0,388.0,350.0,376.0,10.0,81099500.0,30086673000.0,13061.0,125.3,376.0,25900.0,374.0,236600.0,5882352900.0,2752352900.0,882352900.0,2317500.0,2648300.0,,0.0,0.0,0.0
2024-01-17,376.0,0.0,0.0,398.0,368.0,386.0,10.0,55249100.0,21233293000.0,9174.0,128.7,386.0,130500.0,384.0,478700.0,5882352900.0,2752352900.0,882352900.0,338300.0,337100.0,,0.0,0.0,0.0
2024-01-18,386.0,0.0,0.0,402.0,370.0,386.0,0.0,53739300.0,21002655200.0,7079.0,128.7,386.0,148500.0,384.0,1500.0,5882352900.0,2752352900.0,882352900.0,176600.0,467700.0,,0.0,0.0,0.0
2024-01-19,386.0,0.0,0.0,388.0,362.0,362.0,-24.0,28508200.0,10581281400.0,4990.0,120.7,362.0,9200.0,360.0,574200.0,5882352900.0,2752352900.0,882352900.0,294000.0,389600.0,,0.0,0.0,0.0
2024-01-22,362.0,0.0,0.0,372.0,344.0,356.0,-6.0,27679500.0,9924450000.0,4608.0,118.7,356.0,90400.0,354.0,11100.0,5882352900.0,2752352900.0,882352900.0,107900.0,132800.0,,0.0,0.0,0.0
2024-01-23,356.0,0.0,0.0,356.0,324.0,326.0,-30.0,32314500.0,10999975000.0,4527.0,108.7,326.0,928000.0,324.0,259200.0,5882352900.0,2752352900.0,882352900.0,38200.0,312300.0,,0.0,0.0,0.0
2024-01-24,326.0,0.0,0.0,340.0,322.0,340.0,14.0,24615500.0,8109599400.0,2798.0,113.3,342.0,148900.0,340.0,5292000.0,5882352900.0,2752352900.0,882352900.0,187900.0,180200.0,,0.0,0.0,0.0
2024-01-25,340.0,0.0,0.0,356.0,334.0,334.0,-6.0,20943600.0,7175011200.0,2965.0,111.3,334.0,171700.0,332.0,83200.0,5882352900.0,2752352900.0,882352900.0,23000.0,122000.0,,0.0,0.0,0.0
2024-01-26,334.0,0.0,0.0,334.0,320.0,322.0,-12.0,21396800.0,6947271000.0,1865.0,107.3,322.0,48300.0,320.0,2165100.0,5882352900.0,2752352900.0,882352900.0,239200.0,132000.0,,0.0,0.0,0.0
2024-01-29,322.0,0.0,0.0,332.0,306.0,316.0,-6.0,18024700.0,5834557000.0,1714.0,105.3,316.0,456000.0,314.0,172600.0,5882352900.0,2752352900.0,882352900.0,52000.0,243200.0,,0.0,0.0,0.0
2024-01-30,316.0,0.0,0.0,328.0,316.0,320.0,4.0,18907600.0,6092227800.0,1714.0,106.7,320.0,116100.0,318.0,925000.0,5882352900.0,2752352900.0,882352900.0,227700.0,0.0,,0.0,0.0,0.0
2024-01-31,320.0,0.0,0.0,326.0,316.0,318.0,-2.0,13551800.0,4339475200.0,1105.0,106.0,320.0,2037600.0,318.0,18600.0,5882352900.0,2752352900.0,882352900.0,56200.0,105700.0,,0.0,0.0,0.0
2024-02-01,318.0,0.0,0.0,330.0,316.0,330.0,12.0,12967200.0,4148705600.0,980.0,110.0,330.0,161800.0,328.0,50500.0,5882352900.0,2752352900.0,882352900.0,43900.0,50000.0,,0.0,0.0,0.0
2024-02-02,330.0,0.0,0.0,378.0,330.0,356.0,26.0,150825600.0,54459442600.0,21965.0,118.7,360.0,20500.0,356.0,535800.0,5882352900.0,2752352900.0,882352900.0,214300.0,254800.0,,110700.0,27453600.0,1.0
2024-02-05,356.0,0.0,0.0,372.0,346.0,352.0,-4.0,42854700.0,15414309200.0,6613.0,117.3,354.0,220800.0,352.0,32100.0,5882352900.0,2752352900.0,882352900.0,1376600.0,2124200.0,,0.0,0.0,0.0
2024-02-06,352.0,0.0,0.0,360.0,338.0,352.0,0.0,22337300.0,7793102200.0,2494.0,117.3,354.0,273000.0,352.0,505300.0,5882352900.0,2752352900.0,882352900.0,596300.0,690900.0,,0.0,0.0,0.0
2024-02-07,352.0,0.0,0.0,354.0,338.0,338.0,-14.0,17792900.0,6108865400.0,1753.0,112.7,340.0,43700.0,338.0,381300.0,5882352900.0,2752352900.0,882352900.0,265500.0,1038900.0,,0.0,0.0,0.0
2024-02-12,338.0,0.0,0.0,342.0,316.0,318.0,-20.0,20534400.0,6648091800.0,2538.0,106.0,320.0,25500.0,318.0,300.0,5882352900.0,2752352900.0,882352900.0,541800.0,814900.0,,0.0,0.0,0.0
2024-02-13,318.0,0.0,0.0,336.0,310.0,324.0,6.0,25715000.0,8261830200.0,2226.0,108.0,324.0,7500.0,322.0,74700.0,5882352900.0,2752352900.0,882352900.0,410400.0,416800.0,,0.0,0.0,0.0
2024-02-15,324.0,0.0,0.0,330.0,316.0,320.0,-4.0,14931900.0,4810705600.0,949.0,106.7,320.0,21700.0,318.0,1030900.0,5882352900.0,2752352900.0,882352900.0,184300.0,330700.0,,0.0,0.0,0.0
2024-02-16,320.0,0.0,0.0,328.0,316.0,322.0,2.0,14240200.0,4581507000.0,914.0,107.3,322.0,23900.0,320.0,368000.0,5882352900.0,2752352900.0,882352900.0,50900.0,149800.0,,0.0,0.0,0.0
2024-02-19,322.0,0.0,0.0,326.0,318.0,324.0,2.0,13517100.0,4354869000.0,860.0,108.0,324.0,113600.0,322.0,74500.0,5882352900.0,2752352900.0,882352900.0,162700.0,279500.0,,0.0,0.0,0.0
2024-02-20,324.0,0.0,0.0,358.0,324.0,358.0,34.0,50862300.0,17434534200.0,6213.0,119.3,360.0,851100.0,358.0,10924300.0,5882352900.0,2752352900.0,882352900.0,1817100.0,1397500.0,,0.0,0.0,0.0
2024-02-21,358.0,0.0,0.0,384.0,330.0,334.0,-24.0,83577600.0,30088481800.0,12038.0,111.3,334.0,52300.0,332.0,87100.0,5882352900.0,2752352900.0,882352900.0,3625200.0,1136400.0,,13600.0,4352000.0,9.0
2024-02-22,334.0,0.0,0.0,346.0,322.0,334.0,0.0,21637000.0,7257039400.0,2169.0,111.3,336.0,23700.0,334.0,163700.0,5882352900.0,2752352900.0,882352900.0,392300.0,1445100.0,,0.0,0.0,0.0
2024-02-23,334.0,0.0,0.0,344.0,328.0,344.0,10.0,14396600.0,4845409200.0,1475.0,114.7,344.0,50000.0,342.0,63000.0,5882352900.0,2752352900.0,882352900.0,428900.0,184900.0,,0.0,0.0,0.0
2024-02-26,344.0,0.0,0.0,348.0,332.0,334.0,-10.0,12821300.0,4322471400.0,1269.0,111.3,336.0,3200.0,334.0,427100.0,5882352900.0,2752352900.0,882352900.0,605500.0,161300.0,,0.0,0.0,0.0
2024-02-27,334.0,0.0,0.0,340.0,320.0,324.0,-10.0,14710400.0,4850540600.0,1393.0,108.0,326.0,60000.0,324.0,143000.0,5882352900.0,2752352900.0,882352900.0,160100.0,232900.0,,0.0,0.0,0.0
2024-02-28,324.0,0.0,0.0,330.0,308.0,322.0,-2.0,14283600.0,4612442000.0,1204.0,107.3,322.0,11900.0,320.0,54400.0,5882352900.0,2752352900.0,882352900.0,147400.0,271300.0,,0.0,0.0,0.0
2024-02-29,322.0,0.0,0.0,326.0,314.0,314.0,-8.0,12799800.0,4080661400.0,1095.0,104.7,318.0,150200.0,314.0,112400.0,5882352900.0,2752352900.0,882352900.0,123200.0,209700.0,,0.0,0.0,0.0
2024-03-01,314.0,0.0,0.0,326.0,312.0,312.0,-2.0,15069200.0,4787188400.0,1036.0,104.0,314.0,32300.0,312.0,294400.0,5882352900.0,2752352900.0,882352900.0,180900.0,487500.0,,0.0,0.0,0.0
2024-03-04,312.0,0.0,0.0,318.0,312.0,316.0,4.0,8428200.0,2647846000.0,686.0,105.3,318.0,252400.0,316.0,7000.0,5882352900.0,2752352900.0,882352900.0,509200.0,177400.0,,0.0,0.0,0.0
2024-03-05,316.0,0.0,0.0,320.0,310.0,312.0,-4.0,11388900.0,3558330000.0,805.0,104.0,314.0,180200.0,312.0,62000.0,5882352900.0,2752352900.0,882352900.0,418800.0,1062300.0,,0.0,0.0,0.0
2024-03-06,312.0,0.0,0.0,314.0,288.0,306.0,-6.0,23003900.0,6993199000.0,1993.0,102.0,306.0,305800.0,304.0,1100.0,5882352900.0,2752352900.0,882352900.0,1471200.0,1520800.0,,0.0,0.0,0.0
2024-03-07,306.0,0.0,0.0,320.0,252.0,318.0,12.0,16718500.0,5185624600.0,994.0,106.0,318.0,108600.0,316.0,130000.0,5882352900.0,2752352900.0,882352900.0,1029600.0,1560300.0,,0.0,0.0,0.0
2024-03-08,318.0,0.0,0.0,328.0,314.0,320.0,2.0,10867700.0,3480587000.0,966.0,106.7,320.0,334300.0,318.0,165700.0,5882352900.0,2752352900.0,882352900.0,212800.0,2035400.0,,0.0,0.0,0.0
2024-03-13,320.0,0.0,0.0,320.0,276.0,312.0,-8.0,12384400.0,3902396000.0,780.0,104.0,312.0,14500.0,310.0,350400.0,5882352900.0,2752352900.0,882352900.0,433000.0,1425800.0,,0.0,0.0,0.0
2024-03-14,312.0,0.0,0.0,324.0,296.0,312.0,0.0,14164500.0,4452763800.0,1161.0,104.0,316.0,26300.0,312.0,44900.0,5882352900.0,2752352900.0,882352900.0,979700.0,1268300.0,,0.0,0.0,0.0
2024-03-15,312.0,0.0,0.0,316.0,306.0,306.0,-6.0,11896300.0,3704228200.0,516.0,102.0,310.0,1500.0,306.0,96100.0,5882352900.0,2752352900.0,882352900.0,949100.0,52100.0,,0.0,0.0,0.0
2024-03-18,306.0,0.0,0.0,312.0,302.0,310.0,4.0,11298900.0,3479285000.0,499.0,103.3,310.0,83300.0,308.0,23000.0,5882352900.0,2752352900.0,882352900.0,271800.0,914900.0,,0.0,0.0,0.0
2024-03-19,310.0,0.0,0.0,316.0,292.0,308.0,-2.0,11566900.0,3578491800.0,373.0,102.7,308.0,6200.0,306.0,512400.0,5882352900.0,2752352900.0,882352900.0,142900.0,750900.0,,0.0,0.0,0.0
2024-03-20,308.0,0.0,0.0,310.0,300.0,300.0,-8.0,7917800.0,2414396200.0,447.0,100.0,302.0,1600.0,300.0,476900.0,5882352900.0,2752352900.0,882352900.0,282600.0,141700.0,,0.0,0.0,0.0
2024-03-21,300.0,0.0,0.0,312.0,300.0,306.0,6.0,14845400.0,4559584200.0,639.0,102.0,306.0,300.0,304.0,102300.0,5882352900.0,2752352900.0,882352900.0,290300.0,873500.0,,0.0,0.0,0.0
2024-03-22,306.0,0.0,0.0,308.0,298.0,302.0,-4.0,10827100.0,3292400000.0,596.0,100.7,306.0,34100.0,302.0,22800.0,5882352900.0,2752352900.0,882352900.0,1581000.0,313600.0,,0.0,0.0,0.0
2024-03-25,302.0,0.0,0.0,308.0,298.0,300.0,-2.0,14426900.0,4372865800.0,515.0,100.0,302.0,10900.0,300.0,273700.0,5882352900.0,2752352900.0,882352900.0,99100.0,1083600.0,,0.0,0.0,0.0
2024-03-26,300.0,0.0,0.0,308.0,298.0,298.0,-2.0,15629000.0,4751397600.0,613.0,99.3,300.0,14700.0,298.0,437900.0,5882352900.0,2752352900.0,882352900.0,837200.0,276800.0,,0.0,0.0,0.0
2024-03-27,298.0,0.0,0.0,304.0,290.0,298.0,0.0,16082400.0,4786419400.0,856.0,99.3,300.0,48500.0,298.0,121900.0,5882352900.0,2752352900.0,882352900.0,1283900.0,1545900.0,,0.0,0.0,0.0
2024-03-28,298.0,0.0,0.0,304.0,296.0,300.0,2.0,9074800.0,2727848400.0,529.0,100.0,302.0,75700.0,300.0,45500.0,5882352900.0,2752352900.0,882352900.0,644100.0,591000.0,,0.0,0.0,0.0
2024-04-01,300.0,0.0,0.0,300.0,290.0,292.0,-8.0,9776400.0,2901174200.0,514.0,97.3,294.0,43900.0,292.0,142600.0,5882352900.0,2752352900.0,882352935.0,696200.0,762600.0,,0.0,0.0,0.0
2024-04-02,292.0,0.0,0.0,304.0,292.0,300.0,8.0,17879300.0,5316744000.0,890.0,100.0,302.0,42600.0,300.0,10800.0,5882352900.0,2752352900.0,882352935.0,176900.0,722000.0,,0.0,0.0,0.0
2024-04-03,300.0,0.0,0.0,300.0,292.0,292.0,-8.0,13598400.0,4019164400.0,426.0,97.3,294.0,4200.0,292.0,50800.0,5882352900.0,2752352900.0,882352935.0,535900.0,338500.0,,0.0,0.0,0.0
