date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2420.0,0.0,0.0,2420.0,2380.0,2410.0,-10.0,7474200.0,17991273000.0,2175.0,12056.0,2410.0,338500.0,2400.0,714400.0,22358699725.0,22358699725.0,22358699725.0,504000.0,5564800.0,,43300.0,104886000.0,3.0
2019-07-30,2410.0,0.0,0.0,2470.0,2390.0,2450.0,40.0,5696200.0,13802794000.0,1850.0,12256.1,2460.0,2700.0,2450.0,269900.0,22358699725.0,22358699725.0,22358699725.0,502900.0,2966400.0,,0.0,0.0,0.0
2019-07-31,2450.0,0.0,0.0,2500.0,2450.0,2490.0,40.0,6144500.0,15251337000.0,1945.0,12456.2,2500.0,697100.0,2490.0,300.0,22358699725.0,22358699725.0,22358699725.0,1182300.0,2690600.0,,993000.0,2425130000.0,3.0
2019-08-01,2490.0,0.0,0.0,2550.0,2300.0,2540.0,50.0,10356500.0,25882039000.0,2801.0,12706.4,2540.0,60200.0,2530.0,33700.0,22358699725.0,22358699725.0,22358699725.0,612100.0,2707100.0,,1300000.0,3290300000.0,1.0
2019-08-02,2540.0,0.0,0.0,2540.0,2470.0,2500.0,-40.0,7883300.0,19728595000.0,1691.0,12506.3,2510.0,57000.0,2500.0,557400.0,22358699725.0,22358699725.0,22358699725.0,1545400.0,6465000.0,,405400.0,1011473000.0,1.0
2019-08-05,2500.0,0.0,0.0,2510.0,2390.0,2460.0,-40.0,4760300.0,11661370000.0,1746.0,12306.2,2470.0,91600.0,2460.0,1400.0,22358699725.0,22358699725.0,22358699725.0,1395500.0,1916200.0,,1225000.0,3052650000.0,2.0
2019-08-06,2460.0,0.0,0.0,2460.0,2350.0,2450.0,-10.0,2695300.0,6508253000.0,1708.0,12256.1,2460.0,98400.0,2450.0,57200.0,22358699725.0,22358699725.0,22358699725.0,571400.0,1360900.0,,0.0,0.0,0.0
2019-08-07,2450.0,0.0,0.0,2470.0,2420.0,2450.0,0.0,2219700.0,5438040000.0,691.0,12256.1,2450.0,345400.0,2440.0,20500.0,22358699725.0,22358699725.0,22358699725.0,608600.0,231400.0,,0.0,0.0,0.0
2019-08-08,2450.0,0.0,0.0,2470.0,2440.0,2440.0,-10.0,2192600.0,5373668000.0,605.0,12206.1,2450.0,29000.0,2440.0,260600.0,22358699725.0,22358699725.0,22358699725.0,793500.0,263300.0,,0.0,0.0,0.0
2019-08-09,2440.0,0.0,0.0,2470.0,2440.0,2460.0,20.0,1344700.0,3303874000.0,527.0,12306.2,2470.0,45800.0,2460.0,238800.0,22358699725.0,22358699725.0,22358699725.0,283700.0,0.0,,0.0,0.0,0.0
2019-08-12,2460.0,0.0,0.0,2480.0,2440.0,2450.0,-10.0,1562700.0,3830650000.0,775.0,12256.1,2450.0,361700.0,2440.0,1300.0,22358699725.0,22358699725.0,22358699725.0,469300.0,1500.0,,12963200.0,31751931000.0,21.0
2019-08-13,2450.0,0.0,0.0,2460.0,2400.0,2410.0,-40.0,604500.0,1461694000.0,663.0,12056.0,2420.0,101400.0,2410.0,500.0,22358699725.0,22358699725.0,22358699725.0,42000.0,209800.0,,4067209.0,11493015472.0,8.0
2019-08-14,2410.0,0.0,0.0,2480.0,2410.0,2460.0,50.0,2386000.0,5850971000.0,1017.0,12306.2,2460.0,13600.0,2450.0,183300.0,22358699725.0,22358699725.0,22358699725.0,1144200.0,768200.0,,2352000.0,5750640000.0,1.0
2019-08-15,2460.0,0.0,0.0,2470.0,2410.0,2470.0,10.0,1496400.0,3671927000.0,672.0,12356.2,2470.0,49800.0,2450.0,35700.0,22358699725.0,22358699725.0,22358699725.0,558700.0,220700.0,,0.0,0.0,0.0
