date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,655.0,0.0,0.0,660.0,650.0,655.0,0.0,3286000.0,2153644500.0,311.0,635.9,660.0,155300.0,655.0,4900.0,11004929322.0,11004929322.0,11004929322.0,206800.0,0.0,,3000000.0,1980000000.0,1.0
2019-07-30,655.0,0.0,0.0,655.0,645.0,655.0,0.0,3336700.0,2161796000.0,437.0,635.9,655.0,330200.0,650.0,10000.0,11004929322.0,11004929322.0,11004929322.0,93700.0,0.0,,4500000.0,2932500000.0,3.0
2019-07-31,655.0,0.0,0.0,660.0,650.0,660.0,5.0,114859900.0,75229539000.0,416.0,640.8,660.0,185600.0,655.0,22200.0,11004929322.0,11004929322.0,11004929322.0,224800.0,0.0,,0.0,0.0,0.0
2019-08-01,660.0,0.0,0.0,675.0,665.0,675.0,15.0,3452700.0,2304828000.0,640.0,655.3,675.0,364300.0,670.0,10200.0,11004929322.0,11004929322.0,11004929322.0,46000.0,0.0,,5000000.0,3350000000.0,1.0
2019-08-02,675.0,0.0,0.0,680.0,665.0,675.0,0.0,3226600.0,2163682000.0,604.0,655.3,675.0,51300.0,670.0,169700.0,11004929322.0,11004929322.0,11004929322.0,238500.0,25000.0,,1700020.0,1139013300.0,3.0
2019-08-05,675.0,0.0,0.0,675.0,650.0,655.0,-20.0,2792400.0,1847444500.0,640.0,635.9,655.0,103300.0,650.0,161700.0,11004929322.0,11004929322.0,11004929322.0,278300.0,0.0,,13500000.0,8910000000.0,3.0
2019-08-06,655.0,0.0,0.0,655.0,640.0,655.0,0.0,3150800.0,2045425000.0,938.0,635.9,655.0,6500.0,650.0,27500.0,11004929322.0,11004929322.0,11004929322.0,88800.0,0.0,,10010000.0,6406550000.0,2.0
2019-08-07,655.0,0.0,0.0,665.0,650.0,655.0,0.0,3311800.0,2178988000.0,874.0,635.9,655.0,196000.0,650.0,133900.0,11004929322.0,11004929322.0,11004929322.0,101600.0,0.0,,4000000.0,2660000000.0,1.0
2019-08-08,655.0,0.0,0.0,660.0,650.0,655.0,0.0,4098800.0,2680118500.0,958.0,635.9,655.0,33900.0,650.0,170600.0,11004929322.0,11004929322.0,11004929322.0,70100.0,0.0,,6000000.0,3900000000.0,1.0
2019-08-09,655.0,0.0,0.0,675.0,650.0,670.0,15.0,3500300.0,2327945000.0,785.0,650.5,670.0,1400.0,665.0,170600.0,11004929322.0,11004929322.0,11004929322.0,17100.0,0.0,,0.0,0.0,0.0
2019-08-12,670.0,0.0,0.0,680.0,670.0,680.0,10.0,3724300.0,2512570000.0,992.0,660.2,680.0,65700.0,675.0,122300.0,11004929322.0,11004929322.0,11004929322.0,26700.0,0.0,,300050000.0,199533500000.0,4.0
2019-08-13,680.0,0.0,0.0,685.0,675.0,680.0,0.0,2996900.0,2029241000.0,876.0,660.2,685.0,233900.0,675.0,51900.0,11004929322.0,11004929322.0,11004929322.0,53100.0,6200.0,,8188957.0,5568490475.0,5.0
2019-08-14,680.0,0.0,0.0,690.0,665.0,690.0,10.0,4084600.0,2761607000.0,835.0,669.9,690.0,103900.0,685.0,200.0,11004929322.0,11004929322.0,11004929322.0,102400.0,0.0,,0.0,0.0,0.0
2019-08-15,690.0,0.0,0.0,690.0,685.0,690.0,0.0,2769800.0,1907190500.0,685.0,669.9,695.0,107000.0,690.0,2100.0,11004929322.0,11004929322.0,11004929322.0,34300.0,0.0,,0.0,0.0,0.0
2019-08-16,690.0,0.0,0.0,695.0,685.0,695.0,5.0,3784300.0,2619769500.0,677.0,674.8,695.0,48400.0,690.0,107200.0,11004929322.0,11004929322.0,11004929322.0,57100.0,0.0,,1400000.0,973000000.0,2.0
2019-08-19,695.0,0.0,0.0,700.0,690.0,695.0,0.0,4198000.0,2920721000.0,722.0,674.8,700.0,141100.0,695.0,59400.0,11004929322.0,11004929322.0,11004929322.0,0.0,30400.0,,900052.0,630036140.0,2.0
2019-08-20,695.0,0.0,0.0,700.0,690.0,695.0,0.0,4029800.0,2798526000.0,542.0,674.8,700.0,135400.0,695.0,6800.0,11004929322.0,11004929322.0,11004929322.0,0.0,0.0,,22000000.0,15290000000.0,3.0
2019-08-21,695.0,0.0,0.0,705.0,690.0,695.0,0.0,3988000.0,2781679500.0,735.0,674.8,705.0,117100.0,695.0,8000.0,11004929322.0,11004929322.0,11004929322.0,0.0,86300.0,,1500000.0,1042500000.0,1.0
2019-08-22,695.0,0.0,0.0,695.0,690.0,695.0,0.0,4100000.0,2834037000.0,537.0,674.8,695.0,5700.0,690.0,136500.0,11004929322.0,11004929322.0,11004929322.0,0.0,25100.0,,6200000.0,4898000000.0,1.0
2019-08-23,695.0,0.0,0.0,705.0,690.0,705.0,10.0,3770200.0,2633052500.0,847.0,684.5,705.0,7400.0,695.0,161700.0,11004929322.0,11004929322.0,11004929322.0,0.0,569300.0,,0.0,0.0,0.0
2019-08-26,705.0,0.0,0.0,705.0,695.0,705.0,0.0,4050100.0,2846386000.0,1132.0,684.5,710.0,147500.0,705.0,1600.0,11004929322.0,11004929322.0,11004929322.0,13100.0,159000.0,,5000000.0,3475000000.0,1.0
2019-08-27,705.0,0.0,0.0,720.0,705.0,720.0,15.0,3659300.0,2600035000.0,810.0,699.0,720.0,71000.0,715.0,10000.0,11004929322.0,11004929322.0,11004929322.0,0.0,180900.0,,14200056.0,10093040320.0,5.0
2019-08-28,720.0,0.0,0.0,735.0,720.0,730.0,10.0,3839100.0,2792246000.0,811.0,708.7,735.0,107400.0,730.0,5600.0,11004929322.0,11004929322.0,11004929322.0,0.0,267600.0,,23700000.0,16972500000.0,4.0
2019-08-29,730.0,0.0,0.0,735.0,725.0,735.0,5.0,4142100.0,3037414500.0,709.0,713.6,735.0,21000.0,730.0,127100.0,11004929322.0,11004929322.0,11004929322.0,0.0,69400.0,,17300000.0,12542500000.0,3.0
2019-08-30,735.0,0.0,0.0,745.0,730.0,745.0,10.0,4642200.0,3426571500.0,504.0,723.3,745.0,105500.0,740.0,15300.0,11004929322.0,11004929322.0,11004929322.0,0.0,207400.0,,4500000.0,3307500000.0,5.0
2019-09-02,745.0,0.0,0.0,745.0,735.0,740.0,-5.0,3414400.0,2524069500.0,449.0,718.4,740.0,120200.0,735.0,7700.0,11004929322.0,11004929322.0,11004929322.0,0.0,45700.0,,3100000.0,2309500000.0,3.0
2019-09-03,740.0,0.0,0.0,755.0,740.0,750.0,10.0,3030600.0,2262199000.0,518.0,728.2,750.0,119000.0,745.0,2900.0,11004929322.0,11004929322.0,11004929322.0,0.0,80200.0,,1000004.0,740002960.0,2.0
2019-09-04,750.0,0.0,0.0,760.0,750.0,760.0,10.0,3297000.0,2486903500.0,508.0,737.9,760.0,97300.0,755.0,29600.0,11004929322.0,11004929322.0,11004929322.0,0.0,153100.0,,3900000.0,2964000000.0,4.0
2019-09-05,760.0,0.0,0.0,765.0,760.0,765.0,5.0,4880000.0,3726421500.0,566.0,742.7,770.0,110800.0,765.0,200.0,11004929322.0,11004929322.0,11004929322.0,0.0,104300.0,,3300004.0,2524503024.0,5.0
2019-09-06,765.0,0.0,0.0,770.0,765.0,765.0,0.0,3505200.0,2688699000.0,526.0,742.7,765.0,23600.0,760.0,152900.0,11004929322.0,11004929322.0,11004929322.0,0.0,172200.0,,4500004.0,3465003060.0,3.0
2019-09-09,765.0,0.0,0.0,770.0,760.0,765.0,0.0,4145300.0,3178257500.0,304.0,742.7,765.0,7300.0,760.0,109900.0,11004929322.0,11004929322.0,11004929322.0,0.0,27200.0,,3200000.0,2464000000.0,3.0
2019-09-10,765.0,0.0,0.0,770.0,760.0,770.0,5.0,4336500.0,3324242000.0,496.0,747.6,770.0,11200.0,765.0,107100.0,11004929322.0,11004929322.0,11004929322.0,0.0,30000.0,,11400000.0,9561000000.0,3.0
2019-09-11,770.0,0.0,0.0,770.0,765.0,770.0,0.0,4818000.0,3702635000.0,443.0,747.6,770.0,500.0,765.0,102500.0,11004929322.0,11004929322.0,11004929322.0,100.0,158700.0,,7500000.0,4987500000.0,1.0
2019-09-12,770.0,0.0,0.0,775.0,765.0,765.0,-5.0,3336800.0,2568818500.0,360.0,742.7,770.0,110500.0,765.0,700.0,11004929322.0,11004929322.0,11004929322.0,0.0,41100.0,,8500000.0,6587500000.0,3.0
2019-09-13,765.0,0.0,0.0,770.0,755.0,765.0,0.0,3000100.0,2302142500.0,299.0,742.7,770.0,125000.0,765.0,3500.0,11004929322.0,11004929322.0,11004929322.0,0.0,78000.0,,0.0,0.0,0.0
