date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-01-09T00:00:00,438.0,0.0,0.0,545.0,438.0,525.0,87.0,317338600.0,165753044700.0,57174.0,119.9,530.0,46200.0,525.0,143400.0,6082020000.0,6082020000.0,1216404000.0,9255600.0,2035200.0,,1500.0,810000.0,1.0
2024-01-10T00:00:00,525.0,0.0,0.0,635.0,460.0,595.0,70.0,210644000.0,119496365800.0,37972.0,135.8,595.0,1138400.0,590.0,461600.0,6082020000.0,6082020000.0,1216404000.0,5460300.0,3898200.0,,0.0,0.0,0.0
2024-01-11T00:00:00,595.0,0.0,0.0,740.0,595.0,740.0,145.0,120880300.0,83053160000.0,26132.0,168.9,0.0,0.0,740.0,38118300.0,6082020000.0,6082020000.0,1216404000.0,7031200.0,2910500.0,,0.0,0.0,0.0
2024-01-12T00:00:00,740.0,0.0,0.0,895.0,555.0,560.0,-180.0,262307400.0,181289117000.0,52526.0,127.9,565.0,205700.0,560.0,20600.0,6082020000.0,6082020000.0,1216404000.0,47731300.0,1482400.0,,0.0,0.0,0.0
2024-01-15T00:00:00,560.0,0.0,0.0,625.0,490.0,575.0,15.0,99840800.0,55630344300.0,20754.0,131.3,580.0,486600.0,575.0,20141200.0,6082020000.0,6082020000.0,1216404000.0,652200.0,738000.0,,0.0,0.0,0.0
2024-01-16T00:00:00,575.0,0.0,0.0,700.0,550.0,695.0,120.0,139122100.0,90066069000.0,24940.0,158.7,700.0,1606000.0,695.0,2526300.0,6082020000.0,6082020000.0,1216404000.0,794000.0,1054700.0,,3649212000.0,1598354856000.0,4.0
2024-01-17T00:00:00,695.0,0.0,0.0,785.0,670.0,765.0,70.0,137364600.0,102748451500.0,28674.0,174.7,765.0,262900.0,760.0,537500.0,6082020000.0,6082020000.0,1216404000.0,2768200.0,4179100.0,,0.0,0.0,0.0
2024-01-18T00:00:00,765.0,0.0,0.0,790.0,690.0,710.0,-55.0,129027000.0,96661527000.0,28002.0,162.1,720.0,100.0,710.0,366200.0,6082020000.0,6082020000.0,1216404000.0,400900.0,3091900.0,,0.0,0.0,0.0
2024-01-19T00:00:00,710.0,0.0,0.0,745.0,650.0,660.0,-50.0,95273400.0,65305214000.0,18766.0,150.7,665.0,71500.0,660.0,5998000.0,6082020000.0,6082020000.0,1216404000.0,20772600.0,2657300.0,,0.0,0.0,0.0
2024-01-22T00:00:00,660.0,0.0,0.0,675.0,600.0,610.0,-50.0,52131400.0,32766073000.0,11265.0,139.3,615.0,167200.0,610.0,93500.0,6082020000.0,6082020000.0,1216404000.0,3226700.0,2024400.0,,0.0,0.0,0.0
2024-01-23T00:00:00,610.0,0.0,0.0,625.0,515.0,545.0,-65.0,66107000.0,36969737000.0,12220.0,124.4,550.0,227000.0,545.0,61900.0,6082020000.0,6082020000.0,1216404000.0,6906400.0,5313100.0,,0.0,0.0,0.0
2024-01-24T00:00:00,545.0,0.0,0.0,550.0,462.0,496.0,-49.0,69511900.0,34854031100.0,12229.0,113.2,496.0,40900.0,494.0,23500.0,6082020000.0,6082020000.0,1216404000.0,3300400.0,3164700.0,,0.0,0.0,0.0
2024-01-25T00:00:00,496.0,0.0,0.0,620.0,484.0,620.0,124.0,160584800.0,93857922800.0,26409.0,141.6,0.0,0.0,620.0,11481500.0,6082020000.0,6082020000.0,1216404000.0,9477100.0,6772100.0,,0.0,0.0,0.0
2024-01-26T00:00:00,620.0,0.0,0.0,695.0,540.0,605.0,-15.0,134693600.0,85857352500.0,26598.0,138.1,605.0,335500.0,600.0,1413000.0,6082020000.0,6082020000.0,1216404000.0,3149800.0,2376500.0,,0.0,0.0,0.0
