date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,322.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,360.0,2000.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,322.0,0.0,0.0,360.0,244.0,252.0,-70.0,1100.0,325400.0,11.0,126.0,0.0,0.0,300.0,2700.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,252.0,0.0,0.0,314.0,248.0,312.0,60.0,46700.0,12403600.0,40.0,156.0,312.0,12100.0,248.0,200.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,312.0,0.0,0.0,388.0,254.0,320.0,8.0,48200.0,13992400.0,70.0,160.0,318.0,13600.0,316.0,300.0,273200000.0,273200000.0,273200000.0,1000.0,1000.0,,0.0,0.0,0.0
2019-08-02T00:00:00,320.0,0.0,0.0,398.0,282.0,312.0,-8.0,60400.0,18301200.0,58.0,156.0,312.0,4500.0,282.0,1000.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,312.0,0.0,0.0,312.0,250.0,272.0,-40.0,17300.0,4960000.0,27.0,136.0,284.0,600.0,272.0,1300.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,272.0,0.0,0.0,310.0,244.0,268.0,-4.0,12800.0,3705600.0,26.0,134.0,298.0,18300.0,268.0,800.0,273200000.0,273200000.0,273200000.0,600.0,600.0,,0.0,0.0,0.0
2019-08-07T00:00:00,268.0,0.0,0.0,310.0,290.0,306.0,38.0,11900.0,3652000.0,16.0,153.0,306.0,17500.0,284.0,500.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,306.0,0.0,0.0,310.0,250.0,286.0,-20.0,1400.0,423400.0,5.0,143.0,308.0,15500.0,286.0,2300.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,286.0,0.0,0.0,308.0,286.0,308.0,22.0,10500.0,3005600.0,11.0,154.0,300.0,9000.0,298.0,100.0,273200000.0,273200000.0,273200000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12T00:00:00,308.0,0.0,0.0,328.0,278.0,280.0,-28.0,208100.0,58067200.0,24.0,140.0,292.0,2000.0,280.0,5100.0,273200000.0,273200000.0,273200000.0,0.0,2000.0,,0.0,0.0,0.0
