date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-11-08,204.0,0.0,0.0,254.0,210.0,252.0,48.0,1192030200.0,288230551600.0,66697.0,123.5,252.0,3624200.0,250.0,854200.0,27058850000.0,4056620300.0,4058850000.0,19564000.0,3422400.0,,10000.0,2040000.0,1.0
2022-11-09,252.0,0.0,0.0,266.0,238.0,252.0,0.0,546844800.0,138464381200.0,35896.0,123.5,252.0,9228000.0,250.0,9384500.0,27058850000.0,4056620300.0,4058850000.0,3080900.0,1384100.0,,22100.0,5154600.0,2.0
2022-11-10,252.0,0.0,0.0,252.0,240.0,246.0,-6.0,220657100.0,54135833600.0,14703.0,120.6,246.0,2664200.0,244.0,13184100.0,27058850000.0,4056620300.0,4058850000.0,52071400.0,4498300.0,,0.0,0.0,0.0
2022-11-11,246.0,0.0,0.0,260.0,242.0,252.0,6.0,248027400.0,62513434200.0,10166.0,123.5,252.0,5052100.0,250.0,6319200.0,27058850000.0,4056620300.0,4058850000.0,3212700.0,4836800.0,,3500000.0,789000000.0,2.0
2022-11-14,252.0,0.0,0.0,260.0,248.0,258.0,6.0,240664100.0,61184558000.0,9154.0,126.5,258.0,2504600.0,256.0,10905600.0,27058850000.0,4056620300.0,4058850000.0,6446500.0,4060700.0,,10000.0,2500000.0,1.0
2022-11-15,258.0,0.0,0.0,264.0,254.0,264.0,6.0,240539400.0,62290280600.0,7945.0,129.4,264.0,1824700.0,262.0,4333600.0,27058850000.0,4056620300.0,4058850000.0,3100000.0,4078800.0,,72300.0,19612500.0,2.0
2022-11-16,264.0,0.0,0.0,272.0,258.0,262.0,-2.0,295956000.0,78216135600.0,8248.0,128.4,264.0,3019200.0,262.0,27542200.0,27058850000.0,4056620300.0,4058850000.0,5775000.0,8318200.0,,0.0,0.0,0.0
2022-11-17,262.0,0.0,0.0,272.0,258.0,272.0,10.0,240838600.0,64167030800.0,6546.0,133.3,274.0,3024600.0,272.0,5890400.0,27058850000.0,4056620300.0,4058850000.0,4109900.0,2286000.0,,110000.0,27640000.0,4.0
2022-11-18,272.0,0.0,0.0,280.0,268.0,270.0,-2.0,230691400.0,62917514000.0,7240.0,132.4,270.0,2681000.0,268.0,21091700.0,27058850000.0,4056620300.0,4058850000.0,1971200.0,6211100.0,,0.0,0.0,0.0
2022-11-21,270.0,0.0,0.0,272.0,260.0,264.0,-6.0,254080700.0,67338857000.0,4950.0,129.4,264.0,2949000.0,262.0,5846600.0,27058850000.0,4056620300.0,4058850000.0,3031300.0,1104000.0,,0.0,0.0,0.0
