date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-09-23T00:00:00,135.0,0.0,0.0,228.0,228.0,228.0,93.0,23400.0,5335200.0,26.0,168.9,0.0,0.0,228.0,83569400.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,50000.0,7500000.0,1.0
2019-09-24T00:00:00,228.0,0.0,0.0,284.0,284.0,284.0,56.0,186300.0,52909200.0,42.0,210.4,0.0,0.0,284.0,40787400.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-25T00:00:00,284.0,0.0,0.0,354.0,330.0,354.0,70.0,153801200.0,54064764000.0,4066.0,262.2,0.0,0.0,354.0,19120600.0,1000000000.0,400000000.0,1000000000.0,600.0,35000.0,,0.0,0.0,0.0
2019-09-26T00:00:00,354.0,0.0,0.0,392.0,330.0,348.0,-6.0,103947500.0,37495992000.0,5482.0,257.8,348.0,184500.0,346.0,2145400.0,1000000000.0,400000000.0,1000000000.0,145000.0,140000.0,,0.0,0.0,0.0
2019-09-27T00:00:00,348.0,0.0,0.0,352.0,320.0,328.0,-20.0,26911500.0,9038078200.0,1782.0,243.0,330.0,327300.0,328.0,225700.0,1000000000.0,400000000.0,1000000000.0,30000.0,6000.0,,0.0,0.0,0.0
2019-09-30T00:00:00,328.0,0.0,0.0,410.0,324.0,410.0,82.0,113720000.0,44659323800.0,7286.0,303.7,0.0,0.0,410.0,11809400.0,1000000000.0,400000000.0,1000000000.0,16000.0,16000.0,,7000.0,2520000.0,1.0
2019-10-01T00:00:00,410.0,0.0,0.0,438.0,368.0,414.0,4.0,132297500.0,54330881200.0,9005.0,306.7,414.0,1082600.0,412.0,1607600.0,1000000000.0,400000000.0,1000000000.0,111000.0,255000.0,,0.0,0.0,0.0
2019-10-02T00:00:00,414.0,0.0,0.0,424.0,404.0,418.0,4.0,44813300.0,18604091200.0,5553.0,309.6,418.0,579100.0,416.0,679600.0,1000000000.0,400000000.0,1000000000.0,220000.0,70000.0,,0.0,0.0,0.0
2019-10-03T00:00:00,418.0,0.0,0.0,520.0,404.0,500.0,82.0,124184300.0,57897334500.0,12925.0,370.4,500.0,1466500.0,498.0,2058700.0,1000000000.0,400000000.0,1000000000.0,3000.0,3000.0,,10000.0,4080000.0,2.0
2019-10-04T00:00:00,500.0,0.0,0.0,510.0,420.0,430.0,-70.0,122920700.0,56774469600.0,10114.0,318.5,432.0,458000.0,430.0,51400.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-07T00:00:00,430.0,0.0,0.0,462.0,380.0,404.0,-26.0,97857200.0,42662929600.0,8590.0,299.3,406.0,90000.0,404.0,773600.0,1000000000.0,400000000.0,1000000000.0,120000.0,510000.0,,0.0,0.0,0.0
2019-10-08T00:00:00,404.0,0.0,0.0,424.0,342.0,366.0,-38.0,125702700.0,48139730000.0,11524.0,271.1,368.0,133000.0,366.0,98900.0,1000000000.0,400000000.0,1000000000.0,430000.0,711000.0,,0.0,0.0,0.0
2019-10-09T00:00:00,366.0,0.0,0.0,422.0,366.0,410.0,44.0,72852000.0,28798674800.0,8632.0,303.7,410.0,114400.0,408.0,1541700.0,1000000000.0,400000000.0,1000000000.0,613000.0,0.0,,0.0,0.0,0.0
2019-10-10T00:00:00,410.0,0.0,0.0,426.0,308.0,308.0,-102.0,121699600.0,43199450400.0,12529.0,228.1,308.0,5672900.0,0.0,0.0,1000000000.0,400000000.0,1000000000.0,57000.0,249000.0,,0.0,0.0,0.0
2019-10-11T00:00:00,308.0,0.0,0.0,324.0,264.0,278.0,-30.0,118686500.0,34050951800.0,9426.0,205.9,278.0,1188200.0,276.0,399800.0,1000000000.0,400000000.0,1000000000.0,160000.0,365000.0,,0.0,0.0,0.0
2019-10-14T00:00:00,278.0,0.0,0.0,284.0,270.0,270.0,-8.0,14943300.0,4104425400.0,2052.0,200.0,274.0,224700.0,270.0,815000.0,1000000000.0,400000000.0,1000000000.0,410000.0,100000.0,,0.0,0.0,0.0
2019-10-15T00:00:00,270.0,0.0,0.0,278.0,268.0,268.0,-2.0,24828600.0,6748293600.0,3455.0,198.5,268.0,82000.0,266.0,546000.0,1000000000.0,400000000.0,1000000000.0,21500.0,410000.0,,0.0,0.0,0.0
2019-10-16T00:00:00,268.0,0.0,0.0,294.0,268.0,270.0,2.0,58052300.0,16098904600.0,5629.0,200.0,272.0,165900.0,270.0,109900.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-17T00:00:00,270.0,0.0,0.0,288.0,230.0,246.0,-24.0,103157800.0,27333878200.0,9386.0,182.2,248.0,609700.0,246.0,387900.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-18T00:00:00,246.0,0.0,0.0,258.0,208.0,212.0,-34.0,111655800.0,26221025600.0,10663.0,157.0,212.0,97200.0,210.0,2318100.0,1000000000.0,400000000.0,1000000000.0,0.0,32500.0,,0.0,0.0,0.0
2019-10-21T00:00:00,212.0,0.0,0.0,238.0,204.0,230.0,18.0,67747100.0,15216110800.0,6394.0,170.4,230.0,1394500.0,228.0,1673400.0,1000000000.0,400000000.0,1000000000.0,213500.0,35000.0,,0.0,0.0,0.0
2019-10-22T00:00:00,230.0,0.0,0.0,232.0,185.0,189.0,-41.0,164644500.0,33397057900.0,13187.0,140.0,190.0,28500.0,189.0,471500.0,1000000000.0,400000000.0,1000000000.0,150000.0,100000.0,,0.0,0.0,0.0
2019-10-23T00:00:00,189.0,0.0,0.0,196.0,189.0,190.0,1.0,31994300.0,6146224800.0,3362.0,140.7,190.0,23200.0,189.0,1178600.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-24T00:00:00,190.0,0.0,0.0,212.0,182.0,210.0,20.0,52599500.0,10487235100.0,3647.0,155.6,210.0,2039100.0,208.0,3475300.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-25T00:00:00,210.0,0.0,0.0,218.0,174.0,175.0,-35.0,168274000.0,31592667400.0,13382.0,129.6,175.0,991500.0,174.0,1304300.0,1000000000.0,400000000.0,1000000000.0,50000.0,492200.0,,0.0,0.0,0.0
2019-10-28T00:00:00,175.0,0.0,0.0,181.0,174.0,176.0,1.0,14378300.0,2538264000.0,1689.0,130.4,176.0,392700.0,175.0,106400.0,1000000000.0,400000000.0,1000000000.0,37200.0,14000.0,,0.0,0.0,0.0
2019-10-29T00:00:00,176.0,0.0,0.0,198.0,173.0,191.0,15.0,61325800.0,11360452600.0,5221.0,141.5,191.0,1327500.0,190.0,2185100.0,1000000000.0,400000000.0,1000000000.0,15000.0,0.0,,0.0,0.0,0.0
2019-10-30T00:00:00,191.0,0.0,0.0,200.0,150.0,150.0,-41.0,151997500.0,25105580100.0,11530.0,111.1,150.0,176900.0,149.0,1042500.0,1000000000.0,400000000.0,1000000000.0,300.0,50100.0,,0.0,0.0,0.0
2019-10-31T00:00:00,150.0,0.0,0.0,156.0,135.0,143.0,-7.0,41139500.0,6143357400.0,4039.0,105.9,144.0,178500.0,143.0,424800.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-01T00:00:00,143.0,0.0,0.0,149.0,141.0,146.0,3.0,15746900.0,2264153700.0,1649.0,108.1,146.0,671500.0,145.0,1447900.0,1000000000.0,400000000.0,1000000000.0,100000.0,0.0,,0.0,0.0,0.0
2019-11-04T00:00:00,146.0,0.0,0.0,148.0,142.0,145.0,-1.0,10485800.0,1515777800.0,944.0,107.4,145.0,391000.0,144.0,787000.0,1000000000.0,400000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-05T00:00:00,145.0,0.0,0.0,150.0,134.0,135.0,-10.0,52789200.0,7466582800.0,4212.0,100.0,135.0,54900.0,134.0,948400.0,1000000000.0,400000000.0,1000000000.0,164000.0,150000.0,,0.0,0.0,0.0
2019-11-06T00:00:00,135.0,0.0,0.0,138.0,123.0,126.0,-9.0,32147300.0,4132960100.0,1979.0,93.3,127.0,567100.0,126.0,3900.0,1000000000.0,400000000.0,1000000000.0,150000.0,0.0,,0.0,0.0,0.0
2019-11-07T00:00:00,126.0,0.0,0.0,126.0,119.0,119.0,-7.0,12714500.0,1544177800.0,687.0,88.1,120.0,139700.0,119.0,1590700.0,1000000000.0,400000000.0,1000000000.0,0.0,5000.0,,0.0,0.0,0.0
