date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-12-08,100.0,0.0,0.0,135.0,99.0,110.0,10.0,1012575300.0,122829849600.0,98911.0,110.0,111.0,14500.0,110.0,39786200.0,3150000000.0,900000000.0,900000000.0,2826700.0,1783200.0,,0.0,0.0,0.0
2022-12-09,110.0,0.0,0.0,120.0,103.0,104.0,-6.0,87102100.0,9439568400.0,9588.0,104.0,105.0,253400.0,104.0,1724300.0,3150000000.0,900000000.0,900000000.0,561200.0,80000.0,,0.0,0.0,0.0
2022-12-12,104.0,0.0,0.0,107.0,97.0,101.0,-3.0,71525800.0,7192267100.0,4771.0,101.0,101.0,346600.0,100.0,140100.0,3150000000.0,900000000.0,900000000.0,5000.0,0.0,,0.0,0.0,0.0
2022-12-13,101.0,0.0,0.0,111.0,94.0,97.0,-4.0,225317600.0,23234519500.0,18356.0,97.0,98.0,100500.0,97.0,1385400.0,3150000000.0,900000000.0,900000000.0,0.0,0.0,,1100.0,121000.0,1.0
2022-12-14,97.0,0.0,0.0,115.0,97.0,110.0,13.0,285675400.0,31081282400.0,27782.0,110.0,111.0,60700.0,110.0,142074200.0,3150000000.0,900000000.0,900000000.0,20700.0,0.0,,0.0,0.0,0.0
2022-12-15,110.0,0.0,0.0,114.0,103.0,107.0,-3.0,98076800.0,10498324700.0,5457.0,107.0,107.0,214269100.0,106.0,46100.0,3150000000.0,900000000.0,900000000.0,40000.0,475000.0,,0.0,0.0,0.0
2022-12-16,107.0,0.0,0.0,113.0,104.0,106.0,-1.0,25353300.0,2747464500.0,4104.0,106.0,106.0,180400.0,105.0,257500.0,3150000000.0,900000000.0,900000000.0,601200.0,381500.0,,0.0,0.0,0.0
2022-12-19,106.0,0.0,0.0,110.0,99.0,104.0,-2.0,63156600.0,6436881400.0,2343.0,104.0,104.0,1231500.0,103.0,580900.0,3150000000.0,900000000.0,900000000.0,58700.0,234300.0,,0.0,0.0,0.0
2022-12-20,104.0,0.0,0.0,105.0,101.0,103.0,-1.0,7057800.0,725415900.0,999.0,103.0,103.0,801100.0,102.0,47400.0,3150000000.0,900000000.0,900000000.0,55700.0,996000.0,,0.0,0.0,0.0
2022-12-21,103.0,0.0,0.0,125.0,101.0,122.0,19.0,406599900.0,46891647000.0,18047.0,122.0,122.0,715700.0,121.0,155100.0,3150000000.0,900000000.0,900000000.0,18757900.0,17751700.0,,0.0,0.0,0.0
