date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,232.0,0.0,0.0,238.0,228.0,238.0,6.0,4400.0,1005200.0,4.0,65.1,238.0,12000.0,230.0,5500.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,238.0,0.0,0.0,230.0,230.0,230.0,-8.0,1800.0,414000.0,5.0,62.9,230.0,5500.0,226.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,230.0,0.0,0.0,238.0,216.0,236.0,6.0,500.0,114400.0,5.0,64.5,236.0,54000.0,222.0,2500.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,236.0,0.0,0.0,230.0,224.0,230.0,-6.0,200.0,45400.0,2.0,62.9,236.0,23400.0,224.0,10300.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,230.0,0.0,0.0,240.0,212.0,236.0,6.0,1100.0,253200.0,11.0,64.5,236.0,19000.0,218.0,55200.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,236.0,0.0,0.0,234.0,222.0,234.0,-2.0,5700.0,1289400.0,9.0,64.0,234.0,7800.0,230.0,2000.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,234.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,64.0,230.0,7700.0,214.0,6500.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,234.0,0.0,0.0,228.0,228.0,228.0,-6.0,1000.0,228000.0,1.0,62.3,232.0,500.0,224.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,228.0,0.0,0.0,240.0,228.0,228.0,0.0,300.0,70400.0,3.0,62.3,234.0,100.0,228.0,14900.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,228.0,0.0,0.0,240.0,228.0,238.0,10.0,13200.0,3089800.0,8.0,65.1,236.0,100.0,226.0,15000.0,7119540356.0,7119540356.0,7119540356.0,0.0,7000.0,,0.0,0.0,0.0
2019-08-12,238.0,0.0,0.0,238.0,222.0,228.0,-10.0,1200.0,268600.0,3.0,62.3,240.0,211400.0,230.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,228.0,0.0,0.0,226.0,226.0,226.0,-2.0,3900.0,881400.0,6.0,61.8,236.0,1000.0,222.0,200.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,226.0,0.0,0.0,226.0,226.0,226.0,0.0,2500.0,565000.0,2.0,61.8,226.0,4200.0,222.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,226.0,0.0,0.0,240.0,220.0,240.0,14.0,8100.0,1811000.0,8.0,65.6,234.0,4600.0,220.0,2900.0,7119540356.0,7119540356.0,7119540356.0,100.0,0.0,,0.0,0.0,0.0
2019-08-16,240.0,0.0,0.0,236.0,230.0,234.0,-6.0,2600.0,601000.0,4.0,64.0,234.0,7600.0,228.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,234.0,0.0,0.0,236.0,222.0,224.0,-10.0,4300.0,962000.0,10.0,61.2,224.0,28700.0,222.0,9400.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,224.0,0.0,0.0,224.0,222.0,222.0,-2.0,2000.0,447600.0,3.0,60.7,234.0,50900.0,228.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,222.0,0.0,0.0,240.0,236.0,236.0,14.0,2400.0,567800.0,4.0,64.5,236.0,15900.0,222.0,5100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,236.0,0.0,0.0,256.0,222.0,234.0,-2.0,3500.0,823200.0,8.0,64.0,234.0,42400.0,224.0,200.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,234.0,0.0,0.0,230.0,210.0,230.0,-4.0,1200.0,272400.0,3.0,62.9,238.0,100.0,220.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,230.0,0.0,0.0,230.0,210.0,224.0,-6.0,20800.0,4454800.0,10.0,61.2,224.0,15200.0,216.0,300.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,224.0,0.0,0.0,234.0,214.0,228.0,4.0,38100.0,8464800.0,18.0,62.3,228.0,1000.0,226.0,100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,228.0,0.0,0.0,228.0,224.0,224.0,-4.0,2500.0,568600.0,6.0,61.2,224.0,4700.0,220.0,200.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,224.0,0.0,0.0,224.0,212.0,222.0,-2.0,6600.0,1414200.0,10.0,60.7,222.0,1400.0,220.0,6100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,222.0,0.0,0.0,224.0,222.0,224.0,2.0,4100.0,911800.0,4.0,61.2,224.0,6000.0,222.0,4000.0,7119540356.0,7119540356.0,7119540356.0,0.0,800.0,,0.0,0.0,0.0
2019-09-02,224.0,0.0,0.0,224.0,224.0,224.0,0.0,800.0,179200.0,2.0,61.2,224.0,51300.0,210.0,1000.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,224.0,0.0,0.0,224.0,224.0,224.0,0.0,2100.0,470400.0,1.0,61.2,224.0,7800.0,216.0,3100.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,224.0,0.0,0.0,220.0,216.0,216.0,-8.0,5200.0,1124000.0,7.0,59.0,216.0,2200.0,214.0,1500.0,7119540356.0,7119540356.0,7119540356.0,800.0,0.0,,0.0,0.0,0.0
2019-09-05,216.0,0.0,0.0,216.0,214.0,214.0,-2.0,3600.0,771400.0,9.0,58.5,226.0,11200.0,214.0,200.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06,214.0,0.0,0.0,230.0,214.0,214.0,0.0,8000.0,1793800.0,10.0,58.5,226.0,100.0,214.0,22400.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,214.0,0.0,0.0,216.0,214.0,216.0,2.0,23100.0,4947800.0,10.0,59.0,220.0,1900.0,216.0,1000.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,216.0,0.0,0.0,246.0,218.0,246.0,30.0,310200.0,71298800.0,15.0,67.2,240.0,1500.0,220.0,100.0,7119540356.0,7119540356.0,7119540356.0,300000.0,0.0,,0.0,0.0,0.0
2019-09-11,246.0,0.0,0.0,246.0,222.0,236.0,-10.0,17800.0,4152200.0,25.0,64.5,232.0,100.0,228.0,139600.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,236.0,0.0,0.0,234.0,232.0,234.0,-2.0,2800.0,654000.0,4.0,64.0,234.0,2100.0,224.0,200.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,234.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,64.0,232.0,100.0,224.0,500.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16,234.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,64.0,234.0,17200.0,220.0,1600.0,7119540356.0,7119540356.0,7119540356.0,0.0,0.0,,0.0,0.0,0.0
