date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,705.0,0.0,0.0,710.0,530.0,530.0,-175.0,83697400.0,50130573500.0,1553.0,530.0,530.0,2442500.0,0.0,0.0,3125000000.0,625000000.0,3125000000.0,320000.0,364600.0,,2000.0,1060000.0,1.0
2019-07-30,530.0,0.0,0.0,660.0,398.0,660.0,130.0,65318500.0,34161310100.0,4729.0,660.0,0.0,0.0,660.0,23893800.0,3125000000.0,625000000.0,3125000000.0,424000.0,147300.0,,11360000.0,7497600000.0,1.0
2019-07-31,660.0,0.0,0.0,825.0,660.0,825.0,165.0,114432900.0,86214599000.0,4629.0,825.0,0.0,0.0,825.0,10405300.0,3125000000.0,625000000.0,3125000000.0,460000.0,460000.0,,0.0,0.0,0.0
2019-08-01,825.0,0.0,0.0,930.0,620.0,620.0,-205.0,133412000.0,106308022000.0,8211.0,620.0,620.0,6488300.0,0.0,0.0,3125000000.0,625000000.0,3125000000.0,471900.0,1515600.0,,35571800.0,22054516000.0,6.0
2019-08-02,620.0,0.0,0.0,605.0,466.0,466.0,-154.0,43449500.0,22450023700.0,4857.0,466.0,466.0,961500.0,0.0,0.0,3125000000.0,625000000.0,3125000000.0,13300.0,100000.0,,0.0,0.0,0.0
2019-08-05,466.0,0.0,0.0,560.0,362.0,496.0,30.0,50839300.0,21941130700.0,5257.0,496.0,498.0,41000.0,496.0,137600.0,3125000000.0,625000000.0,3125000000.0,2200.0,2200.0,,0.0,0.0,0.0
2019-08-06,496.0,0.0,0.0,520.0,484.0,484.0,-12.0,9721500.0,4784683400.0,1306.0,484.0,486.0,35700.0,484.0,1900.0,3125000000.0,625000000.0,3125000000.0,100000.0,0.0,,0.0,0.0,0.0
2019-08-07,484.0,0.0,0.0,515.0,364.0,364.0,-120.0,46200700.0,19360244100.0,5875.0,364.0,366.0,110000.0,364.0,455000.0,3125000000.0,625000000.0,3125000000.0,22600.0,237700.0,,8750000.0,3202500000.0,1.0
2019-08-08,364.0,0.0,0.0,384.0,274.0,274.0,-90.0,266808900.0,93762538000.0,8133.0,274.0,274.0,2282100.0,0.0,0.0,3125000000.0,625000000.0,3125000000.0,12000.0,644000.0,,100200.0,27496800.0,2.0
2019-08-09,274.0,0.0,0.0,342.0,234.0,342.0,68.0,100964500.0,32317220600.0,8317.0,342.0,0.0,0.0,342.0,6666600.0,3125000000.0,625000000.0,3125000000.0,1374000.0,507800.0,,0.0,0.0,0.0
2019-08-12,342.0,0.0,0.0,426.0,312.0,426.0,84.0,43219100.0,16388752000.0,5307.0,426.0,0.0,0.0,426.0,5224200.0,3125000000.0,625000000.0,3125000000.0,456100.0,125300.0,,31950000.0,8243100000.0,3.0
2019-08-13,426.0,0.0,0.0,500.0,320.0,320.0,-106.0,103497200.0,36310019400.0,9319.0,320.0,320.0,3074800.0,0.0,0.0,3125000000.0,625000000.0,3125000000.0,52500.0,660700.0,,0.0,0.0,0.0
2019-08-14,320.0,0.0,0.0,320.0,240.0,240.0,-80.0,109140300.0,27311459000.0,10600.0,240.0,240.0,3810900.0,0.0,0.0,3125000000.0,625000000.0,3125000000.0,408100.0,1120600.0,,0.0,0.0,0.0
2019-08-15,240.0,0.0,0.0,256.0,191.0,202.0,-38.0,89056600.0,18740458200.0,9484.0,202.0,204.0,670900.0,202.0,231100.0,3125000000.0,625000000.0,3125000000.0,424100.0,722800.0,,0.0,0.0,0.0
2019-08-16,202.0,0.0,0.0,236.0,192.0,200.0,-2.0,63387200.0,13239862800.0,9319.0,200.0,202.0,56900.0,200.0,1653600.0,3125000000.0,625000000.0,3125000000.0,150100.0,308400.0,,60000.0,25200000.0,1.0
2019-08-19,200.0,0.0,0.0,212.0,196.0,204.0,4.0,29367100.0,5968724400.0,2955.0,204.0,204.0,453100.0,202.0,136200.0,3125000000.0,625000000.0,3125000000.0,194200.0,50000.0,,0.0,0.0,0.0
2019-08-20,204.0,0.0,0.0,206.0,193.0,193.0,-11.0,10971900.0,2169065500.0,1938.0,193.0,194.0,244600.0,193.0,87800.0,3125000000.0,625000000.0,3125000000.0,0.0,15000.0,,0.0,0.0,0.0
2019-08-21,193.0,0.0,0.0,200.0,179.0,181.0,-12.0,15378800.0,2843256100.0,3227.0,181.0,182.0,7200.0,181.0,1900.0,3125000000.0,625000000.0,3125000000.0,194200.0,25000.0,,0.0,0.0,0.0
2019-08-22,181.0,0.0,0.0,186.0,157.0,160.0,-21.0,17686600.0,3003026700.0,2736.0,160.0,162.0,85600.0,160.0,2120400.0,3125000000.0,625000000.0,3125000000.0,480200.0,41700.0,,0.0,0.0,0.0
2019-08-23,160.0,0.0,0.0,164.0,150.0,150.0,-10.0,9583300.0,1491155300.0,1899.0,150.0,152.0,3000.0,150.0,5700.0,3125000000.0,625000000.0,3125000000.0,110100.0,310000.0,,0.0,0.0,0.0
