date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-11-09,200.0,0.0,0.0,270.0,270.0,270.0,70.0,2229600.0,601992000.0,2678.0,135.0,0.0,0.0,270.0,760665700.0,2500000000.0,1500000000.0,500000000.0,5600.0,0.0,,188090300.0,50779807000.0,13.0
2022-11-10,270.0,0.0,0.0,336.0,252.0,252.0,-18.0,363099800.0,112161956200.0,18746.0,126.0,252.0,72400900.0,0.0,0.0,2500000000.0,1500000000.0,500000000.0,154500.0,13300100.0,,3100.0,1041600.0,3.0
2022-11-11,252.0,0.0,0.0,236.0,236.0,236.0,-16.0,4707500.0,1110970000.0,993.0,118.0,236.0,135924500.0,0.0,0.0,2500000000.0,1500000000.0,500000000.0,0.0,0.0,,5000.0,1200000.0,1.0
2022-11-14,236.0,0.0,0.0,220.0,220.0,220.0,-16.0,3770200.0,829444000.0,663.0,110.0,220.0,113282000.0,0.0,0.0,2500000000.0,1500000000.0,500000000.0,0.0,0.0,,1319800.0,247564000.0,3.0
2022-11-15,220.0,0.0,0.0,234.0,206.0,232.0,12.0,529195900.0,115291186200.0,42331.0,116.0,232.0,4400800.0,230.0,14593900.0,2500000000.0,1500000000.0,500000000.0,810100.0,725000.0,,0.0,0.0,0.0
2022-11-16,232.0,0.0,0.0,236.0,216.0,218.0,-14.0,183941700.0,41190351400.0,12873.0,109.0,220.0,1612200.0,218.0,20693200.0,2500000000.0,1500000000.0,500000000.0,81600.0,125000.0,,100.0,22000.0,1.0
2022-11-17,218.0,0.0,0.0,226.0,212.0,214.0,-4.0,49050300.0,10636880600.0,4773.0,107.0,214.0,277100.0,212.0,362500.0,2500000000.0,1500000000.0,500000000.0,294100.0,23000.0,,0.0,0.0,0.0
2022-11-18,214.0,0.0,0.0,222.0,208.0,208.0,-6.0,51541700.0,11014102000.0,4716.0,104.0,210.0,196400.0,208.0,2755100.0,2500000000.0,1500000000.0,500000000.0,0.0,134000.0,,0.0,0.0,0.0
2022-11-21,208.0,0.0,0.0,210.0,198.0,202.0,-6.0,54168600.0,10949685900.0,3984.0,101.0,204.0,651200.0,202.0,1159800.0,2500000000.0,1500000000.0,500000000.0,9338700.0,133300.0,,0.0,0.0,0.0
2022-11-22,202.0,0.0,0.0,216.0,200.0,214.0,12.0,64975200.0,13397952400.0,3979.0,107.0,216.0,1127000.0,214.0,413200.0,2500000000.0,1500000000.0,500000000.0,267300.0,4461000.0,,0.0,0.0,0.0
2022-11-23,214.0,0.0,0.0,228.0,210.0,226.0,12.0,83057200.0,18280180600.0,6965.0,113.0,226.0,1382400.0,224.0,3687200.0,2500000000.0,1500000000.0,500000000.0,3631500.0,3346200.0,,0.0,0.0,0.0
2022-11-24,226.0,0.0,0.0,230.0,222.0,222.0,-4.0,30671200.0,6909254600.0,2418.0,111.0,224.0,1879500.0,222.0,3515600.0,2500000000.0,1500000000.0,500000000.0,947700.0,109900.0,,0.0,0.0,0.0
2022-11-25,222.0,0.0,0.0,226.0,208.0,210.0,-12.0,75099300.0,16223646400.0,3060.0,105.0,212.0,49700.0,210.0,3948500.0,2500000000.0,1500000000.0,500000000.0,5126200.0,1727200.0,,0.0,0.0,0.0
2022-11-28,210.0,0.0,0.0,216.0,208.0,208.0,-2.0,23462400.0,4938488000.0,1659.0,104.0,210.0,15100.0,208.0,2731800.0,2500000000.0,1500000000.0,500000000.0,1745600.0,1186600.0,,0.0,0.0,0.0
2022-11-29,208.0,0.0,0.0,214.0,206.0,206.0,-2.0,13044300.0,2727433600.0,1354.0,103.0,208.0,1000200.0,206.0,182000.0,2500000000.0,1500000000.0,500000000.0,2407900.0,2127200.0,,0.0,0.0,0.0
2022-11-30,206.0,0.0,0.0,208.0,200.0,204.0,-2.0,13181100.0,2671088800.0,1257.0,102.0,204.0,574300.0,202.0,730800.0,2500000000.0,1500000000.0,500000000.0,2273300.0,45200.0,,0.0,0.0,0.0
2022-12-01,204.0,0.0,0.0,204.0,198.0,202.0,-2.0,13296400.0,2662335000.0,1084.0,101.0,202.0,1350800.0,200.0,373100.0,2500000000.0,1500000000.0,500000000.0,43400.0,626500.0,,0.0,0.0,0.0
2022-12-02,202.0,0.0,0.0,220.0,200.0,210.0,8.0,54141300.0,11426559200.0,4538.0,105.0,212.0,276500.0,210.0,774600.0,2500000000.0,1500000000.0,500000000.0,1505200.0,685400.0,,0.0,0.0,0.0
2022-12-05,210.0,0.0,0.0,214.0,204.0,206.0,-4.0,11064200.0,2294969200.0,1155.0,103.0,206.0,204900.0,204.0,798800.0,2500000000.0,1500000000.0,500000000.0,331100.0,178000.0,,0.0,0.0,0.0
2022-12-06,206.0,0.0,0.0,206.0,200.0,200.0,-6.0,10094900.0,2043243400.0,869.0,100.0,202.0,254600.0,200.0,3306300.0,2500000000.0,1500000000.0,500000000.0,22800.0,362300.0,,0.0,0.0,0.0
2022-12-07,200.0,0.0,0.0,208.0,200.0,200.0,0.0,11879100.0,2420531600.0,1168.0,100.0,202.0,367100.0,200.0,3178100.0,2500000000.0,1500000000.0,500000000.0,315500.0,980700.0,,0.0,0.0,0.0
2022-12-08,200.0,0.0,0.0,202.0,198.0,202.0,2.0,8040300.0,1604360600.0,969.0,101.0,202.0,1260800.0,200.0,424600.0,2500000000.0,1500000000.0,500000000.0,1151200.0,991600.0,,0.0,0.0,0.0
2022-12-09,202.0,0.0,0.0,204.0,199.0,200.0,-2.0,7971200.0,1596331800.0,726.0,100.0,202.0,1383900.0,200.0,1066000.0,2500000000.0,1500000000.0,500000000.0,33800.0,201900.0,,0.0,0.0,0.0
2022-12-12,200.0,0.0,0.0,208.0,200.0,204.0,4.0,48989600.0,9974184200.0,1195.0,102.0,204.0,1127000.0,202.0,1283000.0,2500000000.0,1500000000.0,500000000.0,14500.0,17500.0,,0.0,0.0,0.0
2022-12-13,204.0,0.0,0.0,208.0,200.0,206.0,2.0,57969200.0,11847519000.0,1357.0,103.0,206.0,1396200.0,204.0,415600.0,2500000000.0,1500000000.0,500000000.0,35700.0,15800.0,,0.0,0.0,0.0
2022-12-14,206.0,0.0,0.0,210.0,200.0,200.0,-6.0,59149600.0,12180730600.0,1648.0,100.0,202.0,21000.0,200.0,4920600.0,2500000000.0,1500000000.0,500000000.0,17500.0,26400.0,,0.0,0.0,0.0
2022-12-15,200.0,0.0,0.0,206.0,200.0,204.0,4.0,7740100.0,1578487600.0,924.0,102.0,206.0,2594100.0,204.0,481100.0,2500000000.0,1500000000.0,500000000.0,233100.0,29200.0,,0.0,0.0,0.0
2022-12-16,204.0,0.0,0.0,204.0,200.0,202.0,-2.0,5391400.0,1092522200.0,703.0,101.0,204.0,246100.0,202.0,439100.0,2500000000.0,1500000000.0,500000000.0,20800.0,9800.0,,0.0,0.0,0.0
2022-12-19,202.0,0.0,0.0,204.0,200.0,200.0,-2.0,4319700.0,868633800.0,461.0,100.0,202.0,246100.0,200.0,3095500.0,2500000000.0,1500000000.0,500000000.0,56400.0,15100.0,,0.0,0.0,0.0
2022-12-20,200.0,0.0,0.0,204.0,200.0,202.0,2.0,4534600.0,913415200.0,518.0,101.0,202.0,416800.0,200.0,2327300.0,2500000000.0,1500000000.0,500000000.0,11300.0,0.0,,0.0,0.0,0.0
2022-12-21,202.0,0.0,0.0,206.0,200.0,202.0,0.0,10051400.0,2050336200.0,677.0,101.0,204.0,883500.0,202.0,1661300.0,2500000000.0,1500000000.0,500000000.0,22200.0,5800.0,,0.0,0.0,0.0
2022-12-22,202.0,0.0,0.0,208.0,200.0,204.0,2.0,6575400.0,1339821800.0,830.0,102.0,206.0,944500.0,204.0,258800.0,2500000000.0,1500000000.0,500000000.0,201300.0,100000.0,,0.0,0.0,0.0
2022-12-23,204.0,0.0,0.0,210.0,200.0,204.0,0.0,11701700.0,2406435400.0,1228.0,102.0,206.0,300700.0,204.0,68000.0,2500000000.0,1500000000.0,500000000.0,8500.0,170700.0,,0.0,0.0,0.0
2022-12-26,204.0,0.0,0.0,216.0,204.0,208.0,4.0,65781200.0,13873147200.0,4873.0,104.0,210.0,1211500.0,208.0,3090700.0,2500000000.0,1500000000.0,500000000.0,1688300.0,1928400.0,,21000.0,5208000.0,1.0
2022-12-27,208.0,0.0,0.0,212.0,206.0,206.0,-2.0,12548700.0,2605860400.0,1260.0,103.0,208.0,1156800.0,206.0,46800.0,2500000000.0,1500000000.0,500000000.0,144500.0,86600.0,,0.0,0.0,0.0
2022-12-28,206.0,0.0,0.0,208.0,204.0,204.0,-2.0,8490600.0,1740741600.0,553.0,102.0,206.0,435500.0,204.0,894700.0,2500000000.0,1500000000.0,500000000.0,10800.0,598600.0,,0.0,0.0,0.0
2022-12-29,204.0,0.0,0.0,206.0,204.0,206.0,2.0,15752600.0,3217427800.0,751.0,103.0,206.0,564200.0,204.0,348900.0,2500000000.0,1500000000.0,500000000.0,31300.0,388600.0,,0.0,0.0,0.0
2022-12-30,206.0,0.0,0.0,210.0,204.0,206.0,0.0,12992700.0,2694999200.0,1089.0,103.0,208.0,496000.0,206.0,148200.0,2500000000.0,1500000000.0,500000000.0,0.0,298600.0,,0.0,0.0,0.0
2023-01-02,206.0,0.0,0.0,214.0,206.0,210.0,4.0,14504700.0,3046037800.0,1361.0,105.0,212.0,1646400.0,210.0,744800.0,2500000000.0,1500000000.0,375000000.0,83300.0,403200.0,,0.0,0.0,0.0
2023-01-03,210.0,0.0,0.0,216.0,208.0,212.0,2.0,14353800.0,3052032000.0,1113.0,106.0,214.0,889700.0,212.0,354100.0,2500000000.0,1500000000.0,375000000.0,415200.0,700.0,,0.0,0.0,0.0
2023-01-04,212.0,0.0,0.0,216.0,206.0,208.0,-4.0,14462000.0,3036525800.0,868.0,104.0,208.0,1233400.0,206.0,1530000.0,2500000000.0,1500000000.0,375000000.0,30000.0,868400.0,,0.0,0.0,0.0
2023-01-05,208.0,0.0,0.0,210.0,200.0,200.0,-8.0,23820500.0,4822718800.0,1154.0,100.0,202.0,938700.0,200.0,2577900.0,2500000000.0,1500000000.0,375000000.0,1790200.0,248200.0,,0.0,0.0,0.0
2023-01-06,200.0,0.0,0.0,204.0,200.0,202.0,2.0,5665000.0,1141604400.0,520.0,101.0,204.0,1226700.0,202.0,18200.0,2500000000.0,1500000000.0,375000000.0,260000.0,49100.0,,0.0,0.0,0.0
2023-01-09,202.0,0.0,0.0,206.0,202.0,202.0,0.0,3900100.0,791387200.0,452.0,101.0,204.0,145400.0,202.0,796300.0,2500000000.0,1500000000.0,375000000.0,16700.0,7800.0,,0.0,0.0,0.0
2023-01-10,202.0,0.0,0.0,206.0,200.0,200.0,-2.0,7046800.0,1418473200.0,370.0,100.0,202.0,170900.0,200.0,4128200.0,2500000000.0,1500000000.0,375000000.0,633300.0,29500.0,,0.0,0.0,0.0
2023-01-11,200.0,0.0,0.0,202.0,200.0,200.0,0.0,2905000.0,582439000.0,316.0,100.0,202.0,3098700.0,200.0,5504600.0,2500000000.0,1500000000.0,375000000.0,217600.0,300.0,,0.0,0.0,0.0
2023-01-12,200.0,0.0,0.0,204.0,200.0,202.0,2.0,2887700.0,581789400.0,295.0,101.0,202.0,2790000.0,200.0,6942600.0,2500000000.0,1500000000.0,375000000.0,60900.0,0.0,,0.0,0.0,0.0
2023-01-13,202.0,0.0,0.0,202.0,200.0,202.0,0.0,1460900.0,293029000.0,170.0,101.0,202.0,956200.0,200.0,8106000.0,2500000000.0,1500000000.0,375000000.0,2500.0,15200.0,,0.0,0.0,0.0
2023-01-16,202.0,0.0,0.0,204.0,200.0,202.0,0.0,3485800.0,701208000.0,262.0,101.0,202.0,608900.0,200.0,5878700.0,2500000000.0,1500000000.0,375000000.0,10300.0,13000.0,,0.0,0.0,0.0
2023-01-17,202.0,0.0,0.0,202.0,200.0,200.0,-2.0,3665400.0,735785200.0,205.0,100.0,202.0,398600.0,200.0,5804300.0,2500000000.0,1500000000.0,375000000.0,100.0,0.0,,0.0,0.0,0.0
2023-01-18,200.0,0.0,0.0,202.0,200.0,202.0,2.0,1702300.0,342449000.0,164.0,101.0,202.0,1886800.0,200.0,6713300.0,2500000000.0,1500000000.0,375000000.0,7000.0,0.0,,0.0,0.0,0.0
2023-01-19,202.0,0.0,0.0,202.0,191.0,195.0,-7.0,32923600.0,6453162900.0,2059.0,97.5,196.0,1014500.0,195.0,22394900.0,2500000000.0,1500000000.0,375000000.0,98100.0,168800.0,,0.0,0.0,0.0
2023-01-20,195.0,0.0,0.0,197.0,191.0,193.0,-2.0,6194400.0,1195312200.0,530.0,96.5,194.0,362100.0,193.0,100.0,2500000000.0,1500000000.0,375000000.0,100000.0,0.0,,0.0,0.0,0.0
2023-01-24,193.0,0.0,0.0,197.0,188.0,192.0,-1.0,12282300.0,2359627700.0,1207.0,96.0,193.0,202400.0,192.0,133700.0,2500000000.0,1500000000.0,375000000.0,200000.0,0.0,,0.0,0.0,0.0
2023-01-25,192.0,0.0,0.0,194.0,191.0,193.0,1.0,3026600.0,581969800.0,317.0,96.5,194.0,522100.0,193.0,458600.0,2500000000.0,1500000000.0,375000000.0,0.0,40000.0,,0.0,0.0,0.0
2023-01-26,193.0,0.0,0.0,199.0,192.0,198.0,5.0,6712100.0,1317437600.0,627.0,99.0,198.0,598700.0,197.0,505000.0,2500000000.0,1500000000.0,375000000.0,20100.0,1100.0,,0.0,0.0,0.0
2023-01-27,198.0,0.0,0.0,198.0,195.0,195.0,-3.0,3658100.0,716570800.0,318.0,97.5,196.0,150000.0,195.0,700600.0,2500000000.0,1500000000.0,375000000.0,0.0,0.0,,0.0,0.0,0.0
2023-01-30,195.0,0.0,0.0,202.0,194.0,194.0,-1.0,7480700.0,1472952500.0,783.0,97.0,195.0,928400.0,194.0,508700.0,2500000000.0,1500000000.0,375000000.0,0.0,85300.0,,0.0,0.0,0.0
2023-01-31,194.0,0.0,0.0,198.0,193.0,195.0,1.0,3321800.0,650023000.0,444.0,97.5,196.0,719100.0,195.0,243900.0,2500000000.0,1500000000.0,375000000.0,0.0,37300.0,,0.0,0.0,0.0
2023-02-01,195.0,0.0,0.0,199.0,194.0,197.0,2.0,3210200.0,632622400.0,412.0,98.5,198.0,330100.0,197.0,175700.0,2500000000.0,1500000000.0,375000000.0,100.0,82100.0,,0.0,0.0,0.0
2023-02-02,197.0,0.0,0.0,198.0,195.0,197.0,0.0,3750400.0,734052800.0,406.0,98.5,197.0,608800.0,196.0,136400.0,2500000000.0,1500000000.0,375000000.0,0.0,106900.0,,0.0,0.0,0.0
2023-02-03,197.0,0.0,0.0,202.0,195.0,198.0,1.0,6695900.0,1327269500.0,625.0,99.0,199.0,283100.0,198.0,282800.0,2500000000.0,1500000000.0,375000000.0,0.0,0.0,,0.0,0.0,0.0
2023-02-06,198.0,0.0,0.0,206.0,197.0,202.0,4.0,12331000.0,2500248800.0,1223.0,101.0,204.0,1529900.0,202.0,3200.0,2500000000.0,1500000000.0,375000000.0,384800.0,800.0,,0.0,0.0,0.0
2023-02-07,202.0,0.0,0.0,208.0,200.0,204.0,2.0,8609800.0,1766577400.0,731.0,102.0,204.0,218600.0,202.0,1336300.0,2500000000.0,1500000000.0,375000000.0,410100.0,225500.0,,0.0,0.0,0.0
2023-02-08,204.0,0.0,0.0,206.0,202.0,206.0,2.0,2662900.0,543104800.0,291.0,103.0,206.0,1693900.0,204.0,768100.0,2500000000.0,1500000000.0,375000000.0,60000.0,12900.0,,0.0,0.0,0.0
2023-02-09,206.0,0.0,0.0,206.0,202.0,202.0,-4.0,3020800.0,615124600.0,327.0,101.0,204.0,205200.0,202.0,649500.0,2500000000.0,1500000000.0,375000000.0,1800.0,763100.0,,0.0,0.0,0.0
2023-02-10,202.0,0.0,0.0,204.0,199.0,202.0,0.0,3002600.0,601681000.0,256.0,101.0,202.0,543600.0,200.0,294400.0,2500000000.0,1500000000.0,375000000.0,79900.0,232300.0,,0.0,0.0,0.0
