date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-07-07,115.0,0.0,0.0,155.0,155.0,155.0,40.0,6300.0,976500.0,6.0,134.8,0.0,0.0,155.0,46685000.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-08,155.0,0.0,0.0,208.0,208.0,208.0,53.0,56400.0,11731200.0,12.0,180.9,0.0,0.0,208.0,16112000.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,28800.0,5990400.0,6.0
2020-07-09,208.0,0.0,0.0,260.0,260.0,260.0,52.0,108500.0,28210000.0,28.0,226.1,0.0,0.0,260.0,12027600.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-10,260.0,0.0,0.0,324.0,320.0,324.0,64.0,5330200.0,1726542200.0,1342.0,281.7,0.0,0.0,324.0,1945200.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-13,324.0,0.0,0.0,404.0,364.0,404.0,80.0,2602400.0,1038267200.0,527.0,351.3,0.0,0.0,404.0,4053400.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-14,404.0,0.0,0.0,505.0,376.0,420.0,16.0,16625100.0,7617019800.0,3179.0,365.2,422.0,78000.0,420.0,6700.0,4998360000.0,4998360000.0,4998360000.0,0.0,3000.0,,0.0,0.0,0.0
2020-07-15,420.0,0.0,0.0,450.0,392.0,394.0,-26.0,2634700.0,1063539000.0,680.0,342.6,394.0,25200.0,392.0,269400.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-16,394.0,0.0,0.0,398.0,368.0,368.0,-26.0,1457600.0,544811200.0,384.0,320.0,368.0,322700.0,0.0,0.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-17,368.0,0.0,0.0,386.0,344.0,368.0,0.0,1853700.0,650957400.0,449.0,320.0,382.0,11900.0,368.0,3100.0,4998360000.0,4998360000.0,4998360000.0,0.0,500.0,,0.0,0.0,0.0
2020-07-20,368.0,0.0,0.0,376.0,344.0,344.0,-24.0,1920000.0,665362200.0,298.0,299.1,344.0,171800.0,0.0,0.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-21,344.0,0.0,0.0,344.0,320.0,322.0,-22.0,1804200.0,587190400.0,257.0,280.0,326.0,2800.0,322.0,63600.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-22,322.0,0.0,0.0,392.0,322.0,366.0,44.0,2777400.0,993101200.0,648.0,318.3,366.0,44100.0,352.0,1500.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-23,366.0,0.0,0.0,372.0,346.0,352.0,-14.0,687300.0,246246200.0,200.0,306.1,364.0,132900.0,352.0,71300.0,4998360000.0,4998360000.0,4998360000.0,0.0,11500.0,,0.0,0.0,0.0
2020-07-24,352.0,0.0,0.0,376.0,350.0,368.0,16.0,2828700.0,1031086400.0,549.0,320.0,370.0,32100.0,368.0,8900.0,4998360000.0,4998360000.0,4998360000.0,0.0,100.0,,0.0,0.0,0.0
2020-07-27,368.0,0.0,0.0,444.0,366.0,420.0,52.0,4989000.0,2055290200.0,991.0,365.2,420.0,5400.0,418.0,2000.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-28,420.0,0.0,0.0,422.0,392.0,394.0,-26.0,2626000.0,1053380000.0,390.0,342.6,396.0,200000.0,394.0,12000.0,4998360000.0,4998360000.0,4998360000.0,0.0,10000.0,,0.0,0.0,0.0
2020-07-29,394.0,0.0,0.0,398.0,368.0,370.0,-24.0,2239500.0,858997800.0,254.0,321.7,376.0,20000.0,370.0,21600.0,4998360000.0,4998360000.0,4998360000.0,0.0,0.0,,0.0,0.0,0.0
2020-07-30,370.0,0.0,0.0,388.0,362.0,366.0,-4.0,5026200.0,1855445600.0,261.0,318.3,368.0,13300.0,362.0,6500.0,4998360000.0,4998360000.0,4998360000.0,0.0,6500.0,,0.0,0.0,0.0
