date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1800.0,0.0,0.0,1825.0,1780.0,1800.0,0.0,100319500.0,181503231500.0,523.0,1142.5,1805.0,3100.0,1800.0,19400.0,2252866164.0,2252866164.0,2252866164.0,374400.0,60100.0,,24710900.0,42558490600.0,81.0
2019-07-30,1800.0,0.0,0.0,1835.0,1800.0,1805.0,5.0,112739700.0,205101365000.0,411.0,1145.7,1810.0,1300.0,1805.0,30300.0,2252866164.0,2252866164.0,2252866164.0,56300.0,8300.0,,15100100.0,26802350400.0,38.0
2019-07-31,1805.0,0.0,0.0,1970.0,1790.0,1930.0,125.0,102926900.0,187147984500.0,1759.0,1225.0,1930.0,84400.0,1925.0,9500.0,2252866164.0,2252866164.0,2252866164.0,115100.0,4878100.0,,16789000.0,30867640300.0,46.0
2019-08-01,1930.0,0.0,0.0,2030.0,1905.0,1975.0,45.0,103186500.0,203253376500.0,1213.0,1253.6,1975.0,78700.0,1920.0,5000.0,2252866164.0,2252866164.0,2252866164.0,178600.0,981300.0,,23644900.0,45144093100.0,48.0
2019-08-02,1975.0,0.0,0.0,1980.0,1790.0,1795.0,-180.0,106230100.0,205865151000.0,1650.0,1139.3,1795.0,231900.0,1790.0,37100.0,2252866164.0,2252866164.0,2252866164.0,2065100.0,51700.0,,14383500.0,26351147100.0,33.0
2019-08-05,1795.0,0.0,0.0,1800.0,1660.0,1700.0,-95.0,117643100.0,203542955500.0,1578.0,1079.0,1700.0,69700.0,1680.0,18000.0,2252866164.0,2252866164.0,2252866164.0,2308100.0,5400.0,,13004300.0,22280701200.0,53.0
2019-08-06,1700.0,0.0,0.0,1700.0,1615.0,1690.0,-10.0,121482600.0,200706179500.0,626.0,1072.7,1690.0,44300.0,1640.0,11300.0,2252866164.0,2252866164.0,2252866164.0,938700.0,28000.0,,30978500.0,51400480300.0,49.0
2019-08-07,1690.0,0.0,0.0,1720.0,1655.0,1690.0,0.0,126180100.0,214546067000.0,784.0,1072.7,1690.0,13400.0,1685.0,15100.0,2252866164.0,2252866164.0,2252866164.0,1716300.0,0.0,,26153400.0,43207920500.0,52.0
2019-08-08,1690.0,0.0,0.0,1860.0,1690.0,1860.0,170.0,115285700.0,204110756500.0,1875.0,1180.6,1860.0,47100.0,1855.0,13100.0,2252866164.0,2252866164.0,2252866164.0,133900.0,2606500.0,,21122840.0,35971032450.0,54.0
2019-08-09,1860.0,0.0,0.0,1885.0,1730.0,1795.0,-65.0,116978700.0,216781617500.0,1703.0,1139.3,1795.0,80400.0,1760.0,400.0,2252866164.0,2252866164.0,2252866164.0,690200.0,5700.0,,36241600.0,66031778000.0,25.0
2019-08-12,1795.0,0.0,0.0,1800.0,1720.0,1790.0,-5.0,114928300.0,202006330500.0,511.0,1136.1,1790.0,26300.0,1760.0,5000.0,2252866164.0,2252866164.0,2252866164.0,99700.0,14000.0,,43955200.0,75192339700.0,75.0
2019-08-13,1790.0,0.0,0.0,1790.0,1700.0,1705.0,-85.0,128899300.0,228015803000.0,861.0,1082.2,1710.0,4900.0,1705.0,5000.0,2252866164.0,2252866164.0,2252866164.0,1283600.0,0.0,,24914600.0,42900169500.0,32.0
2019-08-14,1705.0,0.0,0.0,1735.0,1700.0,1705.0,0.0,117717700.0,202085148000.0,525.0,1082.2,1710.0,14700.0,1705.0,172600.0,2252866164.0,2252866164.0,2252866164.0,456300.0,0.0,,14931500.0,25521787600.0,36.0
2019-08-15,1705.0,0.0,0.0,1725.0,1530.0,1620.0,-85.0,139565400.0,231433469500.0,1913.0,1028.2,1620.0,70000.0,1600.0,100.0,2252866164.0,2252866164.0,2252866164.0,1200500.0,166200.0,,10919900.0,17227489900.0,40.0
2019-08-16,1620.0,0.0,0.0,1655.0,1555.0,1605.0,-15.0,138336000.0,223784195000.0,910.0,1018.7,1605.0,51600.0,1600.0,100.0,2252866164.0,2252866164.0,2252866164.0,1158400.0,30900.0,,44707900.0,68753193000.0,47.0
2019-08-19,1605.0,0.0,0.0,1645.0,1545.0,1560.0,-45.0,136452300.0,221075644500.0,906.0,990.2,1565.0,23600.0,1560.0,13100.0,2252866164.0,2252866164.0,2252866164.0,849600.0,58900.0,,22045000.0,34471387700.0,72.0
2019-08-20,1560.0,0.0,0.0,1600.0,1530.0,1545.0,-15.0,134202600.0,210640373500.0,871.0,980.6,1550.0,2000.0,1545.0,1800.0,2252866164.0,2252866164.0,2252866164.0,73300.0,95300.0,,27850700.0,43118702300.0,31.0
2019-08-21,1545.0,0.0,0.0,1560.0,1510.0,1555.0,10.0,147191500.0,227662839500.0,552.0,987.0,1555.0,87700.0,1515.0,1100.0,2252866164.0,2252866164.0,2252866164.0,10600.0,0.0,,25317900.0,37563139500.0,75.0
2019-08-22,1555.0,0.0,0.0,1575.0,1500.0,1510.0,-45.0,142029900.0,221111670000.0,619.0,958.4,1510.0,10800.0,1505.0,9100.0,2252866164.0,2252866164.0,2252866164.0,11300.0,57100.0,,32044200.0,49491230200.0,44.0
2019-08-23,1510.0,0.0,0.0,1550.0,1510.0,1510.0,0.0,144568900.0,221775800500.0,511.0,958.4,1515.0,7600.0,1510.0,2800.0,2252866164.0,2252866164.0,2252866164.0,3600.0,26000.0,,17065300.0,25358146300.0,40.0
2019-08-26,1510.0,0.0,0.0,1535.0,1500.0,1505.0,-5.0,141668200.0,215326294500.0,413.0,955.2,1505.0,1400.0,1500.0,24100.0,2252866164.0,2252866164.0,2252866164.0,200.0,86000.0,,43263000.0,65363662300.0,106.0
2019-08-27,1505.0,0.0,0.0,1525.0,1455.0,1455.0,-50.0,155819100.0,235911430000.0,602.0,923.5,1475.0,1300.0,1455.0,3891600.0,2252866164.0,2252866164.0,2252866164.0,1478500.0,1328500.0,,34542800.0,51586798900.0,55.0
2019-08-28,1455.0,0.0,0.0,1455.0,1265.0,1265.0,-190.0,161855900.0,225886488500.0,1404.0,802.9,1265.0,127200.0,1255.0,3000.0,2252866164.0,2252866164.0,2252866164.0,3262800.0,2063200.0,,39535200.0,56870755100.0,35.0
