date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-08-08,140.0,0.0,0.0,187.0,119.0,119.0,-21.0,112847600.0,13880435700.0,13252.0,85.0,119.0,17313000.0,0.0,0.0,1075000000.0,275000000.0,275000000.0,41800.0,1187700.0,,0.0,0.0,0.0
2023-08-09,119.0,0.0,0.0,149.0,102.0,102.0,-17.0,22322400.0,2339152100.0,2846.0,72.9,102.0,11062200.0,0.0,0.0,1075000000.0,275000000.0,275000000.0,39500.0,10000.0,,0.0,0.0,0.0
2023-08-10,102.0,0.0,0.0,96.0,87.0,87.0,-15.0,167868300.0,14760878700.0,12889.0,62.1,87.0,1269900.0,0.0,0.0,1075000000.0,275000000.0,275000000.0,413400.0,122100.0,,0.0,0.0,0.0
2023-08-11,87.0,0.0,0.0,93.0,77.0,84.0,-3.0,94709700.0,8241136800.0,10492.0,60.0,84.0,124500.0,83.0,148000.0,1075000000.0,275000000.0,275000000.0,34200.0,0.0,,0.0,0.0,0.0
2023-08-14,84.0,0.0,0.0,85.0,75.0,77.0,-7.0,25636400.0,2019141200.0,4659.0,55.0,78.0,60600.0,77.0,124200.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,100000.0,11300000.0,1.0
2023-08-15,77.0,0.0,0.0,79.0,69.0,77.0,0.0,21927200.0,1679467600.0,2185.0,55.0,78.0,223000.0,77.0,1539000.0,1075000000.0,275000000.0,275000000.0,6700.0,0.0,,0.0,0.0,0.0
2023-08-16,77.0,0.0,0.0,98.0,77.0,90.0,13.0,244660400.0,22153630100.0,19042.0,64.3,91.0,483700.0,90.0,214200.0,1075000000.0,275000000.0,275000000.0,0.0,110600.0,,0.0,0.0,0.0
2023-08-18,90.0,0.0,0.0,91.0,78.0,78.0,-12.0,53511900.0,4450999500.0,4802.0,55.7,79.0,530500.0,78.0,48300.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-08-21,78.0,0.0,0.0,85.0,77.0,84.0,6.0,30245800.0,2469492700.0,3324.0,60.0,84.0,744700.0,83.0,88300.0,1075000000.0,275000000.0,275000000.0,49900.0,30000.0,,100000.0,10500000.0,1.0
2023-08-22,84.0,0.0,0.0,92.0,81.0,82.0,-2.0,81911900.0,7090077400.0,9536.0,58.6,83.0,329700.0,82.0,153900.0,1075000000.0,275000000.0,275000000.0,30000.0,47200.0,,0.0,0.0,0.0
2023-08-23,82.0,0.0,0.0,83.0,77.0,78.0,-4.0,16239000.0,1285478400.0,2030.0,55.7,79.0,37600.0,78.0,537900.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-08-24,78.0,0.0,0.0,82.0,78.0,81.0,3.0,10819400.0,863512800.0,1246.0,57.9,82.0,413700.0,81.0,53600.0,1075000000.0,275000000.0,275000000.0,0.0,57700.0,,0.0,0.0,0.0
2023-08-25,81.0,0.0,0.0,83.0,79.0,79.0,-2.0,9611300.0,768506200.0,988.0,56.4,80.0,145500.0,79.0,566600.0,1075000000.0,275000000.0,275000000.0,14100.0,0.0,,0.0,0.0,0.0
2023-08-28,79.0,0.0,0.0,83.0,79.0,80.0,1.0,8603500.0,687888900.0,1156.0,57.1,80.0,182200.0,79.0,1869900.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-08-29,80.0,0.0,0.0,82.0,78.0,79.0,-1.0,10831100.0,858322100.0,773.0,56.4,80.0,1216700.0,79.0,338700.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-08-30,79.0,0.0,0.0,85.0,79.0,80.0,1.0,18015700.0,1468467500.0,1747.0,57.1,81.0,20000.0,80.0,283700.0,1075000000.0,275000000.0,275000000.0,16100.0,0.0,,0.0,0.0,0.0
2023-08-31,80.0,0.0,0.0,82.0,79.0,79.0,-1.0,8454800.0,674895200.0,709.0,56.4,79.0,119700.0,78.0,1470200.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-01,79.0,0.0,0.0,81.0,79.0,80.0,1.0,8415200.0,671807600.0,694.0,57.1,81.0,212400.0,80.0,9700.0,1075000000.0,275000000.0,275000000.0,0.0,11100.0,,0.0,0.0,0.0
2023-09-04,80.0,0.0,0.0,82.0,79.0,81.0,1.0,5768600.0,463369000.0,703.0,57.9,81.0,109000.0,80.0,1158600.0,1075000000.0,275000000.0,275000000.0,0.0,13100.0,,0.0,0.0,0.0
2023-09-05,81.0,0.0,0.0,83.0,79.0,81.0,0.0,7341900.0,588561000.0,603.0,57.9,81.0,563300.0,80.0,211400.0,1075000000.0,275000000.0,275000000.0,900.0,0.0,,0.0,0.0,0.0
2023-09-06,81.0,0.0,0.0,82.0,80.0,81.0,0.0,4378500.0,351743700.0,413.0,57.9,81.0,877900.0,80.0,961400.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-07,81.0,0.0,0.0,87.0,80.0,82.0,1.0,19152600.0,1593374700.0,2115.0,58.6,82.0,153900.0,81.0,1056300.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-08,82.0,0.0,0.0,83.0,82.0,82.0,0.0,4085800.0,335459600.0,323.0,58.6,83.0,393000.0,82.0,196300.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-11,82.0,0.0,0.0,84.0,82.0,82.0,0.0,4950000.0,408459900.0,469.0,58.6,83.0,1186400.0,82.0,120200.0,1075000000.0,275000000.0,275000000.0,0.0,15000.0,,0.0,0.0,0.0
2023-09-12,82.0,0.0,0.0,83.0,81.0,82.0,0.0,3472700.0,284511300.0,410.0,58.6,82.0,16300.0,81.0,633600.0,1075000000.0,275000000.0,275000000.0,0.0,12100.0,,0.0,0.0,0.0
2023-09-13,82.0,0.0,0.0,82.0,80.0,80.0,-2.0,3828900.0,308100200.0,375.0,57.1,81.0,268200.0,80.0,610100.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-14,80.0,0.0,0.0,81.0,80.0,80.0,0.0,2450100.0,196199700.0,259.0,57.1,81.0,405300.0,80.0,503200.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-15,80.0,0.0,0.0,81.0,79.0,80.0,0.0,2450300.0,195546700.0,292.0,57.1,81.0,585600.0,80.0,376000.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-18,80.0,0.0,0.0,84.0,80.0,80.0,0.0,7144700.0,581054200.0,732.0,57.1,81.0,160000.0,80.0,611900.0,1075000000.0,275000000.0,275000000.0,20000.0,12100.0,,0.0,0.0,0.0
2023-09-19,80.0,0.0,0.0,82.0,80.0,80.0,0.0,2636800.0,212733700.0,382.0,57.1,81.0,117300.0,80.0,1390600.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-20,80.0,0.0,0.0,82.0,80.0,81.0,1.0,2970100.0,239585700.0,258.0,57.9,81.0,137000.0,80.0,1029100.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-21,81.0,0.0,0.0,81.0,80.0,81.0,0.0,1950800.0,156177600.0,195.0,57.9,81.0,595600.0,80.0,782400.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-22,81.0,0.0,0.0,81.0,71.0,81.0,0.0,2136300.0,170580600.0,178.0,57.9,81.0,692400.0,80.0,1549800.0,1075000000.0,275000000.0,275000000.0,0.0,34500.0,,0.0,0.0,0.0
2023-09-25,81.0,0.0,0.0,82.0,80.0,81.0,0.0,2683600.0,216547800.0,255.0,57.9,81.0,145200.0,80.0,1160400.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-26,81.0,0.0,0.0,82.0,80.0,81.0,0.0,8347100.0,674612400.0,298.0,57.9,81.0,252900.0,80.0,541500.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-27,81.0,0.0,0.0,81.0,80.0,80.0,-1.0,1701400.0,136394200.0,206.0,57.1,81.0,1047500.0,80.0,1376800.0,1075000000.0,275000000.0,275000000.0,0.0,0.0,,0.0,0.0,0.0
2023-09-29,80.0,0.0,0.0,81.0,79.0,79.0,-1.0,3977500.0,317812600.0,271.0,56.4,81.0,582800.0,79.0,1630500.0,1075000000.0,275000000.0,275000000.0,10000.0,0.0,,0.0,0.0,0.0
2023-10-02,79.0,0.0,0.0,81.0,79.0,80.0,1.0,1554200.0,124414900.0,167.0,57.1,81.0,652700.0,80.0,554700.0,1075000000.0,275000000.0,274985000.0,0.0,0.0,,30000.0,3180000.0,1.0
2023-10-03,80.0,0.0,0.0,81.0,80.0,80.0,0.0,1956900.0,156987500.0,221.0,57.1,81.0,1004500.0,80.0,285900.0,1075000000.0,275000000.0,274985000.0,0.0,0.0,,0.0,0.0,0.0
2023-10-04,80.0,0.0,0.0,81.0,80.0,80.0,0.0,3546700.0,283808600.0,204.0,57.1,81.0,1014600.0,80.0,1032900.0,1075000000.0,275000000.0,274985000.0,0.0,12100.0,,0.0,0.0,0.0
2023-10-05,80.0,0.0,0.0,108.0,80.0,108.0,28.0,170310300.0,16854359500.0,12877.0,77.1,0.0,0.0,108.0,16993800.0,1075000000.0,275000000.0,274985000.0,377600.0,225500.0,,0.0,0.0,0.0
2023-10-06,108.0,0.0,0.0,125.0,87.0,90.0,-18.0,150527600.0,15773501000.0,12437.0,64.3,91.0,115300.0,90.0,4711400.0,1075000000.0,275000000.0,274985000.0,131600.0,405100.0,,0.0,0.0,0.0
2023-10-09,90.0,0.0,0.0,94.0,73.0,86.0,-4.0,21699700.0,1860009900.0,2506.0,61.4,86.0,123800.0,85.0,230000.0,1075000000.0,275000000.0,274985000.0,0.0,176800.0,,0.0,0.0,0.0
2023-10-10,86.0,0.0,0.0,94.0,85.0,89.0,3.0,21370100.0,1916250200.0,2348.0,63.6,90.0,83100.0,89.0,1461000.0,1075000000.0,275000000.0,274985000.0,0.0,150700.0,,0.0,0.0,0.0
