date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-11-08,900.0,0.0,0.0,1125.0,840.0,890.0,-10.0,63670700.0,56357005000.0,19570.0,98.9,890.0,970000.0,885.0,134000.0,13959422300.0,13959422300.0,1396422300.0,537600.0,8984700.0,,419900.0,398992500.0,24.0
2022-11-09,890.0,0.0,0.0,900.0,845.0,845.0,-45.0,9380800.0,8099413500.0,6897.0,93.9,845.0,23300.0,840.0,522500.0,13959422300.0,13959422300.0,1396422300.0,1600.0,0.0,,1000.0,900000.0,1.0
2022-11-10,845.0,0.0,0.0,835.0,790.0,790.0,-55.0,14568100.0,11573993500.0,6583.0,87.8,790.0,420200.0,0.0,0.0,13959422300.0,13959422300.0,1396422300.0,22200.0,0.0,,0.0,0.0,0.0
2022-11-11,790.0,0.0,0.0,785.0,735.0,735.0,-55.0,13403500.0,9974160000.0,5391.0,81.7,735.0,876800.0,0.0,0.0,13959422300.0,13959422300.0,1396422300.0,0.0,318800.0,,32200.0,24150000.0,1.0
2022-11-14,735.0,0.0,0.0,795.0,685.0,755.0,20.0,16740300.0,12288166000.0,6132.0,83.9,760.0,118300.0,755.0,39500.0,13959422300.0,13959422300.0,1396422300.0,18000.0,350900.0,,43500.0,39067500.0,2.0
2022-11-15,755.0,0.0,0.0,800.0,755.0,765.0,10.0,6439400.0,5006938000.0,2739.0,85.0,770.0,65100.0,765.0,100200.0,13959422300.0,13959422300.0,1396422300.0,3100.0,4000.0,,0.0,0.0,0.0
2022-11-16,765.0,0.0,0.0,775.0,735.0,755.0,-10.0,2330400.0,1742561000.0,1571.0,83.9,755.0,102900.0,750.0,600.0,13959422300.0,13959422300.0,1396422300.0,90500.0,10300.0,,0.0,0.0,0.0
2022-11-17,755.0,0.0,0.0,755.0,715.0,715.0,-40.0,3611900.0,2621968500.0,1573.0,79.4,720.0,8800.0,715.0,56600.0,13959422300.0,13959422300.0,1396422300.0,141100.0,4700.0,,0.0,0.0,0.0
2022-11-18,715.0,0.0,0.0,755.0,715.0,740.0,25.0,2290800.0,1698268000.0,1167.0,82.2,740.0,1600.0,735.0,22600.0,13959422300.0,13959422300.0,1396422300.0,5300.0,5400.0,,15000.0,10867500.0,3.0
2022-11-21,740.0,0.0,0.0,795.0,740.0,795.0,55.0,7220200.0,5638867500.0,1759.0,88.3,800.0,266400.0,795.0,2719300.0,13959422300.0,13959422300.0,1396422300.0,63700.0,7100.0,,15000.0,11355000.0,4.0
2022-11-22,795.0,0.0,0.0,840.0,795.0,820.0,25.0,5360300.0,4371136500.0,1800.0,91.1,820.0,93100.0,815.0,153700.0,13959422300.0,13959422300.0,1396422300.0,334600.0,6400.0,,40000.0,36600000.0,1.0
2022-11-23,820.0,0.0,0.0,830.0,790.0,805.0,-15.0,2390600.0,1925868000.0,861.0,89.4,805.0,66700.0,800.0,86800.0,13959422300.0,13959422300.0,1396422300.0,8500.0,4700.0,,0.0,0.0,0.0
2022-11-24,805.0,0.0,0.0,820.0,795.0,805.0,0.0,1125600.0,905227500.0,535.0,89.4,805.0,91600.0,800.0,212400.0,13959422300.0,13959422300.0,1396422300.0,5600.0,7000.0,,0.0,0.0,0.0
2022-11-25,805.0,0.0,0.0,805.0,785.0,795.0,-10.0,1840000.0,1467126000.0,461.0,88.3,800.0,27000.0,795.0,980800.0,13959422300.0,13959422300.0,1396422300.0,7000.0,6300.0,,0.0,0.0,0.0
2022-11-28,795.0,0.0,0.0,800.0,770.0,780.0,-15.0,1744600.0,1367567000.0,611.0,86.7,785.0,2700.0,780.0,8600.0,13959422300.0,13959422300.0,1396422300.0,3900.0,2400.0,,1400.0,1260000.0,2.0
2022-11-29,780.0,0.0,0.0,785.0,775.0,780.0,0.0,777100.0,605371500.0,399.0,86.7,780.0,300.0,775.0,98100.0,13959422300.0,13959422300.0,1396422300.0,3000.0,3000.0,,0.0,0.0,0.0
2022-11-30,780.0,0.0,0.0,785.0,770.0,780.0,0.0,1789500.0,1390106500.0,518.0,86.7,780.0,32900.0,775.0,69600.0,13959422300.0,13959422300.0,1396422300.0,4000.0,3400.0,,0.0,0.0,0.0
2022-12-01,780.0,0.0,0.0,805.0,770.0,780.0,0.0,3671200.0,2868797500.0,835.0,86.7,785.0,1200.0,780.0,9800.0,13959422300.0,13959422300.0,1396422300.0,28500.0,3900.0,,0.0,0.0,0.0
2022-12-02,780.0,0.0,0.0,790.0,775.0,780.0,0.0,1025800.0,800195000.0,525.0,86.7,785.0,3200.0,780.0,98800.0,13959422300.0,13959422300.0,1396422300.0,4400.0,4300.0,,0.0,0.0,0.0
2022-12-05,780.0,0.0,0.0,790.0,745.0,775.0,-5.0,1505700.0,1168282500.0,573.0,86.1,775.0,13600.0,770.0,28200.0,13959422300.0,13959422300.0,1396422300.0,5000.0,3400.0,,0.0,0.0,0.0
2022-12-06,775.0,0.0,0.0,775.0,755.0,770.0,-5.0,952400.0,724305000.0,512.0,85.6,770.0,21800.0,765.0,800.0,13959422300.0,13959422300.0,1396422300.0,2800.0,3600.0,,0.0,0.0,0.0
2022-12-07,770.0,0.0,0.0,770.0,735.0,740.0,-30.0,921500.0,690542500.0,531.0,82.2,740.0,28900.0,735.0,56200.0,13959422300.0,13959422300.0,1396422300.0,800.0,300.0,,0.0,0.0,0.0
2022-12-08,740.0,0.0,0.0,775.0,715.0,770.0,30.0,797800.0,592994000.0,521.0,85.6,770.0,9700.0,765.0,400.0,13959422300.0,13959422300.0,1396422300.0,2100.0,7700.0,,0.0,0.0,0.0
2022-12-09,770.0,0.0,0.0,770.0,750.0,760.0,-10.0,217000.0,164724500.0,222.0,84.4,760.0,23000.0,755.0,700.0,13959422300.0,13959422300.0,1396422300.0,5700.0,0.0,,0.0,0.0,0.0
2022-12-12,760.0,0.0,0.0,760.0,740.0,750.0,-10.0,304600.0,228259000.0,313.0,83.3,750.0,21900.0,745.0,8500.0,13959422300.0,13959422300.0,1396422300.0,1600.0,0.0,,0.0,0.0,0.0
2022-12-13,750.0,0.0,0.0,750.0,730.0,735.0,-15.0,426400.0,313820500.0,379.0,81.7,740.0,11900.0,735.0,63700.0,13959422300.0,13959422300.0,1396422300.0,800.0,0.0,,1111100.0,833325000.0,1.0
2022-12-14,735.0,0.0,0.0,745.0,700.0,730.0,-5.0,592500.0,427156500.0,430.0,81.1,730.0,7300.0,725.0,100.0,13959422300.0,13959422300.0,1396422300.0,2900.0,0.0,,0.0,0.0,0.0
