date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,166.0,0.0,0.0,169.0,165.0,167.0,1.0,3946400.0,657312900.0,125.0,123.7,167.0,15800.0,166.0,465000.0,5033600000.0,5033600000.0,5033600000.0,0.0,2560000.0,,0.0,0.0,0.0
2019-07-30,167.0,0.0,0.0,174.0,169.0,172.0,5.0,7893600.0,1354783000.0,290.0,127.4,172.0,590900.0,171.0,28400.0,5033600000.0,5033600000.0,5033600000.0,2686200.0,0.0,,600000.0,109200000.0,1.0
2019-07-31,172.0,0.0,0.0,174.0,167.0,167.0,-5.0,869500.0,147122600.0,179.0,123.7,169.0,100.0,167.0,748500.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,167.0,0.0,0.0,171.0,167.0,168.0,1.0,596900.0,100509500.0,79.0,124.4,168.0,74800.0,167.0,114000.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,168.0,0.0,0.0,168.0,165.0,167.0,-1.0,1241100.0,206147400.0,138.0,123.7,168.0,96400.0,167.0,3500.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,167.0,0.0,0.0,170.0,163.0,164.0,-3.0,2328000.0,384601500.0,248.0,121.5,165.0,70000.0,164.0,10100.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,600000.0,111000000.0,1.0
2019-08-06,164.0,0.0,0.0,163.0,155.0,163.0,-1.0,2762600.0,441571400.0,257.0,120.7,163.0,4400.0,162.0,34200.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,163.0,0.0,0.0,169.0,163.0,166.0,3.0,3446200.0,573612600.0,133.0,123.0,167.0,123300.0,166.0,2200.0,5033600000.0,5033600000.0,5033600000.0,146600.0,0.0,,0.0,0.0,0.0
2019-08-08,166.0,0.0,0.0,169.0,165.0,169.0,3.0,1778900.0,297789600.0,88.0,125.2,169.0,1133700.0,168.0,301000.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,169.0,0.0,0.0,171.0,169.0,169.0,0.0,1593900.0,269928700.0,118.0,125.2,170.0,269200.0,169.0,926400.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,600000.0,112800000.0,1.0
2019-08-12,169.0,0.0,0.0,171.0,168.0,168.0,-1.0,3050300.0,515909000.0,96.0,124.4,170.0,15700.0,168.0,262100.0,5033600000.0,5033600000.0,5033600000.0,0.0,149400.0,,0.0,0.0,0.0
2019-08-13,168.0,0.0,0.0,168.0,165.0,166.0,-2.0,3085700.0,514160300.0,91.0,123.0,167.0,104100.0,166.0,553200.0,5033600000.0,5033600000.0,5033600000.0,0.0,1300600.0,,0.0,0.0,0.0
2019-08-14,166.0,0.0,0.0,171.0,164.0,169.0,3.0,2489400.0,418809200.0,137.0,125.2,169.0,516400.0,168.0,11400.0,5033600000.0,5033600000.0,5033600000.0,350100.0,300000.0,,0.0,0.0,0.0
2019-08-15,169.0,0.0,0.0,169.0,165.0,167.0,-2.0,1349100.0,223512200.0,138.0,123.7,167.0,57300.0,165.0,457400.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,600000.0,114000000.0,1.0
2019-08-16,167.0,0.0,0.0,168.0,162.0,164.0,-3.0,2012000.0,329538100.0,214.0,121.5,165.0,116000.0,164.0,6600.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,164.0,0.0,0.0,167.0,160.0,164.0,0.0,3421500.0,564252200.0,84.0,121.5,165.0,182400.0,164.0,92200.0,5033600000.0,5033600000.0,5033600000.0,2103400.0,0.0,,0.0,0.0,0.0
2019-08-20,164.0,0.0,0.0,167.0,160.0,167.0,3.0,1375000.0,227605700.0,67.0,123.7,167.0,125800.0,166.0,7800.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,167.0,0.0,0.0,168.0,163.0,167.0,0.0,2010500.0,331171300.0,104.0,123.7,167.0,261500.0,166.0,674200.0,5033600000.0,5033600000.0,5033600000.0,1438900.0,0.0,,600001.0,115200164.0,2.0
2019-08-22,167.0,0.0,0.0,168.0,163.0,167.0,0.0,1883300.0,313855800.0,84.0,123.7,167.0,231000.0,166.0,747500.0,5033600000.0,5033600000.0,5033600000.0,32200.0,0.0,,0.0,0.0,0.0
2019-08-23,167.0,0.0,0.0,167.0,164.0,166.0,-1.0,1275800.0,211697700.0,33.0,123.0,166.0,13200.0,165.0,46600.0,5033600000.0,5033600000.0,5033600000.0,1170600.0,0.0,,0.0,0.0,0.0
2019-08-26,166.0,0.0,0.0,167.0,164.0,164.0,-2.0,731400.0,120703600.0,82.0,121.5,164.0,58000.0,163.0,111800.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,164.0,0.0,0.0,168.0,163.0,163.0,-1.0,531700.0,87977900.0,65.0,120.7,167.0,184700.0,164.0,13500.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,600000.0,115200000.0,1.0
2019-08-28,163.0,0.0,0.0,167.0,163.0,165.0,2.0,1747400.0,288190200.0,116.0,122.2,166.0,43600.0,165.0,196400.0,5033600000.0,5033600000.0,5033600000.0,0.0,0.0,,0.0,0.0,0.0
