date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2080.0,2100.0,2100.0,2110.0,2020.0,2100.0,20.0,11233400.0,23401406000.0,1745.0,394.7,2110.0,109200.0,2100.0,457700.0,6199897354.0,6199897354.0,6199897354.0,792700.0,693400.0,,0.0,0.0,0.0
2019-07-30,2100.0,2120.0,2120.0,2190.0,2110.0,2160.0,60.0,16738900.0,36033315000.0,2553.0,406.0,2160.0,113300.0,2150.0,3525500.0,6199897354.0,6199897354.0,6199897354.0,4359900.0,1187700.0,,20000.0,46000000.0,1.0
2019-07-31,2160.0,2140.0,2130.0,2150.0,2080.0,2150.0,-10.0,26337700.0,55737827000.0,2800.0,404.1,2150.0,4418800.0,2110.0,32100.0,6199897354.0,6199897354.0,6199897354.0,4531900.0,2338800.0,,1788302.0,3815073700.0,9.0
2019-08-01,2150.0,2130.0,2120.0,2130.0,1980.0,1985.0,-165.0,70844500.0,142881527500.0,7855.0,373.1,1985.0,328500.0,1980.0,965900.0,6199897354.0,6199897354.0,6199897354.0,15578300.0,2228000.0,,525145.0,1128046240.0,5.0
2019-08-02,1985.0,1950.0,1950.0,1965.0,1915.0,1925.0,-60.0,36876500.0,71232381000.0,4772.0,361.8,1930.0,201300.0,1925.0,110000.0,6199897354.0,6199897354.0,6199897354.0,2550700.0,4486700.0,,6993.0,14338025.0,4.0
2019-08-05,1925.0,1900.0,1900.0,1915.0,1870.0,1870.0,-55.0,24078700.0,45450921500.0,3168.0,351.5,1875.0,50000.0,1870.0,219600.0,6199897354.0,6199897354.0,6199897354.0,2637000.0,6987300.0,,500502.0,1133452797.0,4.0
2019-08-06,1870.0,1850.0,1845.0,1880.0,1785.0,1870.0,0.0,31338000.0,57952208000.0,3696.0,351.5,1875.0,818100.0,1870.0,521000.0,6199897354.0,6199897354.0,6199897354.0,1926600.0,3025700.0,,700500.0,1312070000.0,3.0
2019-08-07,1870.0,1880.0,1885.0,1900.0,1850.0,1860.0,-10.0,30240200.0,56373570000.0,3386.0,349.6,1860.0,57000.0,1855.0,20500.0,6199897354.0,6199897354.0,6199897354.0,6201300.0,5615500.0,,11.0,19745.0,1.0
2019-08-08,1860.0,1855.0,1860.0,1905.0,1835.0,1890.0,30.0,33736700.0,62946436000.0,3211.0,355.3,1895.0,27900.0,1890.0,947500.0,6199897354.0,6199897354.0,6199897354.0,7060000.0,1931000.0,,693600.0,1304555200.0,5.0
2019-08-09,1890.0,1915.0,1915.0,1925.0,1870.0,1885.0,-5.0,14230900.0,26913047000.0,2780.0,354.3,1885.0,230000.0,1880.0,230700.0,6199897354.0,6199897354.0,6199897354.0,1108000.0,1411800.0,,1515469.0,3044235209.0,4.0
