date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1590.0,0.0,0.0,1595.0,1570.0,1575.0,-15.0,554700.0,879417500.0,253.0,1260.0,1580.0,78300.0,1575.0,4500.0,1008605000.0,1008605000.0,1008605000.0,0.0,141800.0,,0.0,0.0,0.0
2019-07-30,1575.0,0.0,0.0,1610.0,1575.0,1580.0,5.0,169700.0,268192000.0,124.0,1264.0,1585.0,8500.0,1575.0,10500.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,1580.0,0.0,0.0,1585.0,1560.0,1565.0,-15.0,679000.0,1063324500.0,241.0,1252.0,1570.0,2300.0,1565.0,2200.0,1008605000.0,1008605000.0,1008605000.0,155100.0,0.0,,0.0,0.0,0.0
2019-08-01,1565.0,0.0,0.0,1565.0,1545.0,1550.0,-15.0,323000.0,501237000.0,226.0,1240.0,1555.0,17800.0,1550.0,16800.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,1550.0,0.0,0.0,1550.0,1520.0,1520.0,-30.0,222500.0,339770000.0,229.0,1216.0,1525.0,1700.0,1520.0,15600.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,1520.0,0.0,0.0,1535.0,1470.0,1475.0,-45.0,670900.0,993918000.0,378.0,1180.0,1485.0,6900.0,1475.0,26400.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,1475.0,0.0,0.0,1460.0,1400.0,1440.0,-35.0,481900.0,692967500.0,281.0,1152.0,1445.0,8300.0,1440.0,19900.0,1008605000.0,1008605000.0,1008605000.0,0.0,50000.0,,0.0,0.0,0.0
2019-08-07,1440.0,0.0,0.0,1480.0,1445.0,1460.0,20.0,1160500.0,1690161500.0,250.0,1168.0,1470.0,15300.0,1460.0,200.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,1460.0,0.0,0.0,1485.0,1465.0,1475.0,15.0,248300.0,365111500.0,140.0,1180.0,1475.0,95200.0,1470.0,1600.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,1475.0,0.0,0.0,1490.0,1440.0,1450.0,-25.0,283900.0,415223500.0,249.0,1160.0,1460.0,1900.0,1450.0,26000.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,1450.0,0.0,0.0,1485.0,1445.0,1445.0,-5.0,265900.0,387492500.0,194.0,1156.0,1450.0,2400.0,1445.0,6600.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,1445.0,0.0,0.0,1450.0,1435.0,1435.0,-10.0,189600.0,273280500.0,131.0,1148.0,1455.0,14600.0,1435.0,3200.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,1435.0,0.0,0.0,1475.0,1440.0,1440.0,5.0,329900.0,478288000.0,154.0,1152.0,1445.0,12500.0,1440.0,66600.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,1440.0,0.0,0.0,1430.0,1390.0,1400.0,-40.0,935600.0,1314201000.0,374.0,1120.0,1420.0,17500.0,1400.0,3900.0,1008605000.0,1008605000.0,1008605000.0,0.0,5000.0,,0.0,0.0,0.0
2019-08-16,1400.0,0.0,0.0,1510.0,1395.0,1430.0,30.0,1374100.0,2009661000.0,453.0,1144.0,1430.0,288000.0,1425.0,2000.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,1430.0,0.0,0.0,1475.0,1430.0,1440.0,10.0,130000.0,187274500.0,131.0,1152.0,1440.0,53600.0,1430.0,38100.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,1440.0,0.0,0.0,1450.0,1440.0,1445.0,5.0,281800.0,407974500.0,137.0,1156.0,1450.0,4800.0,1440.0,33200.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,1445.0,0.0,0.0,1455.0,1430.0,1440.0,-5.0,132300.0,190251000.0,130.0,1152.0,1440.0,2200.0,1435.0,2500.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,1440.0,0.0,0.0,1445.0,1420.0,1425.0,-15.0,130200.0,186207000.0,101.0,1140.0,1425.0,100.0,1420.0,4400.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,2.0,2880.0,1.0
2019-08-23,1425.0,0.0,0.0,1475.0,1405.0,1405.0,-20.0,548000.0,782032000.0,313.0,1124.0,1405.0,26000.0,1400.0,71300.0,1008605000.0,1008605000.0,1008605000.0,174000.0,0.0,,0.0,0.0,0.0
2019-08-26,1405.0,0.0,0.0,1405.0,1340.0,1360.0,-45.0,612300.0,834499000.0,396.0,1088.0,1365.0,16700.0,1360.0,5600.0,1008605000.0,1008605000.0,1008605000.0,182800.0,0.0,,0.0,0.0,0.0
2019-08-27,1360.0,0.0,0.0,1400.0,1325.0,1340.0,-20.0,703800.0,942785500.0,380.0,1072.0,1340.0,202000.0,1330.0,16000.0,1008605000.0,1008605000.0,1008605000.0,218400.0,0.0,,0.0,0.0,0.0
2019-08-28,1340.0,0.0,0.0,1350.0,1320.0,1325.0,-15.0,243600.0,324861000.0,242.0,1060.0,1335.0,29400.0,1325.0,800.0,1008605000.0,1008605000.0,1008605000.0,108200.0,0.0,,0.0,0.0,0.0
2019-08-29,1325.0,0.0,0.0,1345.0,1300.0,1345.0,20.0,483500.0,636039500.0,313.0,1076.0,1345.0,17300.0,1315.0,1800.0,1008605000.0,1008605000.0,1008605000.0,68800.0,0.0,,0.0,0.0,0.0
2019-08-30,1345.0,0.0,0.0,1370.0,1345.0,1350.0,5.0,203900.0,275868500.0,186.0,1080.0,1350.0,7000.0,1345.0,4600.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,1350.0,0.0,0.0,1360.0,1345.0,1350.0,0.0,137300.0,185498000.0,133.0,1080.0,1355.0,7000.0,1350.0,300.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,1350.0,0.0,0.0,1400.0,1350.0,1365.0,15.0,426600.0,584021000.0,263.0,1092.0,1365.0,5800.0,1360.0,20200.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,1365.0,0.0,0.0,1410.0,1365.0,1405.0,40.0,340100.0,475884500.0,213.0,1124.0,1405.0,2100.0,1400.0,2100.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,1405.0,0.0,0.0,1440.0,1385.0,1390.0,-15.0,244900.0,343408000.0,206.0,1112.0,1400.0,28600.0,1390.0,24500.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06,1390.0,0.0,0.0,1420.0,1390.0,1415.0,25.0,292500.0,411528500.0,192.0,1132.0,1415.0,7600.0,1400.0,2500.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,1415.0,0.0,0.0,1470.0,1420.0,1465.0,50.0,512400.0,743701000.0,355.0,1172.0,1470.0,23300.0,1465.0,260400.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,1465.0,0.0,0.0,1490.0,1455.0,1460.0,-5.0,387700.0,567742000.0,219.0,1168.0,1465.0,60300.0,1460.0,24100.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11,1460.0,0.0,0.0,1485.0,1460.0,1475.0,15.0,345000.0,507983500.0,147.0,1180.0,1480.0,11200.0,1475.0,265800.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,1475.0,0.0,0.0,1525.0,1490.0,1495.0,20.0,736600.0,1106159500.0,345.0,1196.0,1500.0,6200.0,1495.0,90100.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,1495.0,0.0,0.0,1500.0,1450.0,1450.0,-45.0,703200.0,1031145500.0,281.0,1160.0,1460.0,4000.0,1450.0,37300.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16,1450.0,0.0,0.0,1520.0,1485.0,1495.0,45.0,747600.0,1120697000.0,395.0,1196.0,1495.0,18000.0,1490.0,5400.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17,1495.0,0.0,0.0,1540.0,1495.0,1525.0,30.0,807900.0,1235158500.0,472.0,1220.0,1530.0,93600.0,1525.0,29100.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,3000.0,4500000.0,1.0
2019-09-18,1525.0,0.0,0.0,1525.0,1490.0,1500.0,-25.0,595500.0,893883000.0,263.0,1200.0,1500.0,17500.0,1490.0,31000.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-19,1500.0,0.0,0.0,1505.0,1460.0,1460.0,-40.0,242500.0,357018000.0,190.0,1168.0,1465.0,900.0,1460.0,27800.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-20,1460.0,0.0,0.0,1505.0,1435.0,1460.0,0.0,220500.0,321903000.0,220.0,1168.0,1460.0,80900.0,1450.0,2500.0,1008605000.0,1008605000.0,1008605000.0,0.0,0.0,,0.0,0.0,0.0
