date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,488.0,0.0,0.0,490.0,474.0,474.0,-14.0,3317800.0,1583491800.0,766.0,245.2,476.0,100400.0,474.0,29700.0,5314344000.0,5314344000.0,5314344000.0,11600.0,76400.0,,0.0,0.0,0.0
2019-07-30T00:00:00,474.0,0.0,0.0,494.0,470.0,480.0,6.0,2263600.0,1094531000.0,695.0,248.3,482.0,4700.0,480.0,56100.0,5314344000.0,5314344000.0,5314344000.0,27100.0,40000.0,,0.0,0.0,0.0
2019-07-31T00:00:00,480.0,0.0,0.0,488.0,474.0,474.0,-6.0,2872900.0,1372104600.0,601.0,245.2,478.0,24800.0,474.0,101900.0,5314344000.0,5314344000.0,5314344000.0,42000.0,46100.0,,0.0,0.0,0.0
2019-08-01T00:00:00,474.0,0.0,0.0,484.0,452.0,466.0,-8.0,4447900.0,2077123000.0,810.0,241.0,468.0,15300.0,466.0,102400.0,5314344000.0,5314344000.0,5314344000.0,67700.0,108500.0,,0.0,0.0,0.0
2019-08-02T00:00:00,466.0,0.0,0.0,466.0,456.0,460.0,-6.0,2033600.0,935532200.0,397.0,237.9,462.0,22700.0,460.0,30500.0,5314344000.0,5314344000.0,5314344000.0,58800.0,66100.0,,0.0,0.0,0.0
2019-08-05T00:00:00,460.0,0.0,0.0,464.0,434.0,434.0,-26.0,3184600.0,1406343800.0,716.0,224.5,436.0,1600.0,434.0,17000.0,5314344000.0,5314344000.0,5314344000.0,44700.0,161300.0,,0.0,0.0,0.0
2019-08-06T00:00:00,434.0,0.0,0.0,434.0,404.0,420.0,-14.0,4158800.0,1735663200.0,790.0,217.2,422.0,30900.0,420.0,93200.0,5314344000.0,5314344000.0,5314344000.0,190000.0,1948100.0,,0.0,0.0,0.0
2019-08-07T00:00:00,420.0,0.0,0.0,470.0,420.0,464.0,44.0,8276000.0,3733941200.0,1794.0,240.0,466.0,23100.0,464.0,3200.0,5314344000.0,5314344000.0,5314344000.0,147900.0,2026200.0,,0.0,0.0,0.0
2019-08-08T00:00:00,464.0,0.0,0.0,472.0,448.0,452.0,-12.0,2540100.0,1161372400.0,780.0,233.8,456.0,50000.0,452.0,36000.0,5314344000.0,5314344000.0,5314344000.0,79000.0,130000.0,,0.0,0.0,0.0
2019-08-09T00:00:00,452.0,0.0,0.0,462.0,450.0,450.0,-2.0,1567500.0,711770600.0,407.0,232.8,452.0,44100.0,450.0,41500.0,5314344000.0,5314344000.0,5314344000.0,600.0,20000.0,,0.0,0.0,0.0
2019-08-12T00:00:00,450.0,0.0,0.0,476.0,442.0,474.0,24.0,6663600.0,3089776200.0,1357.0,245.2,474.0,25300.0,472.0,15000.0,5314344000.0,5314344000.0,5314344000.0,16900.0,167100.0,,0.0,0.0,0.0
2019-08-13T00:00:00,474.0,0.0,0.0,510.0,470.0,470.0,-4.0,31759000.0,15566239700.0,4312.0,243.1,472.0,107700.0,470.0,33000.0,5314344000.0,5314344000.0,5314344000.0,4310600.0,63500.0,,5000.0,2420000.0,1.0
2019-08-14T00:00:00,470.0,0.0,0.0,478.0,460.0,460.0,-10.0,4978100.0,2318856600.0,1054.0,237.9,462.0,40900.0,460.0,677000.0,5314344000.0,5314344000.0,5314344000.0,0.0,18200.0,,0.0,0.0,0.0
2019-08-15T00:00:00,460.0,0.0,0.0,466.0,450.0,458.0,-2.0,2787300.0,1272170800.0,629.0,236.9,460.0,105900.0,458.0,41000.0,5314344000.0,5314344000.0,5314344000.0,0.0,20300.0,,0.0,0.0,0.0
2019-08-16T00:00:00,458.0,0.0,0.0,468.0,454.0,454.0,-4.0,1688400.0,776394800.0,357.0,234.8,454.0,62300.0,452.0,37100.0,5314344000.0,5314344000.0,5314344000.0,2500.0,0.0,,0.0,0.0,0.0
2019-08-19T00:00:00,454.0,0.0,0.0,472.0,454.0,454.0,0.0,2812200.0,1293573000.0,465.0,234.8,456.0,29100.0,454.0,272000.0,5314344000.0,5314344000.0,5314344000.0,204400.0,4400.0,,0.0,0.0,0.0
2019-08-20T00:00:00,454.0,0.0,0.0,464.0,450.0,450.0,-4.0,1955300.0,887690600.0,381.0,232.8,452.0,42100.0,450.0,237400.0,5314344000.0,5314344000.0,5314344000.0,15700.0,0.0,,0.0,0.0,0.0
2019-08-21T00:00:00,450.0,0.0,0.0,456.0,442.0,444.0,-6.0,1335700.0,597540000.0,320.0,229.7,446.0,38000.0,444.0,614200.0,5314344000.0,5314344000.0,5314344000.0,0.0,168000.0,,0.0,0.0,0.0
2019-08-22T00:00:00,444.0,0.0,0.0,450.0,432.0,440.0,-4.0,2285200.0,1005210600.0,417.0,227.6,440.0,33000.0,438.0,13100.0,5314344000.0,5314344000.0,5314344000.0,1300.0,776000.0,,0.0,0.0,0.0
2019-08-23T00:00:00,440.0,0.0,0.0,444.0,428.0,434.0,-6.0,1604800.0,695366600.0,481.0,224.5,434.0,100.0,432.0,36200.0,5314344000.0,5314344000.0,5314344000.0,500.0,283300.0,,0.0,0.0,0.0
2019-08-26T00:00:00,434.0,0.0,0.0,434.0,414.0,420.0,-14.0,2143500.0,905571800.0,486.0,217.2,420.0,263800.0,418.0,56000.0,5314344000.0,5314344000.0,5314344000.0,1302700.0,208700.0,,0.0,0.0,0.0
2019-08-27T00:00:00,420.0,0.0,0.0,458.0,420.0,434.0,14.0,2367200.0,1038460400.0,722.0,224.5,434.0,19400.0,432.0,24000.0,5314344000.0,5314344000.0,5314344000.0,75700.0,24000.0,,0.0,0.0,0.0
2019-08-28T00:00:00,434.0,0.0,0.0,444.0,426.0,430.0,-4.0,951000.0,407000000.0,255.0,222.4,430.0,40800.0,426.0,341700.0,5314344000.0,5314344000.0,5314344000.0,15400.0,6700.0,,0.0,0.0,0.0
2019-08-29T00:00:00,430.0,0.0,0.0,438.0,428.0,428.0,-2.0,689300.0,296532600.0,221.0,221.4,430.0,1000.0,428.0,99400.0,5314344000.0,5314344000.0,5314344000.0,1500.0,100000.0,,0.0,0.0,0.0
2019-08-30T00:00:00,428.0,0.0,0.0,432.0,422.0,422.0,-6.0,489700.0,207614200.0,190.0,218.3,424.0,2100.0,422.0,2200.0,5314344000.0,5314344000.0,5314344000.0,14900.0,1400.0,,0.0,0.0,0.0
2019-09-02T00:00:00,422.0,0.0,0.0,430.0,416.0,420.0,-2.0,1499600.0,630825400.0,271.0,217.2,422.0,10400.0,420.0,14100.0,5314344000.0,5314344000.0,5314344000.0,8700.0,755900.0,,0.0,0.0,0.0
2019-09-03T00:00:00,420.0,0.0,0.0,426.0,418.0,418.0,-2.0,892500.0,374893000.0,202.0,216.2,420.0,562800.0,418.0,244600.0,5314344000.0,5314344000.0,5314344000.0,220500.0,200000.0,,0.0,0.0,0.0
2019-09-04T00:00:00,418.0,0.0,0.0,426.0,416.0,416.0,-2.0,822500.0,343954400.0,172.0,215.2,420.0,76000.0,416.0,224300.0,5314344000.0,5314344000.0,5314344000.0,296300.0,200000.0,,0.0,0.0,0.0
2019-09-05T00:00:00,416.0,0.0,0.0,422.0,416.0,416.0,0.0,850300.0,355171600.0,165.0,215.2,418.0,36900.0,416.0,100200.0,5314344000.0,5314344000.0,5314344000.0,0.0,250000.0,,0.0,0.0,0.0
2019-09-06T00:00:00,416.0,0.0,0.0,448.0,416.0,446.0,30.0,6882900.0,3018816200.0,889.0,230.7,448.0,55900.0,446.0,3369700.0,5314344000.0,5314344000.0,5314344000.0,392700.0,49000.0,,0.0,0.0,0.0
2019-09-09T00:00:00,446.0,0.0,0.0,470.0,426.0,432.0,-14.0,14876700.0,6703882600.0,2237.0,223.4,434.0,6600.0,432.0,835800.0,5314344000.0,5314344000.0,5314344000.0,92100.0,447700.0,,0.0,0.0,0.0
2019-09-10T00:00:00,432.0,0.0,0.0,456.0,426.0,442.0,10.0,3948600.0,1743367200.0,785.0,228.6,442.0,87400.0,440.0,103700.0,5314344000.0,5314344000.0,5314344000.0,2700.0,104500.0,,0.0,0.0,0.0
2019-09-11T00:00:00,442.0,0.0,0.0,448.0,432.0,434.0,-8.0,1810000.0,792643600.0,377.0,224.5,436.0,36400.0,434.0,518200.0,5314344000.0,5314344000.0,5314344000.0,0.0,129500.0,,0.0,0.0,0.0
2019-09-12T00:00:00,434.0,0.0,0.0,440.0,422.0,426.0,-8.0,1967000.0,846560000.0,440.0,220.3,430.0,11100.0,426.0,317400.0,5314344000.0,5314344000.0,5314344000.0,22400.0,35800.0,,0.0,0.0,0.0
2019-09-13T00:00:00,426.0,0.0,0.0,432.0,426.0,428.0,2.0,525800.0,224795200.0,138.0,221.4,430.0,34700.0,428.0,63400.0,5314344000.0,5314344000.0,5314344000.0,20500.0,0.0,,200000.0,91200000.0,1.0
2019-09-16T00:00:00,428.0,0.0,0.0,428.0,416.0,420.0,-8.0,1707700.0,714723400.0,280.0,217.2,420.0,45100.0,418.0,103700.0,5314344000.0,5314344000.0,5314344000.0,53500.0,513900.0,,0.0,0.0,0.0
2019-09-17T00:00:00,420.0,0.0,0.0,428.0,418.0,418.0,-2.0,510400.0,214632400.0,145.0,216.2,420.0,41700.0,418.0,335100.0,5314344000.0,5314344000.0,5314344000.0,2800.0,89900.0,,0.0,0.0,0.0
2019-09-18T00:00:00,418.0,0.0,0.0,426.0,416.0,418.0,0.0,929300.0,389283000.0,210.0,216.2,420.0,11900.0,418.0,206900.0,5314344000.0,5314344000.0,5314344000.0,9600.0,277200.0,,0.0,0.0,0.0
2019-09-19T00:00:00,418.0,0.0,0.0,426.0,418.0,422.0,4.0,1062900.0,448324600.0,223.0,218.3,424.0,69700.0,420.0,130000.0,5314344000.0,5314344000.0,5314344000.0,18500.0,152700.0,,200000.0,91200000.0,1.0
2019-09-20T00:00:00,422.0,0.0,0.0,424.0,418.0,420.0,-2.0,372700.0,156124200.0,72.0,217.2,422.0,13600.0,420.0,66800.0,5314344000.0,5314344000.0,5314344000.0,0.0,101900.0,,0.0,0.0,0.0
2019-09-23T00:00:00,420.0,0.0,0.0,434.0,420.0,424.0,4.0,1921000.0,821540800.0,351.0,219.3,426.0,495500.0,424.0,234400.0,5314344000.0,5314344000.0,5314344000.0,150900.0,2900.0,,0.0,0.0,0.0
2019-09-24T00:00:00,424.0,0.0,0.0,430.0,414.0,416.0,-8.0,1485400.0,623358800.0,299.0,215.2,418.0,7500.0,416.0,280700.0,5314344000.0,5314344000.0,5314344000.0,71900.0,231500.0,,0.0,0.0,0.0
2019-09-25T00:00:00,416.0,0.0,0.0,422.0,412.0,418.0,2.0,3147300.0,1313500600.0,215.0,216.2,418.0,106800.0,416.0,1000.0,5314344000.0,5314344000.0,5314344000.0,1200.0,443100.0,,0.0,0.0,0.0
2019-09-26T00:00:00,418.0,0.0,0.0,422.0,414.0,414.0,-4.0,2734600.0,1137395200.0,187.0,214.1,416.0,15500.0,414.0,7500.0,5314344000.0,5314344000.0,5314344000.0,6600.0,100000.0,,0.0,0.0,0.0
2019-09-27T00:00:00,414.0,0.0,0.0,420.0,412.0,412.0,-2.0,365100.0,151006400.0,106.0,213.1,412.0,41600.0,410.0,22200.0,5314344000.0,5314344000.0,5314344000.0,6300.0,100000.0,,0.0,0.0,0.0
2019-09-30T00:00:00,412.0,0.0,0.0,414.0,406.0,410.0,-2.0,649800.0,265578400.0,142.0,212.1,412.0,271200.0,410.0,104200.0,5314344000.0,5314344000.0,5314344000.0,1900.0,337000.0,,0.0,0.0,0.0
2019-10-01T00:00:00,410.0,0.0,0.0,410.0,386.0,390.0,-20.0,3257500.0,1278472200.0,593.0,201.7,390.0,45900.0,388.0,5700.0,5314344000.0,5314344000.0,5314344000.0,1033200.0,620600.0,,0.0,0.0,0.0
2019-10-02T00:00:00,390.0,0.0,0.0,398.0,372.0,398.0,8.0,2596000.0,995712200.0,631.0,205.9,400.0,48600.0,398.0,47800.0,5314344000.0,5314344000.0,5314344000.0,12100.0,175600.0,,0.0,0.0,0.0
2019-10-03T00:00:00,398.0,0.0,0.0,414.0,380.0,382.0,-16.0,4609800.0,1849396600.0,1022.0,197.6,384.0,197700.0,382.0,145400.0,5314344000.0,5314344000.0,5314344000.0,18300.0,3200.0,,0.0,0.0,0.0
2019-10-04T00:00:00,382.0,0.0,0.0,388.0,376.0,376.0,-6.0,678800.0,260311600.0,174.0,194.5,378.0,10000.0,376.0,5000.0,5314344000.0,5314344000.0,5314344000.0,0.0,15000.0,,0.0,0.0,0.0
2019-10-07T00:00:00,376.0,0.0,0.0,382.0,370.0,370.0,-6.0,683900.0,257053600.0,135.0,191.4,372.0,44600.0,370.0,78400.0,5314344000.0,5314344000.0,5314344000.0,5400.0,16500.0,,0.0,0.0,0.0
2019-10-08T00:00:00,370.0,0.0,0.0,376.0,362.0,364.0,-6.0,413800.0,150971400.0,159.0,188.3,366.0,1100.0,364.0,33600.0,5314344000.0,5314344000.0,5314344000.0,7400.0,0.0,,0.0,0.0,0.0
2019-10-09T00:00:00,364.0,0.0,0.0,372.0,362.0,366.0,2.0,267100.0,97041600.0,110.0,189.3,366.0,3500.0,362.0,87800.0,5314344000.0,5314344000.0,5314344000.0,0.0,600.0,,0.0,0.0,0.0
2019-10-10T00:00:00,366.0,0.0,0.0,390.0,366.0,370.0,4.0,962100.0,361733600.0,232.0,191.4,370.0,43400.0,368.0,295400.0,5314344000.0,5314344000.0,5314344000.0,123400.0,11100.0,,0.0,0.0,0.0
2019-10-11T00:00:00,370.0,0.0,0.0,378.0,370.0,376.0,6.0,450300.0,168868800.0,136.0,194.5,378.0,56700.0,376.0,4500.0,5314344000.0,5314344000.0,5314344000.0,4300.0,7200.0,,0.0,0.0,0.0
2019-10-14T00:00:00,376.0,0.0,0.0,380.0,368.0,370.0,-6.0,498700.0,186333800.0,138.0,191.4,370.0,2400.0,368.0,5400.0,5314344000.0,5314344000.0,5314344000.0,14200.0,0.0,,0.0,0.0,0.0
2019-10-15T00:00:00,370.0,0.0,0.0,370.0,362.0,366.0,-4.0,952600.0,348587200.0,153.0,189.3,366.0,37000.0,364.0,75100.0,5314344000.0,5314344000.0,5314344000.0,257200.0,0.0,,0.0,0.0,0.0
2019-10-16T00:00:00,366.0,0.0,0.0,374.0,366.0,370.0,4.0,200700.0,73915800.0,108.0,191.4,372.0,100400.0,370.0,700.0,5314344000.0,5314344000.0,5314344000.0,2700.0,0.0,,0.0,0.0,0.0
2019-10-17T00:00:00,370.0,0.0,0.0,378.0,368.0,374.0,4.0,340800.0,127044000.0,125.0,193.4,374.0,99300.0,370.0,32300.0,5314344000.0,5314344000.0,5314344000.0,39800.0,0.0,,0.0,0.0,0.0
2019-10-18T00:00:00,374.0,0.0,0.0,430.0,382.0,422.0,48.0,7827300.0,3259115200.0,1639.0,218.3,424.0,224800.0,422.0,1258500.0,5314344000.0,5314344000.0,5314344000.0,2700.0,1000.0,,0.0,0.0,0.0
2019-10-21T00:00:00,422.0,0.0,0.0,434.0,412.0,414.0,-8.0,2289000.0,960697200.0,636.0,214.1,414.0,166500.0,412.0,106000.0,5314344000.0,5314344000.0,5314344000.0,0.0,261800.0,,0.0,0.0,0.0
2019-10-22T00:00:00,414.0,0.0,0.0,416.0,394.0,398.0,-16.0,1160000.0,470420400.0,288.0,205.9,400.0,500.0,398.0,58100.0,5314344000.0,5314344000.0,5314344000.0,0.0,303300.0,,0.0,0.0,0.0
2019-10-23T00:00:00,398.0,0.0,0.0,400.0,382.0,382.0,-16.0,757900.0,295243400.0,236.0,197.6,382.0,97500.0,380.0,40500.0,5314344000.0,5314344000.0,5314344000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-24T00:00:00,382.0,0.0,0.0,388.0,382.0,382.0,0.0,704500.0,270072800.0,131.0,197.6,384.0,175700.0,382.0,93000.0,5314344000.0,5314344000.0,5314344000.0,30000.0,2000.0,,0.0,0.0,0.0
2019-10-25T00:00:00,382.0,0.0,0.0,394.0,380.0,384.0,2.0,932000.0,358615400.0,197.0,198.6,384.0,41000.0,382.0,118700.0,5314344000.0,5314344000.0,5314344000.0,0.0,74200.0,,0.0,0.0,0.0
2019-10-28T00:00:00,384.0,0.0,0.0,392.0,384.0,384.0,0.0,549800.0,211452400.0,111.0,198.6,384.0,46700.0,382.0,56200.0,5314344000.0,5314344000.0,5314344000.0,0.0,150000.0,,0.0,0.0,0.0
2019-10-29T00:00:00,384.0,0.0,0.0,400.0,382.0,398.0,14.0,1407300.0,550304200.0,185.0,205.9,400.0,17400.0,398.0,142500.0,5314344000.0,5314344000.0,5314344000.0,0.0,258800.0,,0.0,0.0,0.0
2019-10-30T00:00:00,398.0,0.0,0.0,428.0,386.0,394.0,-4.0,3011900.0,1224449400.0,802.0,203.8,398.0,34900.0,394.0,51300.0,5314344000.0,5314344000.0,5314344000.0,0.0,124500.0,,0.0,0.0,0.0
