date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-10-09,300.0,0.0,0.0,450.0,450.0,450.0,150.0,2537800.0,1142010000.0,71.0,150.0,0.0,0.0,450.0,102417800.0,1333333500.0,332378500.0,1333333500.0,0.0,0.0,,101968700.0,30950962400.0,50.0
2019-10-10,450.0,0.0,0.0,560.0,480.0,488.0,38.0,156097200.0,80711720900.0,10669.0,162.7,490.0,306600.0,488.0,92300.0,1333333500.0,332378500.0,1333333500.0,586700.0,176200.0,,7297400.0,3027220000.0,13.0
2019-10-11,488.0,0.0,0.0,505.0,476.0,490.0,2.0,50710100.0,24826290800.0,3717.0,163.3,490.0,228600.0,488.0,494900.0,1333333500.0,332378500.0,1333333500.0,0.0,0.0,,0.0,0.0,0.0
2019-10-14,490.0,0.0,0.0,510.0,490.0,500.0,10.0,28149100.0,14057217000.0,2176.0,166.7,505.0,438300.0,500.0,527000.0,1333333500.0,332378500.0,1333333500.0,0.0,149500.0,,3733200.0,1119960000.0,2.0
2019-10-15,500.0,0.0,0.0,535.0,500.0,535.0,35.0,37674300.0,19591856000.0,3282.0,178.3,540.0,1421800.0,535.0,1175300.0,1333333500.0,332378500.0,1333333500.0,0.0,0.0,,1000.0,535000.0,1.0
2019-10-16,535.0,0.0,0.0,660.0,540.0,625.0,90.0,176071600.0,106760933000.0,12852.0,208.3,625.0,341300.0,620.0,978100.0,1333333500.0,332378500.0,1333333500.0,194700.0,170300.0,,180000.0,90000000.0,4.0
2019-10-17,625.0,0.0,0.0,645.0,615.0,635.0,10.0,54565800.0,34329691000.0,4975.0,211.7,635.0,804100.0,630.0,100700.0,1333333500.0,332378500.0,1333333500.0,30000.0,130000.0,,2283700.0,1303812500.0,6.0
2019-10-18,635.0,0.0,0.0,660.0,630.0,650.0,15.0,55283700.0,35687421500.0,4479.0,216.7,655.0,377500.0,650.0,737800.0,1333333500.0,332378500.0,1333333500.0,0.0,101300.0,,6562000.0,3919320000.0,3.0
2019-10-21,650.0,0.0,0.0,685.0,640.0,680.0,30.0,70862400.0,47089123500.0,5705.0,226.7,680.0,188200.0,675.0,523100.0,1333333500.0,332378500.0,1333333500.0,8000.0,160600.0,,7660000.0,4520450000.0,11.0
2019-10-22,680.0,0.0,0.0,695.0,665.0,680.0,0.0,39519700.0,26880168500.0,4534.0,226.7,685.0,190300.0,680.0,140300.0,1333333500.0,332378500.0,1333333500.0,30000.0,332000.0,,0.0,0.0,0.0
2019-10-23,680.0,0.0,0.0,780.0,670.0,775.0,95.0,97503000.0,71640547500.0,8287.0,258.3,775.0,228000.0,770.0,620600.0,1333333500.0,332378500.0,1333333500.0,0.0,0.0,,0.0,0.0,0.0
2019-10-24,775.0,0.0,0.0,810.0,775.0,800.0,25.0,54333500.0,43200441000.0,6851.0,266.7,805.0,442600.0,800.0,521200.0,1333333500.0,332378500.0,1333333500.0,37000.0,178300.0,,1133600.0,713756000.0,5.0
2019-10-25,800.0,0.0,0.0,865.0,795.0,855.0,55.0,132779700.0,111372587000.0,10132.0,285.0,855.0,112800.0,850.0,340400.0,1333333500.0,332378500.0,1333333500.0,132000.0,212000.0,,13060000.0,7818000000.0,3.0
2019-10-28,855.0,0.0,0.0,910.0,845.0,870.0,15.0,99929400.0,88358316500.0,10969.0,290.0,870.0,2484700.0,865.0,818200.0,1333333500.0,332378500.0,1333333500.0,250100.0,289000.0,,20566400.0,14502953000.0,5.0
2019-10-29,870.0,0.0,0.0,885.0,815.0,865.0,-5.0,99329000.0,85417994000.0,6016.0,288.3,865.0,224800.0,860.0,1179200.0,1333333500.0,332378500.0,1333333500.0,141500.0,212200.0,,500.0,450000.0,1.0
2019-10-30,865.0,0.0,0.0,940.0,850.0,935.0,70.0,105669800.0,96180026500.0,6131.0,311.7,940.0,1126700.0,935.0,1241900.0,1333333500.0,332378500.0,1333333500.0,100000.0,144400.0,,210000.0,89250000.0,3.0
2019-10-31,935.0,0.0,0.0,1005.0,935.0,995.0,60.0,117815800.0,115409586500.0,8108.0,331.7,1000.0,781200.0,995.0,1043600.0,1333333500.0,332378500.0,1333333500.0,0.0,14500.0,,194300.0,145725000.0,1.0
2019-11-01,995.0,0.0,0.0,1060.0,980.0,1000.0,5.0,129806600.0,132596805000.0,9164.0,333.3,1000.0,3480600.0,995.0,1177700.0,1333333500.0,332378500.0,1333333500.0,21800.0,1000.0,,0.0,0.0,0.0
2019-11-04,1000.0,0.0,0.0,1035.0,955.0,1005.0,5.0,132620100.0,132343304500.0,6756.0,335.0,1005.0,275200.0,1000.0,1155300.0,1333333500.0,332378500.0,1333333500.0,234000.0,46600.0,,292500.0,225461500.0,2.0
2019-11-05,1005.0,0.0,0.0,1050.0,990.0,1045.0,40.0,59150000.0,60689952500.0,4392.0,348.3,1050.0,820400.0,1045.0,1393900.0,1333333500.0,332378500.0,1333333500.0,84800.0,70000.0,,833300.0,466648000.0,1.0
2019-11-06,1045.0,0.0,0.0,1095.0,1035.0,1090.0,45.0,87422400.0,93708524500.0,5840.0,363.3,1095.0,665100.0,1090.0,1181800.0,1333333500.0,332378500.0,1333333500.0,5000.0,15300.0,,0.0,0.0,0.0
2019-11-07,1090.0,0.0,0.0,1115.0,1070.0,1110.0,20.0,47629300.0,52324718500.0,4629.0,370.0,1115.0,699300.0,1110.0,1327900.0,1333333500.0,332378500.0,1333333500.0,22900.0,22400.0,,0.0,0.0,0.0
2019-11-08,1110.0,0.0,0.0,1160.0,1105.0,1160.0,50.0,51645100.0,58781617000.0,4162.0,386.7,1160.0,170800.0,1155.0,352500.0,1333333500.0,332378500.0,1333333500.0,0.0,21200.0,,0.0,0.0,0.0
