date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-06-22,90.0,0.0,0.0,99.0,81.0,99.0,9.0,542362100.0,51354491400.0,29414.0,110.0,0.0,0.0,99.0,1312000.0,5727800000.0,5110680000.0,0.0,5549200.0,3566500.0,,0.0,0.0,0.0
2023-06-23,99.0,0.0,0.0,108.0,98.0,108.0,9.0,209352000.0,21993758100.0,12433.0,120.0,0.0,0.0,108.0,7051500.0,5727800000.0,5110680000.0,0.0,2730700.0,2246000.0,,0.0,0.0,0.0
2023-06-26,108.0,0.0,0.0,118.0,98.0,118.0,10.0,243368800.0,27043220900.0,12677.0,131.1,0.0,0.0,118.0,3024300.0,5727800000.0,5110680000.0,0.0,3362500.0,2422100.0,,0.0,0.0,0.0
2023-06-27,118.0,0.0,0.0,129.0,118.0,129.0,11.0,189264000.0,23755691200.0,9126.0,143.3,0.0,0.0,129.0,6412000.0,5727800000.0,5110680000.0,0.0,2219100.0,2130000.0,,0.0,0.0,0.0
2023-07-03,129.0,0.0,0.0,141.0,129.0,141.0,12.0,115180200.0,15895581000.0,7572.0,156.7,0.0,0.0,141.0,12505200.0,5727800000.0,5110680000.0,0.0,272500.0,1345400.0,,0.0,0.0,0.0
2023-07-04,141.0,0.0,0.0,155.0,142.0,155.0,14.0,108875800.0,16455506000.0,6181.0,172.2,0.0,0.0,155.0,21126100.0,5727800000.0,5110680000.0,0.0,1220000.0,3315800.0,,0.0,0.0,0.0
2023-07-05,155.0,0.0,0.0,170.0,140.0,170.0,15.0,315397100.0,50464722000.0,15976.0,188.9,170.0,755600.0,169.0,3526100.0,5727800000.0,5110680000.0,0.0,6629500.0,5687400.0,,0.0,0.0,0.0
2023-07-06,170.0,0.0,0.0,187.0,165.0,185.0,15.0,171470300.0,31035058300.0,10686.0,205.6,185.0,1545500.0,184.0,2359100.0,5727800000.0,5110680000.0,0.0,2137000.0,4336300.0,,0.0,0.0,0.0
2023-07-07,185.0,0.0,0.0,197.0,167.0,167.0,-18.0,110612200.0,20235769800.0,9698.0,185.6,167.0,13067800.0,0.0,0.0,5727800000.0,5110680000.0,0.0,1010900.0,1559300.0,,0.0,0.0,0.0
2023-07-10,167.0,0.0,0.0,183.0,151.0,183.0,16.0,135105200.0,23611999200.0,7992.0,203.3,0.0,0.0,183.0,17578700.0,5727800000.0,5110680000.0,0.0,3824400.0,4377500.0,,0.0,0.0,0.0
