date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,208.0,0.0,0.0,208.0,204.0,208.0,0.0,261400.0,53770600.0,47.0,20.9,210.0,62100.0,156.0,5000.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,208.0,0.0,0.0,208.0,156.0,206.0,-2.0,258100.0,53074600.0,54.0,20.7,208.0,5000.0,161.0,10800.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,206.0,0.0,0.0,208.0,202.0,208.0,2.0,286900.0,58381400.0,59.0,20.9,208.0,76700.0,190.0,10000.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,208.0,0.0,0.0,208.0,202.0,208.0,0.0,281500.0,57533000.0,48.0,20.9,208.0,76200.0,158.0,5000.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,208.0,0.0,0.0,208.0,202.0,208.0,0.0,242800.0,49484600.0,33.0,20.9,208.0,67600.0,156.0,5000.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,208.0,0.0,0.0,208.0,202.0,208.0,0.0,253600.0,51729000.0,58.0,20.9,208.0,54900.0,200.0,200.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,208.0,0.0,0.0,208.0,202.0,208.0,0.0,261200.0,53187000.0,53.0,20.9,208.0,66800.0,161.0,5000.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,208.0,0.0,0.0,204.0,202.0,204.0,-4.0,261500.0,53062400.0,47.0,20.5,206.0,50000.0,190.0,10000.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,204.0,0.0,0.0,206.0,159.0,159.0,-45.0,254800.0,51902700.0,57.0,16.0,206.0,50000.0,159.0,59400.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,159.0,0.0,0.0,202.0,180.0,202.0,43.0,251100.0,48078000.0,88.0,20.3,202.0,3000.0,190.0,400.0,615145012.0,391799407.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,202.0,0.0,0.0,204.0,190.0,202.0,0.0,227100.0,45697600.0,63.0,20.3,202.0,2500.0,190.0,95200.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,202.0,0.0,0.0,206.0,202.0,206.0,4.0,257600.0,52413400.0,53.0,20.7,206.0,20800.0,190.0,103500.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,206.0,0.0,0.0,206.0,202.0,206.0,0.0,270200.0,54929200.0,60.0,20.7,206.0,56500.0,200.0,5200.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,206.0,0.0,0.0,206.0,202.0,206.0,0.0,247500.0,50342800.0,49.0,20.7,206.0,68700.0,190.0,102300.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,206.0,0.0,0.0,206.0,202.0,206.0,0.0,274200.0,55845000.0,120.0,20.7,206.0,6600.0,200.0,2500.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,206.0,0.0,0.0,206.0,202.0,206.0,0.0,287300.0,58474200.0,69.0,20.7,206.0,56500.0,190.0,110800.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,206.0,0.0,0.0,210.0,204.0,208.0,2.0,235200.0,48318200.0,69.0,20.9,210.0,19400.0,190.0,111000.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,208.0,0.0,0.0,208.0,202.0,208.0,0.0,248300.0,50716200.0,67.0,20.9,208.0,17200.0,200.0,2000.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,208.0,0.0,0.0,204.0,190.0,190.0,-18.0,362000.0,71768200.0,73.0,19.1,208.0,19300.0,190.0,31200.0,615145012.0,615145012.0,615145012.0,100000.0,0.0,,0.0,0.0,0.0
2019-08-23,190.0,0.0,0.0,204.0,196.0,204.0,14.0,225600.0,45340400.0,138.0,20.5,206.0,2300.0,204.0,200.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,204.0,0.0,0.0,204.0,200.0,204.0,0.0,284800.0,57709800.0,73.0,20.5,204.0,9000.0,194.0,100.0,615145012.0,615145012.0,615145012.0,0.0,0.0,,0.0,0.0,0.0
