date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,900.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,1.0,850.0,1000.0,775.0,2200.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,900.0,0.0,0.0,945.0,945.0,945.0,45.0,6000.0,5670000.0,7.0,1.1,945.0,3900.0,850.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,945.0,0.0,0.0,950.0,900.0,950.0,5.0,26800.0,25290000.0,18.0,1.1,950.0,8600.0,900.0,200.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,950.0,0.0,0.0,930.0,900.0,900.0,-50.0,600.0,546000.0,2.0,1.0,900.0,49600.0,850.0,400.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,900.0,0.0,0.0,920.0,780.0,920.0,20.0,12000.0,10940000.0,6.0,1.0,920.0,61500.0,900.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,920.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,1.0,915.0,900.0,870.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,185.0,160950.0,1.0
2019-08-06,920.0,0.0,0.0,1000.0,850.0,1000.0,80.0,126500.0,117674500.0,19.0,1.1,1000.0,3900.0,960.0,500.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,1000.0,0.0,0.0,1000.0,900.0,1000.0,0.0,11200.0,11007000.0,17.0,1.1,1000.0,1800.0,880.0,6700.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,1000.0,0.0,0.0,1000.0,950.0,1000.0,0.0,20200.0,19996000.0,23.0,1.1,1000.0,900.0,975.0,500.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,3.0,2700.0,1.0
2019-08-09,1000.0,0.0,0.0,1000.0,950.0,1000.0,0.0,16500.0,16241500.0,16.0,1.1,1000.0,3000.0,995.0,400.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,1000.0,0.0,0.0,1000.0,995.0,1000.0,0.0,30100.0,30099500.0,11.0,1.1,1000.0,3600.0,950.0,30000.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,1000.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,300000.0,300000000.0,16.0,1.1,1000.0,4000.0,760.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,1000.0,0.0,0.0,1250.0,950.0,1150.0,150.0,70300.0,79503000.0,36.0,1.3,1150.0,1400.0,1050.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,1150.0,0.0,0.0,1140.0,1130.0,1130.0,-20.0,1000.0,1139000.0,2.0,1.3,1125.0,2000.0,950.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,1130.0,0.0,0.0,1125.0,1050.0,1125.0,-5.0,91600.0,102297500.0,11.0,1.3,1130.0,2900.0,1125.0,10500.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,1125.0,0.0,0.0,1070.0,1050.0,1055.0,-70.0,16900.0,17880500.0,16.0,1.2,1055.0,6800.0,1045.0,1400.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,1055.0,0.0,0.0,1100.0,1045.0,1095.0,40.0,4700.0,5019000.0,13.0,1.2,1095.0,4800.0,1085.0,100.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,1095.0,0.0,0.0,1100.0,1050.0,1100.0,5.0,22600.0,24603500.0,19.0,1.2,1100.0,3000.0,1020.0,2000.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,1100.0,0.0,0.0,1065.0,1060.0,1060.0,-40.0,2700.0,2864000.0,8.0,1.2,1080.0,2300.0,1010.0,200.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,730.0,802280.0,2.0
2019-08-23,1060.0,0.0,0.0,1060.0,1060.0,1060.0,0.0,2000.0,2120000.0,2.0,1.2,1060.0,4000.0,905.0,9000.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,1060.0,0.0,0.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,1.2,1060.0,10300.0,915.0,1000.0,1339102579.0,1339102579.0,1339102579.0,0.0,0.0,,0.0,0.0,0.0
