date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,4000.0,0.0,0.0,4040.0,4000.0,4000.0,0.0,12700.0,50897000.0,17.0,1321.6,4030.0,300.0,4000.0,3000.0,2872193366.0,2872193366.0,2872193366.0,100.0,0.0,,0.0,0.0,0.0
2019-07-30,4000.0,0.0,0.0,4050.0,4000.0,4010.0,10.0,12800.0,51336000.0,23.0,1324.9,4050.0,1300.0,4010.0,100.0,2872193366.0,2872193366.0,2872193366.0,500.0,0.0,,0.0,0.0,0.0
2019-07-31,4010.0,0.0,0.0,4050.0,4000.0,4050.0,40.0,3100.0,12438000.0,18.0,1338.1,4020.0,200.0,4000.0,400.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,4050.0,0.0,0.0,4080.0,4020.0,4020.0,-30.0,4800.0,19404000.0,16.0,1328.2,4020.0,7600.0,4000.0,1600.0,2872193366.0,2872193366.0,2872193366.0,200.0,0.0,,0.0,0.0,0.0
2019-08-02,4020.0,0.0,0.0,4000.0,3950.0,3950.0,-70.0,4100.0,16255000.0,17.0,1305.1,4000.0,13500.0,3950.0,4300.0,2872193366.0,2872193366.0,2872193366.0,100.0,500.0,,0.0,0.0,0.0
2019-08-05,3950.0,0.0,0.0,3950.0,3750.0,3800.0,-150.0,19400.0,75112000.0,38.0,1255.5,3800.0,400.0,3750.0,15400.0,2872193366.0,2872193366.0,2872193366.0,100.0,0.0,,0.0,0.0,0.0
2019-08-06,3800.0,0.0,0.0,3800.0,3800.0,3800.0,0.0,2400.0,9120000.0,6.0,1255.5,4000.0,300.0,3790.0,300.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,3800.0,0.0,0.0,3850.0,3770.0,3770.0,-30.0,1400.0,5320000.0,6.0,1245.6,3770.0,1400.0,3760.0,400.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,3770.0,0.0,0.0,3800.0,3770.0,3800.0,30.0,1500.0,5658000.0,7.0,1255.5,3800.0,100.0,3790.0,100.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,5000.0,14250000.0,1.0
2019-08-09,3800.0,0.0,0.0,3800.0,3800.0,3800.0,0.0,2400.0,9120000.0,7.0,1255.5,3800.0,1200.0,3760.0,300.0,2872193366.0,2872193366.0,2872193366.0,0.0,1000.0,,0.0,0.0,0.0
2019-08-12,3800.0,0.0,0.0,3820.0,3690.0,3690.0,-110.0,4600.0,17233000.0,18.0,1219.2,3690.0,8600.0,3640.0,1000.0,2872193366.0,2872193366.0,2872193366.0,1200.0,2000.0,,0.0,0.0,0.0
2019-08-13,3690.0,0.0,0.0,3870.0,3700.0,3760.0,70.0,7100.0,26648000.0,18.0,1242.3,3860.0,600.0,3760.0,100.0,2872193366.0,2872193366.0,2872193366.0,200.0,800.0,,0.0,0.0,0.0
2019-08-14,3760.0,0.0,0.0,3780.0,3760.0,3780.0,20.0,500.0,1888000.0,3.0,1248.9,3800.0,10300.0,3780.0,600.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,3780.0,0.0,0.0,3770.0,3760.0,3760.0,-20.0,1400.0,5271000.0,6.0,1242.3,3800.0,17900.0,3690.0,100.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,3760.0,0.0,0.0,3720.0,3700.0,3720.0,-40.0,2300.0,8522000.0,8.0,1229.1,3820.0,200.0,3700.0,1100.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,3720.0,0.0,0.0,3860.0,3750.0,3800.0,80.0,2800.0,10639000.0,8.0,1255.5,3800.0,700.0,3740.0,200.0,2872193366.0,2872193366.0,2872193366.0,200.0,0.0,,0.0,0.0,0.0
2019-08-20,3800.0,0.0,0.0,3800.0,3700.0,3700.0,-100.0,400.0,1510000.0,3.0,1222.5,3800.0,7900.0,3700.0,300.0,2872193366.0,2872193366.0,2872193366.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,3700.0,0.0,0.0,3740.0,3700.0,3740.0,40.0,5800.0,21540000.0,11.0,1235.7,3740.0,6100.0,3680.0,500.0,2872193366.0,2872193366.0,2872193366.0,4300.0,3000.0,,0.0,0.0,0.0
2019-08-22,3740.0,0.0,0.0,4010.0,3700.0,3980.0,240.0,12700.0,48434000.0,20.0,1315.0,3900.0,400.0,3720.0,400.0,2872193366.0,2872193366.0,2872193366.0,400.0,0.0,,0.0,0.0,0.0
2019-08-23,3980.0,0.0,0.0,3970.0,3700.0,3700.0,-280.0,7700.0,28882000.0,17.0,1222.5,3720.0,1000.0,3700.0,500.0,2872193366.0,2872193366.0,2872193366.0,6200.0,0.0,,0.0,0.0,0.0
