date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9650.0,1000.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,5058200.0,50582000000.0,2.0
2019-07-30,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9750.0,1000.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9750.0,1000.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,2013600.0,20136000000.0,1.0
2019-08-01,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,10000.0,120200.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,4037100.0,40371000000.0,1.0
2019-08-02,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9900.0,800.0,0.0,0.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,1602900.0,16029000000.0,1.0
2019-08-05,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9750.0,1000.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,10000.0,95300.0,0.0,0.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9750.0,1000.0,0.0,0.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,701300.0,7013000000.0,1.0
2019-08-08,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,10000.0,111500.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,200000.0,1950000000.0,1.0
2019-08-09,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,745.5,9975.0,16500.0,8000.0,100.0,6367664717.0,6367664717.0,6367664717.0,0.0,0.0,,3546300.0,35463000000.0,2.0
