date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,111.0,0.0,0.0,113.0,108.0,110.0,-1.0,2476500.0,272784100.0,295.0,26.9,111.0,119400.0,110.0,14900.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,110.0,0.0,0.0,113.0,107.0,108.0,-2.0,2630000.0,289479600.0,366.0,26.4,109.0,10000.0,108.0,580400.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,108.0,0.0,0.0,116.0,108.0,108.0,0.0,6323300.0,705878100.0,600.0,26.4,108.0,3315900.0,107.0,183200.0,12499385782.0,12499385782.0,12499385782.0,30000.0,0.0,,0.0,0.0,0.0
2019-08-01,108.0,0.0,0.0,110.0,107.0,107.0,-1.0,1781200.0,192475800.0,178.0,26.2,108.0,19500.0,107.0,183900.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,107.0,0.0,0.0,108.0,102.0,104.0,-3.0,1754000.0,184012300.0,259.0,25.4,105.0,110200.0,104.0,110000.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,104.0,0.0,0.0,108.0,98.0,100.0,-4.0,6976600.0,714213600.0,623.0,24.5,100.0,400.0,99.0,53700.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,100.0,0.0,0.0,100.0,75.0,90.0,-10.0,7285600.0,649137100.0,770.0,22.0,91.0,113300.0,90.0,129400.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,90.0,0.0,0.0,102.0,89.0,89.0,-1.0,12835300.0,1200079500.0,1052.0,21.8,91.0,267900.0,89.0,236600.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,89.0,0.0,0.0,91.0,86.0,89.0,0.0,3363700.0,297820700.0,527.0,21.8,90.0,98000.0,89.0,438900.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,89.0,0.0,0.0,93.0,79.0,85.0,-4.0,19508300.0,1703189200.0,1412.0,20.8,85.0,856400.0,84.0,231800.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,85.0,0.0,0.0,86.0,80.0,82.0,-3.0,12655800.0,1031014000.0,907.0,20.1,82.0,415500.0,81.0,16100.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,82.0,0.0,0.0,82.0,76.0,78.0,-4.0,6661600.0,524170800.0,674.0,19.1,79.0,163000.0,78.0,10300.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,78.0,0.0,0.0,80.0,68.0,70.0,-8.0,18696300.0,1355834300.0,1111.0,17.1,71.0,91000.0,70.0,6045000.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,70.0,0.0,0.0,72.0,55.0,55.0,-15.0,255039600.0,15447424700.0,6329.0,13.5,57.0,100000.0,55.0,2311700.0,12499385782.0,12499385782.0,12499385782.0,140000000.0,10001600.0,,33460000.0,2007600000.0,1.0
2019-08-16,55.0,0.0,0.0,64.0,55.0,57.0,2.0,78697700.0,4599431200.0,2342.0,13.9,58.0,611800.0,57.0,148000.0,12499385782.0,12499385782.0,12499385782.0,0.0,100000.0,,0.0,0.0,0.0
2019-08-19,57.0,0.0,0.0,59.0,51.0,52.0,-5.0,101811800.0,5737412400.0,2963.0,12.7,53.0,528000.0,52.0,10191100.0,12499385782.0,12499385782.0,12499385782.0,0.0,1000000.0,,0.0,0.0,0.0
2019-08-20,52.0,0.0,0.0,54.0,50.0,50.0,-2.0,89606700.0,4510676000.0,2107.0,12.2,50.0,390800.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,15203000.0,,0.0,0.0,0.0
2019-08-21,50.0,0.0,0.0,51.0,50.0,50.0,0.0,3181900.0,159095100.0,203.0,12.2,50.0,5186900.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,50.0,0.0,0.0,50.0,50.0,50.0,0.0,943900.0,47195000.0,65.0,12.2,50.0,10780300.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,50.0,0.0,0.0,50.0,50.0,50.0,0.0,524400.0,26220000.0,35.0,12.2,50.0,15503500.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,50.0,0.0,0.0,50.0,50.0,50.0,0.0,166200.0,8310000.0,34.0,12.2,50.0,12888200.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,50.0,0.0,0.0,50.0,50.0,50.0,0.0,219000.0,10950000.0,36.0,12.2,50.0,15478600.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,50.0,0.0,0.0,50.0,50.0,50.0,0.0,539400.0,26970000.0,102.0,12.2,50.0,18929100.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,100000.0,4500000.0,1.0
2019-08-29,50.0,0.0,0.0,50.0,50.0,50.0,0.0,409800.0,20490000.0,73.0,12.2,50.0,9291300.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,4600.0,184000.0,1.0
2019-08-30,50.0,0.0,0.0,50.0,50.0,50.0,0.0,302600.0,15130000.0,35.0,12.2,50.0,7250300.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,50.0,0.0,0.0,50.0,50.0,50.0,0.0,2007100.0,100355000.0,88.0,12.2,50.0,5579200.0,0.0,0.0,12499385782.0,12499385782.0,12499385782.0,0.0,0.0,,0.0,0.0,0.0
