date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-03-29,150.0,0.0,0.0,202.0,202.0,202.0,52.0,70500.0,14241000.0,4.0,134.7,0.0,0.0,202.0,85398700.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,18500000.0,3737000000.0,1.0
2021-03-30,202.0,0.0,0.0,252.0,252.0,252.0,50.0,3500.0,882000.0,8.0,168.0,0.0,0.0,252.0,38262000.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-03-31,252.0,0.0,0.0,314.0,314.0,314.0,62.0,8700.0,2731800.0,14.0,209.3,0.0,0.0,314.0,11588800.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,3000000.0,900980000.0,8.0
2021-04-01,314.0,0.0,0.0,392.0,316.0,340.0,26.0,14227200.0,5166711600.0,3152.0,226.7,342.0,2000.0,340.0,347600.0,450000000.0,150000000.0,450000000.0,32300.0,30000.0,,0.0,0.0,0.0
2021-04-05,340.0,0.0,0.0,350.0,318.0,320.0,-20.0,16505200.0,5428350400.0,1052.0,213.3,322.0,43500.0,320.0,252500.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-06,320.0,0.0,0.0,346.0,320.0,330.0,10.0,11061700.0,3663898000.0,649.0,220.0,332.0,579800.0,330.0,552400.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,15500000.0,4619000000.0,1.0
2021-04-07,330.0,0.0,0.0,338.0,322.0,332.0,2.0,13036100.0,4335744400.0,708.0,221.3,334.0,120900.0,332.0,232000.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,7500000.0,2332000000.0,2.0
2021-04-08,332.0,0.0,0.0,344.0,332.0,336.0,4.0,12006900.0,4044639600.0,797.0,224.0,338.0,227400.0,336.0,177100.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-09,336.0,0.0,0.0,348.0,324.0,334.0,-2.0,9611600.0,3252149400.0,824.0,222.7,336.0,314400.0,334.0,1157500.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-12,334.0,0.0,0.0,354.0,334.0,344.0,10.0,13435700.0,4629067800.0,921.0,229.3,346.0,880700.0,344.0,202100.0,450000000.0,150000000.0,450000000.0,0.0,1800.0,,0.0,0.0,0.0
2021-04-13,344.0,0.0,0.0,372.0,346.0,368.0,24.0,15975300.0,5752956200.0,1049.0,245.3,370.0,633600.0,368.0,92700.0,450000000.0,150000000.0,450000000.0,1800.0,0.0,,0.0,0.0,0.0
2021-04-14,368.0,0.0,0.0,442.0,368.0,440.0,72.0,23027100.0,9478346400.0,2288.0,293.3,442.0,43100.0,440.0,34300.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-15,440.0,0.0,0.0,462.0,434.0,456.0,16.0,11857100.0,5315387800.0,931.0,304.0,460.0,3000.0,456.0,492400.0,450000000.0,150000000.0,450000000.0,0.0,8000.0,,15000000.0,6150000000.0,1.0
2021-04-16,456.0,0.0,0.0,480.0,440.0,444.0,-12.0,11016300.0,5071025000.0,709.0,296.0,446.0,3100.0,444.0,21400.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,7000000.0,2968000000.0,1.0
2021-04-19,444.0,0.0,0.0,466.0,432.0,466.0,22.0,13038400.0,5875902800.0,708.0,310.7,468.0,319300.0,466.0,600.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-20,466.0,0.0,0.0,464.0,450.0,460.0,-6.0,11802000.0,5398006600.0,432.0,306.7,464.0,78200.0,460.0,206600.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-21,460.0,0.0,0.0,480.0,452.0,470.0,10.0,15533000.0,7249624200.0,614.0,313.3,472.0,1122000.0,470.0,15800.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-22,470.0,0.0,0.0,480.0,470.0,480.0,10.0,9940200.0,4730463600.0,415.0,320.0,482.0,500100.0,480.0,86200.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,55000.0,18700000.0,1.0
2021-04-23,480.0,0.0,0.0,480.0,472.0,480.0,0.0,9124100.0,4344123000.0,271.0,320.0,482.0,1130700.0,480.0,535200.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-26,480.0,0.0,0.0,540.0,480.0,510.0,30.0,21703400.0,10963118800.0,948.0,340.0,515.0,398400.0,510.0,174700.0,450000000.0,150000000.0,450000000.0,0.0,0.0,,0.0,0.0,0.0
2021-04-27,510.0,0.0,0.0,610.0,510.0,610.0,100.0,19494700.0,10932480000.0,1438.0,406.7,615.0,100000.0,610.0,417300.0,450000000.0,150000000.0,450000000.0,30200.0,45200.0,,0.0,0.0,0.0
