date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,224.0,0.0,0.0,226.0,206.0,210.0,-14.0,40967800.0,8695529400.0,1796.0,38.2,210.0,152200.0,208.0,659700.0,7059000000.0,7059000000.0,7059000000.0,225300.0,1290200.0,,0.0,0.0,0.0
2019-07-30,210.0,0.0,0.0,220.0,208.0,216.0,6.0,27033500.0,5812069800.0,1182.0,39.3,218.0,972200.0,216.0,529400.0,7059000000.0,7059000000.0,7059000000.0,0.0,1761500.0,,0.0,0.0,0.0
2019-07-31,216.0,0.0,0.0,230.0,210.0,228.0,12.0,40940500.0,9100117600.0,1978.0,41.5,228.0,1638800.0,226.0,183300.0,7059000000.0,7059000000.0,7059000000.0,2999400.0,184000.0,,0.0,0.0,0.0
2019-08-01,228.0,0.0,0.0,234.0,222.0,224.0,-4.0,16662800.0,3787120800.0,1008.0,40.7,224.0,172600.0,222.0,363100.0,7059000000.0,7059000000.0,7059000000.0,1103300.0,133800.0,,0.0,0.0,0.0
2019-08-02,224.0,0.0,0.0,222.0,214.0,216.0,-8.0,13668100.0,2980438800.0,919.0,39.3,216.0,2085700.0,214.0,1117100.0,7059000000.0,7059000000.0,7059000000.0,0.0,386000.0,,0.0,0.0,0.0
2019-08-05,216.0,0.0,0.0,220.0,199.0,206.0,-10.0,26550700.0,5442992400.0,1785.0,37.5,206.0,1737900.0,204.0,100000.0,7059000000.0,7059000000.0,7059000000.0,381300.0,2469700.0,,405100.0,84260800.0,1.0
2019-08-06,206.0,0.0,0.0,208.0,189.0,202.0,-4.0,40145600.0,7895453700.0,1352.0,36.7,204.0,159900.0,202.0,199000.0,7059000000.0,7059000000.0,7059000000.0,257600.0,5296600.0,,0.0,0.0,0.0
2019-08-07,202.0,0.0,0.0,212.0,200.0,202.0,0.0,29157400.0,6018707200.0,2346.0,36.7,204.0,450700.0,202.0,304200.0,7059000000.0,7059000000.0,7059000000.0,1824200.0,375400.0,,0.0,0.0,0.0
2019-08-08,202.0,0.0,0.0,208.0,198.0,204.0,2.0,12337500.0,2510625600.0,896.0,37.1,206.0,436600.0,204.0,1044900.0,7059000000.0,7059000000.0,7059000000.0,487900.0,406800.0,,0.0,0.0,0.0
2019-08-09,204.0,0.0,0.0,210.0,202.0,202.0,-2.0,11542200.0,2380253400.0,613.0,36.7,204.0,168200.0,202.0,307200.0,7059000000.0,7059000000.0,7059000000.0,759600.0,565700.0,,0.0,0.0,0.0
2019-08-12,202.0,0.0,0.0,216.0,200.0,214.0,12.0,26115800.0,5512225200.0,1990.0,38.9,214.0,7993400.0,212.0,470700.0,7059000000.0,7059000000.0,7059000000.0,1069400.0,218900.0,,0.0,0.0,0.0
2019-08-13,214.0,0.0,0.0,216.0,206.0,206.0,-8.0,13816500.0,2887357400.0,1103.0,37.5,208.0,322800.0,206.0,53200.0,7059000000.0,7059000000.0,7059000000.0,735100.0,100000.0,,0.0,0.0,0.0
2019-08-14,206.0,0.0,0.0,216.0,206.0,210.0,4.0,20216700.0,4258668400.0,1214.0,38.2,212.0,267400.0,210.0,56700.0,7059000000.0,7059000000.0,7059000000.0,500000.0,0.0,,0.0,0.0,0.0
2019-08-15,210.0,0.0,0.0,210.0,200.0,206.0,-4.0,13892300.0,2846966800.0,747.0,37.5,206.0,497100.0,204.0,196300.0,7059000000.0,7059000000.0,7059000000.0,6500.0,47000.0,,0.0,0.0,0.0
2019-08-16,206.0,0.0,0.0,212.0,202.0,206.0,0.0,12836000.0,2659066000.0,556.0,37.5,208.0,110500.0,206.0,97800.0,7059000000.0,7059000000.0,7059000000.0,40500.0,0.0,,0.0,0.0,0.0
2019-08-19,206.0,0.0,0.0,210.0,200.0,202.0,-4.0,10980300.0,2222908200.0,744.0,36.7,202.0,523100.0,200.0,1442800.0,7059000000.0,7059000000.0,7059000000.0,0.0,22400.0,,0.0,0.0,0.0
2019-08-20,202.0,0.0,0.0,204.0,196.0,198.0,-4.0,13572200.0,2706853900.0,926.0,36.0,198.0,1500.0,197.0,876300.0,7059000000.0,7059000000.0,7059000000.0,17200.0,0.0,,0.0,0.0,0.0
2019-08-21,198.0,0.0,0.0,202.0,196.0,198.0,0.0,6183400.0,1222434100.0,625.0,36.0,198.0,19000.0,197.0,198600.0,7059000000.0,7059000000.0,7059000000.0,0.0,51800.0,,0.0,0.0,0.0
2019-08-22,198.0,0.0,0.0,204.0,191.0,191.0,-7.0,9271600.0,1792109900.0,873.0,34.7,191.0,1452000.0,190.0,1406000.0,7059000000.0,7059000000.0,7059000000.0,7500.0,0.0,,0.0,0.0,0.0
2019-08-23,191.0,0.0,0.0,193.0,188.0,189.0,-2.0,7336200.0,1391687500.0,594.0,34.4,190.0,26500.0,189.0,91200.0,7059000000.0,7059000000.0,7059000000.0,0.0,374800.0,,0.0,0.0,0.0
2019-08-26,189.0,0.0,0.0,202.0,185.0,197.0,8.0,18582500.0,3621359700.0,1430.0,35.8,197.0,1481300.0,196.0,112700.0,7059000000.0,7059000000.0,7059000000.0,166800.0,304700.0,,70000.0,16520000.0,1.0
2019-08-27,197.0,0.0,0.0,199.0,191.0,192.0,-5.0,8944900.0,1747462500.0,740.0,34.9,193.0,100.0,192.0,26600.0,7059000000.0,7059000000.0,7059000000.0,520400.0,7300.0,,0.0,0.0,0.0
2019-08-28,192.0,0.0,0.0,208.0,192.0,204.0,12.0,20054000.0,4060039600.0,1381.0,37.1,204.0,656100.0,202.0,261500.0,7059000000.0,7059000000.0,7059000000.0,98400.0,113500.0,,0.0,0.0,0.0
2019-08-29,204.0,0.0,0.0,206.0,197.0,200.0,-4.0,5180000.0,1037807400.0,541.0,36.4,200.0,287400.0,199.0,37700.0,7059000000.0,7059000000.0,7059000000.0,0.0,31300.0,,0.0,0.0,0.0
2019-08-30,200.0,0.0,0.0,204.0,199.0,200.0,0.0,5648900.0,1135454700.0,325.0,36.4,202.0,695400.0,200.0,125400.0,7059000000.0,7059000000.0,7059000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,200.0,0.0,0.0,204.0,190.0,192.0,-8.0,8424400.0,1655999200.0,651.0,34.9,192.0,1376700.0,191.0,343400.0,7059000000.0,7059000000.0,7059000000.0,11500.0,5600.0,,0.0,0.0,0.0
2019-09-03,192.0,0.0,0.0,197.0,191.0,194.0,2.0,6602800.0,1277171300.0,633.0,35.3,194.0,236300.0,192.0,50000.0,7059000000.0,7059000000.0,7059000000.0,5600.0,0.0,,0.0,0.0,0.0
2019-09-04,194.0,0.0,0.0,202.0,190.0,194.0,0.0,16441400.0,3211496200.0,1149.0,35.3,195.0,84800.0,194.0,202800.0,7059000000.0,7059000000.0,7059000000.0,701100.0,127900.0,,0.0,0.0,0.0
2019-09-05,194.0,0.0,0.0,198.0,192.0,193.0,-1.0,4194000.0,810173600.0,377.0,35.1,194.0,222500.0,193.0,217400.0,7059000000.0,7059000000.0,7059000000.0,100000.0,0.0,,0.0,0.0,0.0
2019-09-06,193.0,0.0,0.0,210.0,195.0,210.0,17.0,32726400.0,6626007100.0,1797.0,38.2,210.0,4009600.0,208.0,204100.0,7059000000.0,7059000000.0,7059000000.0,10000.0,457500.0,,0.0,0.0,0.0
2019-09-09,210.0,0.0,0.0,218.0,206.0,208.0,-2.0,33193000.0,7033184400.0,2841.0,37.8,208.0,1142900.0,206.0,1605200.0,7059000000.0,7059000000.0,7059000000.0,636000.0,99000.0,,0.0,0.0,0.0
