date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-05-08,110.0,0.0,0.0,148.0,105.0,148.0,38.0,1081629800.0,142325901600.0,71968.0,134.5,0.0,0.0,148.0,261728900.0,3281250000.0,656250000.0,656250000.0,3042000.0,13272200.0,,1000.0,120000.0,1.0
2024-05-13,148.0,0.0,0.0,170.0,129.0,145.0,-3.0,580774300.0,84255774700.0,47428.0,131.8,146.0,663200.0,145.0,2200.0,3281250000.0,656250000.0,656250000.0,20545200.0,17452800.0,,0.0,0.0,0.0
2024-05-14,145.0,0.0,0.0,191.0,145.0,188.0,43.0,840867800.0,144328451300.0,46206.0,170.9,189.0,388200.0,188.0,73175200.0,3281250000.0,656250000.0,656250000.0,15111300.0,10773600.0,,3000.0,470000.0,3.0
2024-05-15,188.0,0.0,0.0,252.0,188.0,252.0,64.0,889460700.0,198706661700.0,47225.0,229.1,0.0,0.0,252.0,204335300.0,3281250000.0,656250000.0,656250000.0,18014400.0,18133100.0,,0.0,0.0,0.0
2024-05-16,252.0,0.0,0.0,274.0,189.0,189.0,-63.0,338991500.0,80126756100.0,15862.0,171.8,189.0,79162100.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,376200.0,18655300.0,,0.0,0.0,0.0
2024-05-17,189.0,0.0,0.0,169.0,123.0,123.0,-66.0,1330688000.0,165459083900.0,24833.0,111.8,123.0,43292100.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,21089500.0,0.0,,0.0,0.0,0.0
2024-05-20,123.0,0.0,0.0,143.0,80.0,80.0,-43.0,690244300.0,57543212600.0,22130.0,72.7,80.0,49068700.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,3729400.0,8410800.0,,0.0,0.0,0.0
2024-05-21,80.0,0.0,0.0,100.0,55.0,92.0,12.0,1428966100.0,124037500300.0,49404.0,83.6,93.0,658400.0,92.0,160085000.0,3281250000.0,656250000.0,656250000.0,32570600.0,30456000.0,,0.0,0.0,0.0
2024-05-22,92.0,0.0,0.0,105.0,60.0,64.0,-28.0,987879500.0,77726516100.0,39095.0,58.2,65.0,1236200.0,64.0,939300.0,3281250000.0,656250000.0,656250000.0,26117500.0,31177100.0,,0.0,0.0,0.0
2024-05-27,64.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,58.2,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-05-28,64.0,0.0,0.0,73.0,55.0,65.0,1.0,147726300.0,9977905700.0,10780.0,59.1,66.0,1575900.0,65.0,680500.0,3281250000.0,656250000.0,656250000.0,7140800.0,3665000.0,,0.0,0.0,0.0
2024-05-29,65.0,0.0,0.0,68.0,58.0,59.0,-6.0,61609200.0,3788461400.0,5741.0,53.6,59.0,1268700.0,58.0,1725600.0,3281250000.0,656250000.0,656250000.0,981300.0,0.0,,0.0,0.0,0.0
2024-05-30,59.0,0.0,0.0,62.0,55.0,57.0,-2.0,76976100.0,4471732400.0,5449.0,51.8,58.0,681800.0,57.0,2000000.0,3281250000.0,656250000.0,656250000.0,790200.0,541100.0,,0.0,0.0,0.0
2024-05-31,57.0,0.0,0.0,59.0,50.0,50.0,-7.0,119982600.0,6231442900.0,7602.0,45.5,50.0,3491100.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,95000.0,266300.0,,0.0,0.0,0.0
2024-06-03,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-04,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-05,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-06,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-07,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-10,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-11,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-12,50.0,0.0,0.0,45.0,45.0,45.0,-5.0,2182800.0,98226000.0,269.0,40.9,45.0,83211500.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-13,45.0,0.0,0.0,41.0,41.0,41.0,-4.0,1352600.0,55456600.0,163.0,37.3,41.0,82623900.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-14,41.0,0.0,0.0,37.0,37.0,37.0,-4.0,1130700.0,41835900.0,205.0,33.6,37.0,73999600.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,0.0,,0.0,0.0,0.0
2024-06-19,37.0,0.0,0.0,34.0,34.0,34.0,-3.0,3240900.0,110190600.0,333.0,30.9,34.0,54723400.0,0.0,0.0,3281250000.0,656250000.0,656250000.0,0.0,100000.0,,0.0,0.0,0.0
