date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1000.0,0.0,0.0,1055.0,985.0,1050.0,50.0,8178200.0,8306207000.0,898.0,156.7,1050.0,55900.0,1045.0,3000.0,9525000000.0,9525000000.0,9525000000.0,722700.0,0.0,,30269000.0,27860920000.0,3.0
2019-07-30,1050.0,0.0,0.0,1055.0,995.0,1010.0,-40.0,6084300.0,6260574500.0,591.0,150.7,1010.0,48900.0,1005.0,25100.0,9525000000.0,9525000000.0,9525000000.0,48400.0,0.0,,24845000.0,24845000000.0,1.0
2019-07-31,1010.0,0.0,0.0,1015.0,1000.0,1010.0,0.0,17574700.0,17721325500.0,477.0,150.7,1010.0,59300.0,1005.0,200000.0,9525000000.0,9525000000.0,9525000000.0,179000.0,3700.0,,57870800.0,51505224000.0,3.0
2019-08-01,1010.0,0.0,0.0,1025.0,1000.0,1000.0,-10.0,61445600.0,62348146000.0,1379.0,149.3,1000.0,184200.0,995.0,287500.0,9525000000.0,9525000000.0,9525000000.0,152000.0,0.0,,0.0,0.0,0.0
2019-08-02,1000.0,0.0,0.0,1010.0,990.0,990.0,-10.0,41731200.0,41625889000.0,830.0,147.8,1000.0,100.0,990.0,16900.0,9525000000.0,9525000000.0,9525000000.0,451800.0,283600.0,,0.0,0.0,0.0
2019-08-05,990.0,0.0,0.0,1000.0,960.0,960.0,-30.0,61182600.0,60455973000.0,655.0,143.3,975.0,12200.0,960.0,4700.0,9525000000.0,9525000000.0,9525000000.0,214600.0,409100.0,,0.0,0.0,0.0
2019-08-06,960.0,0.0,0.0,960.0,940.0,960.0,0.0,23149500.0,22146768000.0,396.0,143.3,960.0,65900.0,945.0,500.0,9525000000.0,9525000000.0,9525000000.0,409500.0,220400.0,,0.0,0.0,0.0
2019-08-07,960.0,0.0,0.0,980.0,955.0,960.0,0.0,75993200.0,73421678500.0,753.0,143.3,960.0,3000.0,955.0,26300.0,9525000000.0,9525000000.0,9525000000.0,744000.0,0.0,,6775000.0,6504000000.0,1.0
2019-08-08,960.0,0.0,0.0,975.0,950.0,955.0,-5.0,79926700.0,77088712000.0,791.0,142.5,955.0,138000.0,950.0,107700.0,9525000000.0,9525000000.0,9525000000.0,522300.0,50600.0,,207900.0,207900000.0,18.0
2019-08-09,955.0,0.0,0.0,965.0,930.0,940.0,-15.0,57412500.0,54491800500.0,903.0,140.3,940.0,54800.0,935.0,53900.0,9525000000.0,9525000000.0,9525000000.0,311800.0,10500.0,,0.0,0.0,0.0
2019-08-12,940.0,0.0,0.0,965.0,940.0,960.0,20.0,21348300.0,20241697000.0,325.0,143.3,960.0,302400.0,955.0,100.0,9525000000.0,9525000000.0,9525000000.0,0.0,2700.0,,55165900.0,47718222000.0,5.0
2019-08-13,960.0,0.0,0.0,970.0,950.0,960.0,0.0,59823100.0,57247626000.0,890.0,143.3,960.0,29600.0,955.0,160100.0,9525000000.0,9525000000.0,9525000000.0,3200.0,1200.0,,0.0,0.0,0.0
2019-08-14,960.0,0.0,0.0,965.0,940.0,955.0,-5.0,63082200.0,59925375500.0,544.0,142.5,955.0,117800.0,950.0,500100.0,9525000000.0,9525000000.0,9525000000.0,459600.0,900.0,,3000000.0,2340000000.0,1.0
2019-08-15,955.0,0.0,0.0,955.0,940.0,945.0,-10.0,53074900.0,50289580500.0,372.0,141.0,945.0,79600.0,940.0,50900.0,9525000000.0,9525000000.0,9525000000.0,1400.0,800.0,,0.0,0.0,0.0
2019-08-16,945.0,0.0,0.0,945.0,935.0,935.0,-10.0,26745400.0,25222276500.0,297.0,139.6,935.0,40700.0,930.0,542200.0,9525000000.0,9525000000.0,9525000000.0,183900.0,76200.0,,34427800.0,25820850000.0,1.0
2019-08-19,935.0,0.0,0.0,940.0,920.0,925.0,-10.0,55881100.0,52000696000.0,417.0,138.1,925.0,80900.0,920.0,114400.0,9525000000.0,9525000000.0,9525000000.0,0.0,38000.0,,199100.0,173217000.0,1.0
2019-08-20,925.0,0.0,0.0,935.0,910.0,935.0,10.0,47922100.0,44328035500.0,332.0,139.6,935.0,105800.0,925.0,50000.0,9525000000.0,9525000000.0,9525000000.0,92400.0,608500.0,,0.0,0.0,0.0
2019-08-21,935.0,0.0,0.0,940.0,915.0,915.0,-20.0,75996300.0,70003936500.0,530.0,136.6,920.0,68200.0,915.0,33500.0,9525000000.0,9525000000.0,9525000000.0,246600.0,1300.0,,0.0,0.0,0.0
2019-08-22,915.0,0.0,0.0,925.0,905.0,905.0,-10.0,30789700.0,28171056500.0,1335.0,135.1,905.0,43000.0,900.0,429100.0,9525000000.0,9525000000.0,9525000000.0,163500.0,127000.0,,0.0,0.0,0.0
2019-08-23,905.0,0.0,0.0,910.0,900.0,905.0,0.0,66366000.0,60104544500.0,546.0,135.1,905.0,62300.0,900.0,96300.0,9525000000.0,9525000000.0,9525000000.0,0.0,305000.0,,0.0,0.0,0.0
2019-08-26,905.0,0.0,0.0,915.0,895.0,915.0,10.0,56729400.0,51083829500.0,587.0,136.6,915.0,159300.0,910.0,143800.0,9525000000.0,9525000000.0,9525000000.0,100.0,900.0,,0.0,0.0,0.0
2019-08-27,915.0,0.0,0.0,920.0,895.0,895.0,-20.0,56082100.0,51046107000.0,635.0,133.6,900.0,7500.0,895.0,48200.0,9525000000.0,9525000000.0,9525000000.0,2926700.0,4139000.0,,0.0,0.0,0.0
2019-08-28,895.0,0.0,0.0,915.0,900.0,915.0,20.0,5853400.0,5296440500.0,560.0,136.6,915.0,476100.0,910.0,130500.0,9525000000.0,9525000000.0,9525000000.0,180100.0,635300.0,,0.0,0.0,0.0
2019-08-29,915.0,0.0,0.0,920.0,895.0,910.0,-5.0,74403900.0,67268594500.0,687.0,135.8,915.0,14100.0,910.0,8700.0,9525000000.0,9525000000.0,9525000000.0,433500.0,1986900.0,,0.0,0.0,0.0
2019-08-30,910.0,0.0,0.0,915.0,905.0,915.0,5.0,61970200.0,56394335500.0,313.0,136.6,915.0,185800.0,910.0,200200.0,9525000000.0,9525000000.0,9525000000.0,83800.0,552300.0,,0.0,0.0,0.0
2019-09-02,915.0,0.0,0.0,915.0,895.0,905.0,-10.0,1778400.0,1605212000.0,105.0,135.1,905.0,50000.0,895.0,124800.0,9525000000.0,9525000000.0,9525000000.0,800.0,800.0,,8330000.0,6115650000.0,3.0
2019-09-03,905.0,0.0,0.0,905.0,890.0,895.0,-10.0,26948300.0,24247281500.0,227.0,133.6,900.0,362100.0,895.0,13500.0,9525000000.0,9525000000.0,9525000000.0,376000.0,200.0,,0.0,0.0,0.0
2019-09-04,895.0,0.0,0.0,895.0,885.0,895.0,0.0,55392700.0,49391940500.0,391.0,133.6,900.0,482800.0,890.0,102200.0,9525000000.0,9525000000.0,9525000000.0,120400.0,0.0,,140000000.0,126000000000.0,1.0
