date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,117.6,500.0,8400.0,452.0,100.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,117.6,500.0,11600.0,452.0,100.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,500.0,0.0,0.0,480.0,480.0,480.0,-20.0,10000.0,4800000.0,1.0,112.9,500.0,31000.0,480.0,10000.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,480.0,0.0,0.0,500.0,402.0,500.0,20.0,9100.0,4143200.0,9.0,117.6,500.0,17400.0,482.0,1000.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,500.0,0.0,0.0,452.0,436.0,450.0,-50.0,6400.0,2844600.0,7.0,105.9,452.0,200.0,450.0,3100.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,450.0,0.0,0.0,498.0,456.0,480.0,30.0,7200.0,3455400.0,4.0,112.9,500.0,10100.0,480.0,3000.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,480.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,112.9,500.0,5100.0,480.0,10000.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,480.0,0.0,0.0,500.0,424.0,500.0,20.0,300.0,142200.0,3.0,117.6,500.0,100.0,480.0,10000.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,117.6,500.0,1200.0,452.0,100.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,117.6,500.0,9500.0,452.0,100.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,117.6,500.0,9700.0,480.0,10000.0,1170909181.0,1170909181.0,1170909181.0,0.0,0.0,,0.0,0.0,0.0
