date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-01-09,300.0,0.0,0.0,344.0,296.0,300.0,0.0,92484000.0,28020763200.0,17425.0,100.0,302.0,265600.0,300.0,3562400.0,2500000000.0,2500000000.0,600000000.0,450000.0,16496200.0,,500.0,140000.0,1.0
2023-01-10,300.0,0.0,0.0,304.0,288.0,290.0,-10.0,19551300.0,5729310600.0,4741.0,96.7,292.0,330100.0,290.0,1057700.0,2500000000.0,2500000000.0,600000000.0,63800.0,6775100.0,,0.0,0.0,0.0
2023-01-11,290.0,0.0,0.0,358.0,290.0,320.0,30.0,160962100.0,51858923000.0,30220.0,106.7,320.0,603600.0,318.0,89300.0,2500000000.0,2500000000.0,600000000.0,2074200.0,1048500.0,,0.0,0.0,0.0
2023-01-12,320.0,0.0,0.0,328.0,298.0,302.0,-18.0,48867400.0,15123533600.0,8078.0,100.7,304.0,162500.0,302.0,500.0,2500000000.0,2500000000.0,600000000.0,251100.0,5205000.0,,0.0,0.0,0.0
2023-01-13,302.0,0.0,0.0,320.0,300.0,302.0,0.0,29432100.0,9085911000.0,5173.0,100.7,302.0,1099000.0,300.0,674400.0,2500000000.0,2500000000.0,600000000.0,111100.0,20000.0,,0.0,0.0,0.0
2023-01-16,302.0,0.0,0.0,306.0,290.0,296.0,-6.0,16726400.0,4940519000.0,3006.0,98.7,296.0,162900.0,294.0,469900.0,2500000000.0,2500000000.0,600000000.0,33200.0,3661300.0,,126363500.0,37905780000.0,7.0
2023-01-17,296.0,0.0,0.0,308.0,292.0,298.0,2.0,14171900.0,4249552400.0,2532.0,99.3,300.0,77800.0,298.0,470300.0,2500000000.0,2500000000.0,600000000.0,77500.0,1269900.0,,0.0,0.0,0.0
2023-01-18,298.0,0.0,0.0,304.0,296.0,298.0,0.0,11181200.0,3347131000.0,1377.0,99.3,300.0,997700.0,298.0,614100.0,2500000000.0,2500000000.0,600000000.0,3686900.0,1195900.0,,0.0,0.0,0.0
2023-01-19,298.0,0.0,0.0,300.0,294.0,296.0,-2.0,5049300.0,1493090400.0,1027.0,98.7,298.0,527600.0,296.0,406300.0,2500000000.0,2500000000.0,600000000.0,337100.0,710100.0,,0.0,0.0,0.0
2023-01-20,296.0,0.0,0.0,300.0,292.0,294.0,-2.0,5625400.0,1660388800.0,981.0,98.0,296.0,210900.0,294.0,500.0,2500000000.0,2500000000.0,600000000.0,14200.0,1221100.0,,0.0,0.0,0.0
2023-01-24,294.0,0.0,0.0,298.0,292.0,296.0,2.0,3218100.0,948394000.0,832.0,98.7,296.0,106000.0,294.0,599900.0,2500000000.0,2500000000.0,600000000.0,48600.0,14900.0,,0.0,0.0,0.0
2023-01-25,296.0,0.0,0.0,300.0,294.0,294.0,-2.0,3942200.0,1160994200.0,712.0,98.0,296.0,784700.0,294.0,245300.0,2500000000.0,2500000000.0,600000000.0,10700.0,577900.0,,0.0,0.0,0.0
2023-01-26,294.0,0.0,0.0,308.0,294.0,296.0,2.0,13517900.0,4051557600.0,2356.0,98.7,298.0,36500.0,296.0,254100.0,2500000000.0,2500000000.0,600000000.0,38200.0,1366900.0,,0.0,0.0,0.0
2023-01-27,296.0,0.0,0.0,300.0,294.0,296.0,0.0,2590600.0,767569800.0,575.0,98.7,298.0,96900.0,296.0,251100.0,2500000000.0,2500000000.0,600000000.0,2600.0,602300.0,,756000.0,226800000.0,9.0
2023-01-30,296.0,0.0,0.0,304.0,296.0,296.0,0.0,5645100.0,1687449600.0,908.0,98.7,298.0,920400.0,296.0,2810600.0,2500000000.0,2500000000.0,600000000.0,25700.0,936500.0,,0.0,0.0,0.0
2023-01-31,296.0,0.0,0.0,300.0,296.0,296.0,0.0,3753000.0,1112689000.0,586.0,98.7,298.0,804100.0,296.0,489300.0,2500000000.0,2500000000.0,600000000.0,6400.0,959200.0,,0.0,0.0,0.0
2023-02-01,296.0,0.0,0.0,324.0,296.0,314.0,18.0,40057000.0,12530332800.0,7616.0,104.7,316.0,227100.0,314.0,822600.0,2500000000.0,2500000000.0,600000000.0,1855500.0,217400.0,,0.0,0.0,0.0
2023-02-02,314.0,0.0,0.0,318.0,294.0,300.0,-14.0,17571400.0,5300547000.0,2533.0,100.0,300.0,214800.0,298.0,858000.0,2500000000.0,2500000000.0,600000000.0,13500.0,287200.0,,0.0,0.0,0.0
2023-02-03,300.0,0.0,0.0,302.0,296.0,300.0,0.0,3954100.0,1180562800.0,712.0,100.0,300.0,162100.0,298.0,117600.0,2500000000.0,2500000000.0,600000000.0,13800.0,538800.0,,0.0,0.0,0.0
2023-02-06,300.0,0.0,0.0,300.0,294.0,294.0,-6.0,3143500.0,932176400.0,654.0,98.0,296.0,20300.0,294.0,1016300.0,2500000000.0,2500000000.0,600000000.0,279700.0,82700.0,,0.0,0.0,0.0
2023-02-07,294.0,0.0,0.0,298.0,292.0,296.0,2.0,3064300.0,901877600.0,576.0,98.7,296.0,371800.0,294.0,185000.0,2500000000.0,2500000000.0,600000000.0,13400.0,476100.0,,0.0,0.0,0.0
2023-02-08,296.0,0.0,0.0,298.0,292.0,296.0,0.0,2675300.0,788662400.0,397.0,98.7,298.0,240300.0,296.0,170600.0,2500000000.0,2500000000.0,600000000.0,31000.0,969100.0,,100000.0,31400000.0,1.0
2023-02-09,296.0,0.0,0.0,302.0,296.0,298.0,2.0,3641800.0,1087927200.0,495.0,99.3,300.0,254300.0,298.0,1459900.0,2500000000.0,2500000000.0,600000000.0,11600.0,1705600.0,,0.0,0.0,0.0
2023-02-10,298.0,0.0,0.0,306.0,296.0,306.0,8.0,4536200.0,1366532200.0,717.0,102.0,306.0,77300.0,304.0,187700.0,2500000000.0,2500000000.0,600000000.0,0.0,1093900.0,,0.0,0.0,0.0
2023-02-13,306.0,0.0,0.0,310.0,298.0,300.0,-6.0,4260700.0,1287531400.0,726.0,100.0,302.0,71000.0,300.0,273700.0,2500000000.0,2500000000.0,600000000.0,21700.0,952400.0,,6330000.0,1899000000.0,3.0
2023-02-14,300.0,0.0,0.0,318.0,300.0,312.0,12.0,15396100.0,4782597200.0,2797.0,104.0,312.0,368400.0,310.0,147900.0,2500000000.0,2500000000.0,600000000.0,395900.0,87500.0,,0.0,0.0,0.0
2023-02-15,312.0,0.0,0.0,310.0,300.0,306.0,-6.0,4103400.0,1250991000.0,601.0,102.0,306.0,270500.0,304.0,156500.0,2500000000.0,2500000000.0,600000000.0,9900.0,343900.0,,100000.0,31400000.0,1.0
2023-02-16,306.0,0.0,0.0,310.0,304.0,306.0,0.0,2306100.0,705230400.0,495.0,102.0,308.0,356900.0,306.0,177900.0,2500000000.0,2500000000.0,600000000.0,6300.0,170900.0,,0.0,0.0,0.0
2023-02-17,306.0,0.0,0.0,308.0,300.0,302.0,-4.0,2118900.0,641076200.0,348.0,100.7,304.0,137700.0,302.0,230100.0,2500000000.0,2500000000.0,600000000.0,3600.0,786700.0,,0.0,0.0,0.0
2023-02-20,302.0,0.0,0.0,306.0,300.0,302.0,0.0,1281800.0,387057400.0,302.0,100.7,304.0,179000.0,302.0,149100.0,2500000000.0,2500000000.0,600000000.0,0.0,320000.0,,0.0,0.0,0.0
