date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-02-10,175.0,0.0,0.0,296.0,296.0,296.0,121.0,10600.0,3137600.0,7.0,169.1,0.0,0.0,296.0,60617800.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-11,296.0,0.0,0.0,370.0,370.0,370.0,74.0,15200.0,5624000.0,116.0,211.4,0.0,0.0,370.0,57087500.0,1000000000.0,200000000.0,1000000000.0,100.0,0.0,,600.0,105000.0,6.0
2020-02-12,370.0,0.0,0.0,462.0,462.0,462.0,92.0,740000.0,341880000.0,71.0,264.0,0.0,0.0,462.0,32505700.0,1000000000.0,200000000.0,1000000000.0,600.0,0.0,,0.0,0.0,0.0
2020-02-13,462.0,0.0,0.0,570.0,360.0,376.0,-86.0,115089400.0,51385290900.0,15986.0,214.9,378.0,428600.0,376.0,120300.0,1000000000.0,200000000.0,1000000000.0,124200.0,132500.0,,0.0,0.0,0.0
2020-02-14,376.0,0.0,0.0,414.0,370.0,414.0,38.0,29886900.0,11908949200.0,4100.0,236.6,414.0,918200.0,412.0,111100.0,1000000000.0,200000000.0,1000000000.0,16300.0,9000.0,,0.0,0.0,0.0
2020-02-17,414.0,0.0,0.0,446.0,408.0,444.0,30.0,71798200.0,30980291000.0,5700.0,253.7,444.0,174300.0,442.0,1114900.0,1000000000.0,200000000.0,1000000000.0,21000.0,75000.0,,0.0,0.0,0.0
2020-02-18,444.0,0.0,0.0,474.0,434.0,474.0,30.0,68461000.0,31490888600.0,3985.0,270.9,474.0,21700.0,472.0,1297400.0,1000000000.0,200000000.0,1000000000.0,15000.0,37000.0,,0.0,0.0,0.0
2020-02-19,474.0,0.0,0.0,476.0,380.0,420.0,-54.0,46766700.0,19491371800.0,2778.0,240.0,420.0,326900.0,418.0,1130000.0,1000000000.0,200000000.0,1000000000.0,75000.0,12500.0,,0.0,0.0,0.0
2020-02-20,420.0,0.0,0.0,430.0,416.0,426.0,6.0,24853000.0,10571028000.0,1406.0,243.4,426.0,277300.0,424.0,1640600.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-21,426.0,0.0,0.0,448.0,422.0,446.0,20.0,46322600.0,20311522000.0,2421.0,254.9,446.0,33700.0,444.0,1162900.0,1000000000.0,200000000.0,1000000000.0,2000.0,0.0,,0.0,0.0,0.0
2020-02-24,446.0,0.0,0.0,476.0,442.0,476.0,30.0,33958700.0,15470248200.0,2778.0,272.0,476.0,74700.0,474.0,883800.0,1000000000.0,200000000.0,1000000000.0,12500.0,0.0,,0.0,0.0,0.0
2020-02-25,476.0,0.0,0.0,505.0,400.0,484.0,8.0,34851700.0,16928337300.0,2690.0,276.6,486.0,1113700.0,484.0,7600.0,1000000000.0,200000000.0,1000000000.0,21300.0,21300.0,,0.0,0.0,0.0
2020-02-26,484.0,0.0,0.0,530.0,410.0,414.0,-70.0,47733500.0,22545758500.0,3824.0,236.6,414.0,41300.0,412.0,267600.0,1000000000.0,200000000.0,1000000000.0,10000.0,10000.0,,0.0,0.0,0.0
2020-02-27,414.0,0.0,0.0,426.0,372.0,372.0,-42.0,20621900.0,8293106200.0,1514.0,212.6,372.0,12200.0,370.0,535400.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,100.0,48400.0,1.0
2020-02-28,372.0,0.0,0.0,372.0,364.0,366.0,-6.0,23678600.0,8685239800.0,1153.0,209.1,368.0,82300.0,366.0,14100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-02,366.0,0.0,0.0,428.0,366.0,424.0,58.0,18380600.0,7260962400.0,1959.0,242.3,424.0,328600.0,422.0,239900.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-03,424.0,0.0,0.0,444.0,318.0,318.0,-106.0,58331600.0,21033023000.0,5736.0,181.7,318.0,678500.0,0.0,0.0,1000000000.0,200000000.0,1000000000.0,6000.0,6000.0,,0.0,0.0,0.0
2020-03-04,318.0,0.0,0.0,318.0,252.0,260.0,-58.0,22997000.0,6328936400.0,3130.0,148.6,260.0,59300.0,258.0,502400.0,1000000000.0,200000000.0,1000000000.0,10000.0,10000.0,,0.0,0.0,0.0
2020-03-05,260.0,0.0,0.0,280.0,240.0,248.0,-12.0,27787300.0,7265953400.0,3319.0,141.7,248.0,24200.0,246.0,1272300.0,1000000000.0,200000000.0,1000000000.0,28700.0,28700.0,,0.0,0.0,0.0
2020-03-06,248.0,0.0,0.0,248.0,242.0,244.0,-4.0,5874100.0,1435666800.0,620.0,139.4,244.0,4500.0,242.0,661100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-09,244.0,0.0,0.0,240.0,232.0,232.0,-12.0,4820200.0,1135194200.0,586.0,132.6,236.0,154500.0,232.0,321600.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-10,232.0,0.0,0.0,242.0,232.0,238.0,6.0,3969000.0,947665600.0,489.0,136.0,238.0,33600.0,236.0,258600.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-11,238.0,0.0,0.0,238.0,234.0,236.0,-2.0,1700500.0,401849600.0,186.0,134.9,236.0,49000.0,234.0,125000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-12,236.0,0.0,0.0,236.0,220.0,220.0,-16.0,1750500.0,396958600.0,118.0,125.7,222.0,6700.0,220.0,445100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-13,220.0,0.0,0.0,208.0,206.0,206.0,-14.0,142900.0,29502000.0,36.0,117.7,206.0,200600.0,0.0,0.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-16,206.0,0.0,0.0,206.0,192.0,194.0,-12.0,442500.0,86174900.0,82.0,110.9,195.0,20000.0,194.0,68000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-17,194.0,0.0,0.0,194.0,193.0,193.0,-1.0,218900.0,42328200.0,22.0,110.3,195.0,6100.0,193.0,140600.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-18,193.0,0.0,0.0,194.0,186.0,186.0,-7.0,102900.0,19667600.0,31.0,106.3,191.0,14000.0,186.0,900.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-19,186.0,0.0,0.0,190.0,175.0,189.0,3.0,221400.0,39028400.0,36.0,108.0,189.0,32500.0,175.0,25500.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-20,189.0,0.0,0.0,236.0,176.0,189.0,0.0,1831200.0,365401600.0,798.0,108.0,189.0,500.0,188.0,14900.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-23,189.0,0.0,0.0,189.0,177.0,177.0,-12.0,39200.0,7184900.0,40.0,101.1,177.0,500.0,0.0,0.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-24,177.0,0.0,0.0,180.0,165.0,180.0,3.0,152400.0,25585200.0,50.0,102.9,180.0,64400.0,170.0,22800.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-26,180.0,0.0,0.0,180.0,168.0,171.0,-9.0,53700.0,9228600.0,53.0,97.7,173.0,300.0,171.0,3100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-27,171.0,0.0,0.0,171.0,161.0,161.0,-10.0,144800.0,23695800.0,41.0,92.0,168.0,5000.0,161.0,11100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-30,161.0,0.0,0.0,161.0,160.0,160.0,-1.0,11100.0,1776100.0,5.0,91.4,160.0,7700.0,154.0,100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-31,160.0,0.0,0.0,170.0,160.0,168.0,8.0,8100.0,1357600.0,10.0,96.0,168.0,36400.0,162.0,10000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-01,168.0,0.0,0.0,170.0,168.0,168.0,0.0,2000.0,336300.0,6.0,96.0,167.0,700.0,160.0,12500.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-02,168.0,0.0,0.0,164.0,157.0,163.0,-5.0,90600.0,14238100.0,35.0,93.1,163.0,30800.0,0.0,0.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-03,163.0,0.0,0.0,162.0,152.0,159.0,-4.0,2500.0,393700.0,13.0,90.9,159.0,800.0,154.0,300.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-06,159.0,0.0,0.0,168.0,156.0,165.0,6.0,35400.0,5549200.0,23.0,94.3,165.0,51700.0,157.0,10000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-07,165.0,0.0,0.0,165.0,156.0,156.0,-9.0,49200.0,7940400.0,24.0,89.1,164.0,13800.0,156.0,36600.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-08,156.0,0.0,0.0,153.0,148.0,150.0,-6.0,12500.0,1851200.0,12.0,85.7,153.0,200.0,147.0,2000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-09,150.0,0.0,0.0,146.0,141.0,146.0,-4.0,2300.0,330500.0,12.0,83.4,147.0,200.0,146.0,17300.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-13,146.0,0.0,0.0,145.0,136.0,140.0,-6.0,76200.0,10585200.0,25.0,80.0,147.0,400.0,140.0,5600.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-14,140.0,0.0,0.0,144.0,132.0,142.0,2.0,45300.0,6316100.0,22.0,81.1,142.0,30600.0,139.0,200.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-15,142.0,0.0,0.0,145.0,134.0,139.0,-3.0,35700.0,5008200.0,21.0,79.4,143.0,45000.0,139.0,6200.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-16,139.0,0.0,0.0,142.0,139.0,142.0,3.0,33700.0,4763400.0,17.0,81.1,142.0,1200.0,139.0,27400.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-17,142.0,0.0,0.0,145.0,139.0,140.0,-2.0,47000.0,6547300.0,19.0,80.0,140.0,13800.0,139.0,10000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-20,140.0,0.0,0.0,143.0,139.0,142.0,2.0,11600.0,1617100.0,16.0,81.1,142.0,900.0,139.0,100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-21,142.0,0.0,0.0,140.0,133.0,140.0,-2.0,23200.0,3158700.0,17.0,80.0,140.0,1300.0,135.0,100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-22,140.0,0.0,0.0,142.0,134.0,142.0,2.0,2500.0,350700.0,10.0,81.1,141.0,26700.0,135.0,4300.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-23,142.0,0.0,0.0,141.0,135.0,139.0,-3.0,19800.0,2719300.0,16.0,79.4,139.0,6300.0,136.0,5500.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-24,139.0,0.0,0.0,139.0,133.0,139.0,0.0,6900.0,943600.0,10.0,79.4,139.0,500.0,133.0,700.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-27,139.0,0.0,0.0,140.0,131.0,140.0,1.0,5400.0,709200.0,5.0,80.0,139.0,13300.0,132.0,10000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-28,140.0,0.0,0.0,133.0,133.0,133.0,-7.0,23500.0,3125500.0,8.0,76.0,140.0,23800.0,133.0,8400.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-29,133.0,0.0,0.0,138.0,133.0,133.0,0.0,13900.0,1849200.0,8.0,76.0,137.0,1300.0,133.0,36200.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-30,133.0,0.0,0.0,134.0,128.0,134.0,1.0,10000.0,1294000.0,11.0,76.6,134.0,1300.0,128.0,4700.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-05-04,134.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,76.6,134.0,4600.0,128.0,20000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-05-05,134.0,0.0,0.0,156.0,130.0,147.0,13.0,16100.0,2411300.0,20.0,84.0,146.0,500.0,130.0,10000.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
2020-05-06,147.0,0.0,0.0,188.0,137.0,186.0,39.0,807900.0,137423200.0,173.0,106.3,185.0,9100.0,171.0,100.0,1000000000.0,200000000.0,1000000000.0,0.0,0.0,,0.0,0.0,0.0
