date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-12-06,360.0,0.0,0.0,400.0,336.0,336.0,-24.0,67770500.0,23245991600.0,8713.0,93.3,336.0,7656100.0,0.0,0.0,1098920000.0,240300000.0,841334000.0,160800.0,74300.0,,1300.0,481000.0,1.0
2021-12-07,336.0,0.0,0.0,330.0,314.0,328.0,-8.0,29151600.0,9258025000.0,2943.0,91.1,328.0,1103400.0,326.0,38200.0,1098920000.0,240300000.0,841334000.0,48000.0,0.0,,0.0,0.0,0.0
2021-12-08,328.0,0.0,0.0,328.0,306.0,306.0,-22.0,16977800.0,5226482000.0,1732.0,85.0,306.0,2910200.0,0.0,0.0,1098920000.0,240300000.0,841334000.0,22600.0,19700.0,,0.0,0.0,0.0
2021-12-09,306.0,0.0,0.0,308.0,286.0,286.0,-20.0,13694100.0,3970146000.0,1661.0,79.4,286.0,6747900.0,0.0,0.0,1098920000.0,240300000.0,841334000.0,6400.0,50000.0,,0.0,0.0,0.0
2021-12-10,286.0,0.0,0.0,282.0,266.0,274.0,-12.0,23629700.0,6354817600.0,2313.0,76.1,274.0,662800.0,272.0,26600.0,1098920000.0,240300000.0,841334000.0,51700.0,30000.0,,0.0,0.0,0.0
2021-12-13,274.0,0.0,0.0,280.0,260.0,264.0,-10.0,3400100.0,909076400.0,747.0,73.3,266.0,63200.0,264.0,138600.0,1098920000.0,240300000.0,841334000.0,3200.0,46400.0,,0.0,0.0,0.0
2021-12-14,264.0,0.0,0.0,270.0,258.0,264.0,0.0,9640800.0,2534429400.0,895.0,73.3,264.0,190000.0,262.0,2500.0,1098920000.0,240300000.0,841334000.0,11400.0,7700.0,,0.0,0.0,0.0
2021-12-15,264.0,0.0,0.0,270.0,252.0,252.0,-12.0,5940000.0,1542331000.0,772.0,70.0,254.0,5700.0,252.0,88000.0,1098920000.0,240300000.0,841334000.0,17700.0,0.0,,0.0,0.0,0.0
2021-12-16,252.0,0.0,0.0,258.0,236.0,236.0,-16.0,6303400.0,1518477000.0,876.0,65.6,236.0,2395400.0,0.0,0.0,1098920000.0,240300000.0,841334000.0,20000.0,4000.0,,0.0,0.0,0.0
2021-12-17,236.0,0.0,0.0,238.0,220.0,222.0,-14.0,11573700.0,2597741200.0,1396.0,61.7,222.0,833900.0,220.0,2993800.0,1098920000.0,240300000.0,841334000.0,0.0,0.0,,0.0,0.0,0.0
