date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,5700.0,0.0,0.0,5925.0,5500.0,5800.0,100.0,5285000.0,30492675000.0,1744.0,4202.9,5850.0,300.0,5800.0,6200.0,5000000000.0,5000000000.0,5000000000.0,497600.0,505700.0,,0.0,0.0,0.0
2019-07-30,5800.0,0.0,0.0,6475.0,5850.0,6450.0,650.0,4397400.0,27499712500.0,2903.0,4673.9,6450.0,669500.0,6425.0,200.0,5000000000.0,5000000000.0,5000000000.0,1200600.0,1059900.0,,11132300.0,64567340000.0,1.0
2019-07-31,6450.0,0.0,0.0,6750.0,6275.0,6400.0,-50.0,5500500.0,35502395000.0,1593.0,4637.7,6500.0,3300.0,6400.0,14600.0,5000000000.0,5000000000.0,5000000000.0,1624900.0,1302100.0,,0.0,0.0,0.0
2019-08-01,6400.0,0.0,0.0,6550.0,6325.0,6525.0,125.0,3816400.0,24695952500.0,1238.0,4728.3,6525.0,34200.0,6450.0,4800.0,5000000000.0,5000000000.0,5000000000.0,1201300.0,46600.0,,0.0,0.0,0.0
2019-08-02,6525.0,0.0,0.0,6525.0,6325.0,6425.0,-100.0,4244000.0,27039995000.0,660.0,4655.8,6425.0,17300.0,6400.0,17900.0,5000000000.0,5000000000.0,5000000000.0,0.0,924200.0,,0.0,0.0,0.0
2019-08-05,6425.0,0.0,0.0,6300.0,6000.0,6100.0,-325.0,4072900.0,25031585000.0,913.0,4420.3,6075.0,500.0,6000.0,9800.0,5000000000.0,5000000000.0,5000000000.0,1107000.0,1403600.0,,0.0,0.0,0.0
2019-08-06,6100.0,0.0,0.0,6175.0,5650.0,6175.0,75.0,4397300.0,26528450000.0,521.0,4474.6,6175.0,21900.0,6150.0,6500.0,5000000000.0,5000000000.0,5000000000.0,1334500.0,1456300.0,,0.0,0.0,0.0
2019-08-07,6175.0,0.0,0.0,6500.0,6150.0,6325.0,150.0,3712600.0,23722962500.0,917.0,4583.3,6350.0,5200.0,6325.0,14200.0,5000000000.0,5000000000.0,5000000000.0,1241700.0,1074600.0,,4385965.0,22807018000.0,3.0
2019-08-08,6325.0,0.0,0.0,6600.0,6350.0,6450.0,125.0,4086300.0,26352785000.0,798.0,4673.9,6475.0,13100.0,6450.0,21500.0,5000000000.0,5000000000.0,5000000000.0,1307800.0,1354900.0,,0.0,0.0,0.0
2019-08-09,6450.0,0.0,0.0,6575.0,6450.0,6475.0,25.0,4455500.0,28897860000.0,749.0,4692.0,6475.0,6400.0,6400.0,19000.0,5000000000.0,5000000000.0,5000000000.0,1510600.0,1502600.0,,0.0,0.0,0.0
2019-08-12,6475.0,0.0,0.0,6550.0,6275.0,6300.0,-175.0,3355400.0,21291782500.0,720.0,4565.2,6350.0,2500.0,6300.0,13000.0,5000000000.0,5000000000.0,5000000000.0,3100.0,0.0,,0.0,0.0,0.0
2019-08-13,6300.0,0.0,0.0,6300.0,6000.0,6275.0,-25.0,5347000.0,32774592500.0,1012.0,4547.1,6275.0,7700.0,6250.0,12100.0,5000000000.0,5000000000.0,5000000000.0,1871200.0,1740000.0,,0.0,0.0,0.0
2019-08-14,6275.0,0.0,0.0,6575.0,6275.0,6350.0,75.0,5431700.0,34708480000.0,727.0,4601.4,6350.0,4100.0,6325.0,10000.0,5000000000.0,5000000000.0,5000000000.0,1433600.0,1526600.0,,0.0,0.0,0.0
2019-08-15,6350.0,0.0,0.0,6400.0,6025.0,6325.0,-25.0,6164000.0,38021415000.0,854.0,4583.3,6400.0,800.0,6300.0,9100.0,5000000000.0,5000000000.0,5000000000.0,1579200.0,1500800.0,,0.0,0.0,0.0
2019-08-16,6325.0,0.0,0.0,7025.0,6200.0,6700.0,375.0,7675300.0,50545392500.0,1344.0,4855.1,6875.0,1000.0,6700.0,80500.0,5000000000.0,5000000000.0,5000000000.0,1501100.0,1671900.0,,0.0,0.0,0.0
2019-08-19,6700.0,0.0,0.0,7550.0,6550.0,7050.0,350.0,6335200.0,45807290000.0,1287.0,5108.7,7175.0,600.0,7050.0,156100.0,5000000000.0,5000000000.0,5000000000.0,1895300.0,1883800.0,,0.0,0.0,0.0
