date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,330.0,0.0,0.0,342.0,326.0,328.0,-2.0,3865500.0,1311087800.0,95.0,1064.0,330.0,14800.0,328.0,100.0,10320000000.0,10320000000.0,10320000000.0,3500000.0,500.0,,0.0,0.0,0.0
2019-07-30,328.0,0.0,0.0,334.0,328.0,332.0,4.0,69800.0,23118800.0,31.0,1077.0,332.0,44600.0,330.0,11300.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,332.0,0.0,0.0,332.0,324.0,328.0,-4.0,402800.0,131287200.0,74.0,1064.0,328.0,38100.0,326.0,100.0,10320000000.0,10320000000.0,10320000000.0,0.0,4600.0,,0.0,0.0,0.0
2019-08-01,328.0,0.0,0.0,330.0,322.0,324.0,-4.0,118300.0,38380200.0,45.0,1051.0,324.0,70700.0,322.0,143600.0,10320000000.0,10320000000.0,10320000000.0,0.0,2200.0,,0.0,0.0,0.0
2019-08-02,324.0,0.0,0.0,324.0,320.0,324.0,0.0,980200.0,315613200.0,47.0,1051.0,324.0,488800.0,320.0,122200.0,10320000000.0,10320000000.0,10320000000.0,853800.0,887600.0,,0.0,0.0,0.0
2019-08-05,324.0,0.0,0.0,324.0,322.0,322.0,-2.0,49000.0,15866600.0,26.0,1044.5,324.0,456000.0,322.0,32900.0,10320000000.0,10320000000.0,10320000000.0,0.0,4400.0,,0.0,0.0,0.0
2019-08-06,322.0,0.0,0.0,324.0,320.0,324.0,2.0,112800.0,36148800.0,30.0,1051.0,324.0,441100.0,322.0,10900.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,324.0,0.0,0.0,324.0,322.0,324.0,0.0,17200.0,5551800.0,11.0,1051.0,324.0,440000.0,322.0,24500.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,324.0,0.0,0.0,324.0,320.0,324.0,0.0,6100.0,1969200.0,16.0,1051.0,324.0,429600.0,322.0,7000.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,324.0,0.0,0.0,324.0,324.0,324.0,0.0,21200.0,6868800.0,8.0,1051.0,324.0,413900.0,320.0,26400.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,324.0,0.0,0.0,324.0,318.0,320.0,-4.0,101500.0,32484400.0,33.0,1038.1,322.0,36800.0,320.0,1800.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,320.0,0.0,0.0,322.0,316.0,320.0,0.0,22600.0,7227200.0,18.0,1038.1,322.0,2000.0,320.0,1000.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,320.0,0.0,0.0,322.0,320.0,322.0,2.0,20800.0,6660200.0,15.0,1044.5,322.0,40200.0,320.0,4200.0,10320000000.0,10320000000.0,10320000000.0,0.0,0.0,,0.0,0.0,0.0
