date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,760.0,0.0,0.0,785.0,755.0,780.0,20.0,3959300.0,3046720000.0,846.0,3715.5,780.0,1123400.0,775.0,4100.0,51014625000.0,51014625000.0,51014625000.0,1323300.0,74300.0,,641300.0,493801000.0,1.0
2019-07-30,780.0,0.0,0.0,795.0,760.0,760.0,-20.0,3187700.0,2438907000.0,804.0,3620.3,765.0,254600.0,760.0,224100.0,51014625000.0,51014625000.0,51014625000.0,1386300.0,40100.0,,2972400.0,2271123600.0,2.0
2019-07-31,760.0,0.0,0.0,765.0,740.0,740.0,-20.0,3653600.0,2734515000.0,472.0,3525.0,750.0,151000.0,740.0,177600.0,51014625000.0,51014625000.0,51014625000.0,550000.0,229000.0,,4166400.0,3169190400.0,5.0
2019-08-01,740.0,0.0,0.0,775.0,735.0,735.0,-5.0,6149400.0,4567121000.0,1057.0,3501.2,740.0,4054700.0,735.0,17000.0,51014625000.0,51014625000.0,51014625000.0,1794300.0,3826700.0,,0.0,0.0,0.0
2019-08-02,735.0,0.0,0.0,765.0,695.0,710.0,-25.0,10668300.0,7583154000.0,1033.0,3382.1,715.0,87100.0,710.0,867200.0,51014625000.0,51014625000.0,51014625000.0,2613000.0,968900.0,,7825900.0,5985246600.0,3.0
2019-08-05,710.0,0.0,0.0,715.0,670.0,690.0,-20.0,10212700.0,7058805500.0,1590.0,3286.8,695.0,42500.0,690.0,16500.0,51014625000.0,51014625000.0,51014625000.0,3381000.0,623800.0,,900000.0,683100000.0,1.0
2019-08-06,690.0,0.0,0.0,700.0,655.0,675.0,-15.0,16568000.0,11309755500.0,1792.0,3215.4,680.0,300.0,675.0,183100.0,51014625000.0,51014625000.0,51014625000.0,7832100.0,7181100.0,,16173900.0,12330819600.0,3.0
2019-08-07,675.0,0.0,0.0,710.0,680.0,695.0,20.0,7476400.0,5212116500.0,639.0,3310.6,695.0,141700.0,690.0,15800.0,51014625000.0,51014625000.0,51014625000.0,731000.0,1548700.0,,0.0,0.0,0.0
2019-08-08,695.0,0.0,0.0,730.0,690.0,730.0,35.0,9768800.0,7030668000.0,805.0,3477.3,730.0,698200.0,725.0,172800.0,51014625000.0,51014625000.0,51014625000.0,3189800.0,3040200.0,,2813800.0,2002388000.0,3.0
2019-08-09,730.0,0.0,0.0,745.0,725.0,730.0,0.0,7043800.0,5148039000.0,589.0,3477.3,730.0,688600.0,725.0,63400.0,51014625000.0,51014625000.0,51014625000.0,3789200.0,3242800.0,,3286000.0,2293616600.0,6.0
2019-08-12,730.0,0.0,0.0,750.0,730.0,750.0,20.0,5241500.0,3902659000.0,501.0,3572.6,750.0,1443800.0,745.0,515700.0,51014625000.0,51014625000.0,51014625000.0,424300.0,1016100.0,,1500000.0,1027500000.0,2.0
2019-08-13,750.0,0.0,0.0,760.0,735.0,740.0,-10.0,6230500.0,4661671000.0,822.0,3525.0,740.0,307300.0,735.0,601800.0,51014625000.0,51014625000.0,51014625000.0,1808400.0,2240200.0,,0.0,0.0,0.0
2019-08-14,740.0,0.0,0.0,760.0,740.0,745.0,5.0,7189900.0,5383635000.0,751.0,3548.8,745.0,379800.0,740.0,214700.0,51014625000.0,51014625000.0,51014625000.0,2544300.0,1251200.0,,2382600.0,1784667400.0,3.0
2019-08-15,745.0,0.0,0.0,755.0,715.0,750.0,5.0,4998000.0,3715619500.0,373.0,3572.6,750.0,367300.0,740.0,125300.0,51014625000.0,51014625000.0,51014625000.0,427600.0,1141000.0,,0.0,0.0,0.0
2019-08-16,750.0,0.0,0.0,765.0,745.0,760.0,10.0,8957700.0,6806578000.0,854.0,3620.3,760.0,184200.0,745.0,180600.0,51014625000.0,51014625000.0,51014625000.0,3836100.0,2580700.0,,3031800.0,2211678600.0,3.0
2019-08-19,760.0,0.0,0.0,765.0,735.0,735.0,-25.0,5836900.0,4349949000.0,654.0,3501.2,735.0,172200.0,730.0,434200.0,51014625000.0,51014625000.0,51014625000.0,3317100.0,1107600.0,,60900.0,46040400.0,1.0
2019-08-20,735.0,0.0,0.0,750.0,695.0,710.0,-25.0,59485700.0,42529816500.0,1368.0,3382.1,715.0,30000.0,710.0,1375900.0,51014625000.0,51014625000.0,51014625000.0,40737000.0,14659200.0,,0.0,0.0,0.0
2019-08-21,710.0,0.0,0.0,765.0,700.0,745.0,35.0,32765900.0,23917792500.0,2224.0,3548.8,745.0,1049700.0,740.0,7000.0,51014625000.0,51014625000.0,51014625000.0,11709000.0,9046700.0,,87900.0,63727500.0,2.0
2019-08-22,745.0,0.0,0.0,775.0,720.0,725.0,-20.0,69413300.0,51297604000.0,2707.0,3453.5,725.0,687700.0,720.0,512500.0,51014625000.0,51014625000.0,51014625000.0,36909500.0,710200.0,,873745.0,655157175.0,3.0
