date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,246.0,0.0,0.0,250.0,236.0,236.0,-10.0,468700.0,112741600.0,101.0,78.7,250.0,1200.0,236.0,900.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,236.0,0.0,0.0,250.0,234.0,250.0,14.0,412100.0,99297000.0,92.0,83.3,250.0,7500.0,242.0,12300.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,250.0,0.0,0.0,250.0,238.0,248.0,-2.0,413600.0,101285000.0,38.0,82.7,250.0,400.0,240.0,35800.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,248.0,0.0,0.0,254.0,238.0,252.0,4.0,456200.0,112387400.0,63.0,84.0,252.0,3300.0,246.0,100.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,252.0,0.0,0.0,250.0,242.0,250.0,-2.0,355000.0,87544000.0,35.0,83.3,252.0,500.0,244.0,2100.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,250.0,0.0,0.0,250.0,238.0,250.0,0.0,421700.0,103090400.0,63.0,83.3,254.0,1800.0,250.0,23900.0,1047587802.0,1047587802.0,1047587802.0,200.0,0.0,,0.0,0.0,0.0
2019-08-06,250.0,0.0,0.0,248.0,230.0,248.0,-2.0,432900.0,103960800.0,50.0,82.7,248.0,100.0,236.0,1000.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,248.0,0.0,0.0,250.0,230.0,250.0,2.0,412900.0,101492800.0,49.0,83.3,252.0,400.0,240.0,17800.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,250.0,0.0,0.0,252.0,232.0,252.0,2.0,289500.0,71021000.0,38.0,84.0,248.0,100.0,244.0,10100.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,252.0,0.0,0.0,252.0,238.0,250.0,-2.0,405100.0,101866600.0,53.0,83.3,254.0,1500.0,244.0,5000.0,1047587802.0,1047587802.0,1047587802.0,0.0,0.0,,39866500.0,7574635000.0,1.0
