date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,330.0,0.0,0.0,328.0,322.0,322.0,-8.0,200.0,65000.0,2.0,378.8,328.0,15300.0,322.0,100.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,322.0,0.0,0.0,356.0,322.0,350.0,28.0,3900.0,1335600.0,14.0,411.8,350.0,15000.0,290.0,3000.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,350.0,0.0,0.0,360.0,350.0,354.0,4.0,2700.0,955200.0,11.0,416.5,354.0,189900.0,292.0,200.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,354.0,0.0,0.0,354.0,348.0,354.0,0.0,1000.0,353000.0,9.0,416.5,354.0,41900.0,348.0,100.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,354.0,0.0,0.0,354.0,354.0,354.0,0.0,600.0,212400.0,4.0,416.5,354.0,24200.0,292.0,200.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,354.0,0.0,0.0,354.0,354.0,354.0,0.0,200.0,70800.0,2.0,416.5,354.0,37100.0,334.0,100.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,354.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,416.5,354.0,71600.0,272.0,200.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,354.0,0.0,0.0,354.0,354.0,354.0,0.0,700.0,247800.0,5.0,416.5,354.0,24100.0,270.0,100.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,354.0,0.0,0.0,388.0,354.0,364.0,10.0,19700.0,7121200.0,42.0,428.2,364.0,6800.0,352.0,100.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,364.0,0.0,0.0,364.0,360.0,360.0,-4.0,3300.0,1188400.0,7.0,423.5,358.0,100.0,350.0,100.0,800000000.0,800000000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
