date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-02-01,101.0,0.0,0.0,136.0,136.0,136.0,35.0,5000.0,680000.0,1.0,134.7,0.0,0.0,136.0,64099200.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-02,136.0,0.0,0.0,183.0,183.0,183.0,47.0,5000.0,915000.0,3.0,181.2,0.0,0.0,183.0,37108700.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-03,183.0,0.0,0.0,246.0,246.0,246.0,63.0,6100.0,1500600.0,5.0,243.6,0.0,0.0,246.0,20929000.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-04,246.0,0.0,0.0,306.0,306.0,306.0,60.0,10500.0,3213000.0,8.0,303.0,0.0,0.0,306.0,13204400.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-05,306.0,0.0,0.0,382.0,382.0,382.0,76.0,20100.0,7678200.0,10.0,378.2,0.0,0.0,382.0,12082800.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-08,382.0,0.0,0.0,476.0,470.0,476.0,94.0,3351200.0,1595153200.0,2076.0,471.3,0.0,0.0,476.0,6290500.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-09,476.0,0.0,0.0,595.0,490.0,545.0,69.0,27488400.0,15368376600.0,4941.0,539.6,550.0,8300.0,545.0,2271500.0,2287500000.0,2287500000.0,2287500000.0,35400.0,117400.0,,0.0,0.0,0.0
2021-02-10,545.0,0.0,0.0,615.0,510.0,550.0,5.0,20656000.0,11345602500.0,4093.0,544.6,550.0,16600.0,545.0,84000.0,2287500000.0,2287500000.0,2287500000.0,0.0,211900.0,,0.0,0.0,0.0
2021-02-11,550.0,0.0,0.0,575.0,515.0,515.0,-35.0,1822200.0,957425500.0,649.0,509.9,515.0,1324600.0,0.0,0.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-15,515.0,0.0,0.0,500.0,480.0,480.0,-35.0,350100.0,168055600.0,141.0,475.2,480.0,2826100.0,0.0,0.0,2287500000.0,2287500000.0,2287500000.0,0.0,0.0,,0.0,0.0,0.0
2021-02-16,480.0,0.0,0.0,510.0,448.0,498.0,18.0,24390900.0,11362808400.0,2508.0,493.1,498.0,35400.0,496.0,104800.0,2287500000.0,2287500000.0,2287500000.0,43900.0,0.0,,0.0,0.0,0.0
