date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2450.0,0.0,0.0,2450.0,2440.0,2450.0,0.0,95200.0,232890000.0,10.0,204.2,2450.0,64700.0,2440.0,21800.0,3232122540.0,3232122540.0,3232122540.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,2450.0,0.0,0.0,2450.0,2440.0,2440.0,-10.0,126400.0,309012000.0,12.0,203.3,2440.0,500.0,2430.0,76400.0,3232122540.0,3232122540.0,3232122540.0,0.0,0.0,,58500.0,142740000.0,1.0
2019-07-31,2440.0,0.0,0.0,2500.0,2420.0,2500.0,60.0,775400.0,1922231000.0,48.0,208.3,2500.0,112800.0,2420.0,1600.0,3232122540.0,3232122540.0,3232122540.0,2900.0,0.0,,1100000.0,2420000000.0,1.0
2019-08-01,2500.0,0.0,0.0,2500.0,2480.0,2500.0,0.0,166100.0,413768000.0,14.0,208.3,2500.0,89300.0,2480.0,30700.0,3232122540.0,3232122540.0,3232122540.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,2500.0,0.0,0.0,2520.0,2490.0,2520.0,20.0,593200.0,1486555000.0,53.0,210.0,2520.0,52000.0,2510.0,155800.0,3232122540.0,3232122540.0,3232122540.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,2520.0,0.0,0.0,2520.0,2490.0,2510.0,-10.0,2964800.0,7465496000.0,122.0,209.2,2510.0,35700.0,2490.0,110900.0,3232122540.0,3232122540.0,3232122540.0,0.0,0.0,,3000000.0,6000000000.0,3.0
2019-08-06,2510.0,0.0,0.0,2510.0,2500.0,2500.0,-10.0,62400.0,156619000.0,8.0,208.3,2510.0,65900.0,2500.0,56300.0,3232122580.0,3232122580.0,3232122580.0,0.0,0.0,,1450000.0,3045000000.0,6.0
2019-08-07,2500.0,0.0,0.0,2500.0,2500.0,2500.0,0.0,109700.0,274250000.0,10.0,208.3,2500.0,27100.0,2490.0,56800.0,3232122580.0,3232122580.0,3232122580.0,5900.0,0.0,,0.0,0.0,0.0
2019-08-08,2500.0,0.0,0.0,2500.0,2490.0,2500.0,0.0,69100.0,172670000.0,22.0,208.3,2500.0,69900.0,2490.0,49100.0,3232122580.0,3232122580.0,3232122580.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,2500.0,0.0,0.0,2500.0,2490.0,2490.0,-10.0,66100.0,165198000.0,8.0,207.5,2500.0,62900.0,2490.0,51600.0,3232122580.0,3232122580.0,3232122580.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,2490.0,0.0,0.0,2490.0,2390.0,2430.0,-60.0,1303300.0,3172230000.0,88.0,202.5,2430.0,18900.0,2390.0,6500.0,3232122580.0,3232122580.0,3232122580.0,2400.0,0.0,,0.0,0.0,0.0
2019-08-13,2430.0,0.0,0.0,2430.0,2420.0,2420.0,-10.0,28500.0,69170000.0,6.0,201.7,2420.0,55700.0,2410.0,7500.0,3232122580.0,3232122580.0,3232122580.0,0.0,0.0,,0.0,0.0,0.0
