date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-11-08,450.0,0.0,0.0,605.0,376.0,460.0,10.0,96073700.0,42825141300.0,7307.0,102.2,460.0,2114000.0,458.0,1000.0,2475720000.0,750000000.0,2475720000.0,17331900.0,215600.0,,333219900.0,224873932500.0,15.0
2019-11-11,460.0,0.0,0.0,462.0,430.0,444.0,-16.0,38929100.0,17426703800.0,2624.0,98.7,444.0,468300.0,442.0,295000.0,2475720000.0,750000000.0,2475720000.0,5201700.0,33400.0,,0.0,0.0,0.0
2019-11-12,444.0,0.0,0.0,446.0,432.0,440.0,-4.0,13213000.0,5786883000.0,1226.0,97.8,440.0,44500.0,434.0,497700.0,2475720000.0,750000000.0,2475720000.0,2100000.0,0.0,,88888900.0,57777785000.0,1.0
2019-11-13,440.0,0.0,0.0,452.0,434.0,446.0,6.0,13110800.0,5834187600.0,1400.0,99.1,446.0,543900.0,444.0,137200.0,2475720000.0,750000000.0,2475720000.0,539400.0,0.0,,0.0,0.0,0.0
2019-11-14,446.0,0.0,0.0,448.0,436.0,436.0,-10.0,4447100.0,1963023200.0,606.0,96.9,440.0,210100.0,436.0,21400.0,2475720000.0,750000000.0,2475720000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-15,436.0,0.0,0.0,440.0,424.0,434.0,-2.0,6545400.0,2824679000.0,705.0,96.4,434.0,167900.0,432.0,48500.0,2475720000.0,750000000.0,2475720000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-18,434.0,0.0,0.0,438.0,420.0,420.0,-14.0,2705600.0,1149096000.0,473.0,93.3,420.0,8800.0,418.0,128600.0,2475720000.0,750000000.0,2475720000.0,187000.0,0.0,,28888900.0,13000005000.0,4.0
2019-11-19,420.0,0.0,0.0,428.0,400.0,420.0,0.0,5400400.0,2258527600.0,604.0,93.3,420.0,110800.0,418.0,100700.0,2475720000.0,750000000.0,2475720000.0,0.0,0.0,,20215700.0,9090594000.0,9.0
2019-11-20,420.0,0.0,0.0,420.0,402.0,416.0,-4.0,2551300.0,1048136600.0,299.0,92.4,416.0,47200.0,408.0,25000.0,2475720000.0,750000000.0,2475720000.0,0.0,0.0,,24644400.0,11083980000.0,5.0
2019-11-21,416.0,0.0,0.0,416.0,400.0,414.0,-2.0,2592800.0,1058772600.0,213.0,92.0,416.0,50500.0,414.0,3500.0,2475720000.0,750000000.0,2475720000.0,0.0,0.0,,0.0,0.0,0.0
